,F19,F99
sn2006hb,,
sn2006hb,,
sn2008fl,,
sn2007jg,,
sn2008R,,
sn2009ad,,
sn2006ob,,
sn2009ds,,
sn2007hx,,
sn2007bd,,
sn2004ey,,
sn2007so,,
sn2009ab,,
sn2007A,,
sn2008gl,,
sn2007nq,,
sn2007on,,
sn2008hj,,
sn2007st,,
sn2009le,,
sn2005hc,,
sn2005bo,,
sn2008fu,,
sn2004gs,,
sn2008ff,,
sn2006D,,
sn2005M,,
sn2007S,,
sn2006bh,,
sn2009al,,
sn2008O,,
sn2006lu,,
sn2007bm,,
sn2007sr,,
sn2008bz,,
sn2014J,,
sn2005A,,
sn2004ef,,
sn2006ax,,
sn2005ku,,
sn2008gg,,
sn2007ca,,
sn2005lu,,
sn2006gj,,
sn2008ar,,
sn2006et,,
sn2007ai,,
sn2009I,,
sn2006kf,,
sn2008hu,,
sn2008cc,,
sn2009aa,,
sn2006os,,
sn2008hv,,
sn2008go,,
sn2006br,,
sn2005eq,,
sn2008fp,,
sn2008C,,
sn2006X,,
sn2007jd,,
sn2005kc,,
sn2006ej,,
sn2005al,,
sn2005am,,
sn2006hx,,
sn2008cf,,
sn2009ag,,
sn2008fw,,
sn2007af,,
sn2006is,,
sn2004eo,,
sn2008bf,,
sn2008fr,,
sn2008gp,,
sn2009cz,,
sn2002cv,3.9913887546064553,
sn2007le,3.888319655748046,3.742207935991865
sn2009P,4.94789984748092,5.094411449104635
sn2009D,8.988123178991103,8.684792122309652
sn2008ia,6.436757404715788,6.77981581196668
sn2008bc,6.248732690923527,6.0120782127332335
sn2005na,10.408465503500175,10.878063795568623
sn2009Y,5.177934865404902,5.1137201180991285
sn2007ux,4.631606169266686,4.732150261515306
sn2007as,6.4974112722594,6.547273004838119
sn2007hj,9.370119294663413,9.45912031023802
sn2005ki,6.617052840045027,6.660275485878228
sn2007bc,4.091763406629026,4.439595704900113
sn2005iq,5.852225004253275,5.709034104316591
sn2008bq,11.513082895285677,11.607909244719705
