,G23,F99
sn2006hb,,
sn2006hb,,
sn2008fl,1241.7405222641255,
sn2007jg,562.3252971426658,
sn2008R,962.8383413876844,
sn2009ad,720.0779177673764,
sn2006ob,259.64657071615864,
sn2009ds,902.6239740048723,
sn2007hx,387.5210104581479,
sn2007bd,750.8885889687684,
sn2004ey,1425.298115050849,
sn2007so,547.7112300228041,
sn2009ab,464.6489447665655,
sn2007A,119.98102447596766,
sn2008gl,1058.097638134556,
sn2007nq,983.402974700061,
sn2007on,2336.1971052423874,
sn2008hj,737.2699481538415,
sn2007st,567.2213808244652,
sn2009le,175.92015408693334,
sn2005hc,872.1002133124542,
sn2005bo,61.08912319734031,
sn2008fu,543.6511327231502,
sn2004gs,603.7081721446687,
sn2008ff,1943.8369112943462,
sn2006D,580.0625429694574,
sn2005M,1233.727860489192,
sn2007S,398.5992739579038,
sn2006bh,1107.7683672073233,
sn2009al,450.7750508414996,
sn2008O,263.7231198578801,
sn2006lu,584.5000781302649,
sn2007bm,210.97368041032198,
sn2007sr,411.41640703047904,
sn2008bz,662.9991316638514,
sn2014J,,
sn2005A,,
sn2004ef,,
sn2006ax,,
sn2005ku,,
sn2008gg,,
sn2007ca,,
sn2005lu,,
sn2006gj,,
sn2008ar,,
sn2006et,,
sn2007ai,,
sn2009I,,
sn2006kf,,
sn2008hu,,
sn2008cc,,
sn2009aa,,
sn2006os,,
sn2008hv,,
sn2008go,,
sn2006br,,
sn2005eq,,
sn2008fp,,
sn2008C,,
sn2006X,,
sn2007jd,,
sn2005kc,,
sn2006ej,,
sn2005al,,
sn2005am,,
sn2006hx,,
sn2008cf,,
sn2009ag,,
sn2008fw,,
sn2007af,,
sn2006is,,
sn2004eo,,
sn2008bf,,
sn2008fr,,
sn2008gp,,
sn2009cz,,
sn2002cv,,
sn2007le,,
sn2009P,,
sn2009D,,
sn2008ia,,
sn2008bc,,
sn2005na,,
sn2009Y,,
sn2007ux,,
sn2007as,,
sn2007hj,,
sn2005ki,,
sn2007bc,,
sn2005iq,,
sn2008bq,,
