,F99,F19,G23
sn2006hb,652.3112141393918,,
sn2006hb,652.3112141393918,,
sn2008fl,1367.3985146452846,,
sn2007jg,489.0290504995924,,
sn2008R,882.8436935617339,,
sn2009ad,642.6559490891402,,
sn2006ob,231.887790121992,,
sn2009ds,1061.4829822471584,,
sn2007hx,379.8459775741404,,
sn2007bd,738.4914265687443,,
sn2004ey,1196.3257220345274,,
sn2007so,630.8313787191313,,
sn2009ab,454.4594371413362,,
sn2007A,113.82300872667788,,
sn2008gl,1058.2590811497666,,
sn2007nq,934.0335394146316,,
sn2007on,2377.447750308097,,
sn2008hj,673.5967420527855,,
sn2007st,564.641481287728,,
sn2009le,136.1702232502607,,
sn2005hc,877.3121013189351,,
sn2005bo,60.6965933616366,,
sn2008fu,550.784440086128,,
sn2004gs,566.2112830980732,,
sn2008ff,1826.0880266154084,,
sn2006D,644.5597784986172,,
sn2005M,969.663512937932,,
sn2007S,391.8349275719896,,
sn2006bh,1014.2405211108209,,
sn2009al,397.9831021031154,,
sn2008O,252.9868148661392,,
sn2006lu,608.6433019778808,,
sn2007bm,209.24422128108856,,
sn2007sr,447.273892730549,,
sn2008bz,598.1928812650302,,
sn2014J,25707.239176939736,,
sn2005A,623.4725527948617,,
sn2004ef,4127.590039978153,,
sn2006ax,814.946954675476,,
sn2005ku,136.643012413416,,
sn2008gg,1419.5742009100015,,
sn2007ca,274.14224817742024,,
sn2005lu,180.5328277097911,,
sn2006gj,146.97771924946366,,
sn2008ar,747.6978996716123,,
sn2006et,836.0871892616171,,
sn2007ai,157.39949884020703,,
sn2009I,47.71151878158621,,
sn2006kf,535.0934288379021,,
sn2008hu,881.1214188010416,,
sn2008cc,771.9105664846659,,
sn2009aa,1285.6730767809543,,
sn2006os,290.0153576625593,,
sn2008hv,1101.2453595496913,,
sn2008go,138.6299293986907,,
sn2006br,115.43862587734006,,
sn2005eq,669.6493368631411,,
sn2008fp,2035.682926354475,,
sn2008C,474.5529379058297,,
sn2006X,1098.9122978640871,,
sn2007jd,399.5450145401072,,
sn2005kc,239.0283205333708,,
sn2006ej,259.2007020761771,,
sn2005al,608.752479408183,,
sn2005am,950.2094794505555,,
sn2006hx,413.4649093557183,,
sn2008cf,899.2986389812428,,
sn2009ag,728.5478586781326,,
sn2008fw,390.1187519456667,,
sn2007af,598.9501592221684,,
sn2006is,1114.3792720240622,,
sn2004eo,2401.552853186577,,
sn2008bf,941.1745874418168,,
sn2008fr,1040.8081843191665,,
sn2008gp,1363.2005283540648,,
sn2009cz,385.6224334861457,,
sn2002cv,156.4596619856138,,
sn2007le,509.9416675244753,,
sn2009P,356.41602221604643,,
sn2009D,1200.023503322341,,
sn2008ia,744.4158594678751,,
sn2008bc,,,
sn2005na,,,
sn2009Y,,,
sn2007ux,,,
sn2007as,,,
sn2007hj,,,
sn2005ki,,,
sn2007bc,,,
sn2005iq,,,
sn2008bq,,,
