,F99,F19,G23
sn2006hb,6.86643383304623,,7.294647883612249
sn2006hb,6.86643383304623,,7.294647883612249
sn2008fl,10.766917438151848,16.018420278128207,11.331697737561848
sn2007jg,5.821774410709433,5.5729020511902725,6.714314103180125
sn2008R,9.101481376925092,,
sn2009ad,,,
sn2006ob,,,
sn2009ds,,,
sn2007hx,,,
sn2007bd,,,
sn2004ey,,,
sn2007so,,,
sn2009ab,,,
sn2007A,,,
sn2008gl,,,
sn2007nq,,,
sn2007on,,,
sn2008hj,,,
sn2007st,,,
sn2009le,,,
sn2005hc,,,
sn2005bo,,,
sn2008fu,,,
sn2004gs,,,
sn2008ff,,,
sn2006D,,,
sn2005M,,,
sn2007S,,,
sn2006bh,,,
sn2009al,,,
sn2008O,,,
sn2006lu,,,
sn2007bm,,,
sn2007sr,,,
sn2008bz,,,
sn2014J,,,
sn2005A,,,
sn2004ef,,,
sn2006ax,,,
sn2005ku,,,
sn2008gg,,,
sn2007ca,,,
sn2005lu,,,
sn2006gj,,,
sn2008ar,,,
sn2006et,,,
sn2007ai,,,
sn2009I,,,
sn2006kf,,,
sn2008hu,,,
sn2008cc,,,
sn2009aa,,,
sn2006os,,,
sn2008hv,,,
sn2008go,,,
sn2006br,,,
sn2005eq,,,
sn2008fp,,,
sn2008C,,,
sn2006X,,,
sn2007jd,,,
sn2005kc,,,
sn2006ej,,,
sn2005al,,,
sn2005am,,,
sn2006hx,,,
sn2008cf,,,
sn2009ag,,,
sn2008fw,,,
sn2007af,,,
sn2006is,,,
sn2004eo,,,
sn2008bf,,,
sn2008fr,,,
sn2008gp,,,
sn2009cz,,,
sn2002cv,,,
sn2007le,,,
sn2009P,,,
sn2009D,,,
sn2008ia,,,
sn2008bc,,,
sn2005na,,,
sn2009Y,,,
sn2007ux,,,
sn2007as,,,
sn2007hj,,,
sn2005ki,,,
sn2007bc,,,
sn2005iq,,,
sn2008bq,,,
