,F99,F19,G23
sn2006hb,44723.2073641954,,45774.19060281268
sn2006hb,44723.2073641954,,45774.19060281268
sn2008fl,314947.3116805664,309190.66062056535,299337.37506947725
sn2007jg,274.7453809857504,234.2591989148815,176.19602256904676
sn2008R,7076.742502756451,6105.43426214828,6913.5188695412535
sn2009ad,2742.7130950136366,2424.2400819962522,2408.151433658738
sn2006ob,44.686699575208465,45.35584937369277,47.16799962816071
sn2009ds,5076.099731653036,5653.462332477775,4951.728563159993
sn2007hx,51.10977883373939,40.134212666690985,35.292167182940275
sn2007bd,866.5956356219094,896.6809494947355,1025.1507918744421
sn2004ey,3033.7989898818773,2947.9870698523255,2937.0916202605663
sn2007so,780.1570571217593,997.523059094838,831.5880269587705
sn2009ab,3311.8957487066154,3373.150894078585,3793.7550708030317
sn2007A,664.6526342625235,1247.6666591594467,905.1376233838516
sn2008gl,1226772.688586142,1358294.596206154,1088972.5472804531
sn2007nq,,,
sn2007on,,,
sn2008hj,,,
sn2007st,,,
sn2009le,,,
sn2005hc,,,
sn2005bo,,,
sn2008fu,,,
sn2004gs,,,
sn2008ff,,,
sn2006D,,,
sn2005M,,,
sn2007S,,,
sn2006bh,,,
sn2009al,,,
sn2008O,,,
sn2006lu,,,
sn2007bm,,,
sn2007sr,,,
sn2008bz,,,
sn2005A,,,
sn2004ef,,,
sn2006ax,,,
sn2005ku,,,
sn2008gg,,,
sn2007ca,,,
sn2005lu,,,
sn2006gj,,,
sn2008ar,,,
sn2006et,,,
sn2007ai,,,
sn2009I,,,
sn2006kf,,,
sn2008hu,,,
sn2008cc,,,
sn2009aa,,,
sn2006os,,,
sn2008hv,,,
sn2008go,,,
sn2006br,,,
sn2005eq,,,
sn2008fp,,,
sn2008C,,,
sn2006X,,,
sn2007jd,,,
sn2005kc,,,
sn2006ej,,,
sn2005al,,,
sn2005am,,,
sn2006hx,,,
sn2008cf,,,
sn2009ag,,,
sn2008fw,,,
sn2007af,,,
sn2006is,,,
sn2004eo,,,
sn2008bf,,,
sn2008fr,,,
sn2008gp,,,
sn2009cz,,,
sn2007le,,,
sn2009P,,,
sn2009D,,,
sn2008ia,,,
sn2008bc,,,
sn2005na,,,
sn2009Y,,,
sn2007ux,,,
sn2007as,,,
sn2007hj,,,
sn2005ki,,,
sn2007bc,,,
sn2005iq,,,
sn2008bq,,,
