,F99,F19,G23
sn2006hb,6.86643383304623,,7.294647883612249
sn2006hb,6.86643383304623,,7.294647883612249
sn2008fl,10.766917438151848,16.018420278128207,11.331697737561848
sn2007jg,5.821774410709433,5.5729020511902725,6.714314103180125
sn2008R,9.101481376925092,16.377122073960074,18.06577156256575
sn2009ad,5.54013749214776,5.264556222789274,5.995316049391223
sn2006ob,4.5468194141567055,3.517747091702008,4.457210015907399
sn2009ds,11.41379550803396,6.591402786672587,9.0709864783012
sn2007hx,5.935093399595944,5.254202545309687,6.17456741643622
sn2007bd,8.027080723573308,7.347883923213796,7.9093412165495005
sn2004ey,7.120986440681711,6.87156144093739,6.875037890499336
sn2007so,22.52969209711183,19.735463700280096,24.79580422201749
sn2009ab,4.939776490666698,17.651166477096425,7.4367643115266
sn2007A,1.6031409679813786,11.202486442252418,7.4585043929876065
sn2008gl,9.122923113360056,8.174838441192055,9.021100782685156
sn2007nq,8.811637164288978,6.94742590210669,8.526308751199934
sn2007on,12.991517761246437,12.755549191670385,14.333954622007372
sn2008hj,5.961033115511377,5.330405043206519,5.97128875891604
sn2007st,5.703449305936646,4.817303027755826,6.447515273528669
sn2009le,3.4042555812565176,3.0453572417912342,3.4384394640122258
sn2005hc,7.833143761776206,6.930586108250657,8.07321578643033
sn2005bo,1.3194911600355783,9.723834008808282,3.9243668896891406
sn2008fu,6.716883415684488,6.234579952006105,6.255264218435395
sn2004gs,3.58361571581059,5.863128485866135,6.113979605625788
sn2008ff,15.742138160477658,15.029617001930346,15.875310824147853
sn2006D,4.846314124049753,6.383715786042342,5.704402395804872
sn2005M,4.197677545185853,3.585499116759076,4.1811119874985065
sn2007S,2.9684464209999213,20.79650648766142,24.846684105690912
sn2006bh,6.109882657294102,5.485490308957362,5.892078216471627
sn2009al,4.020031334374904,4.0570176287942745,6.647638762560366
sn2008O,2.9763154690134024,6.877385242307747,8.393561221809778
sn2006lu,10.868630392462157,8.769155903820131,10.463870898469368
sn2007bm,2.827624611906602,80.29295074283206,91.67338547745786
sn2007sr,4.219565025759896,4.833475043543463,5.189189823947909
sn2008bz,13.293175139222894,13.19943769017797,13.476023340976404
sn2014J,45.13281641316689,717.4103714930936,189.38712224352057
sn2005A,3.778621532090071,79.02414274259363,45.68539254010285
sn2004ef,20.23328450969683,13.405288344943386,18.022492704584312
sn2006ax,4.738063689973698,4.377434406545806,4.812992206672053
sn2005ku,4.27009413791925,4.204365772224046,4.6812215393836665
sn2008gg,11.26646191198414,9.391344901486628,10.785793002448482
sn2007ca,2.916406895504471,36.84492939471089,12.85920426227568
sn2005lu,4.011840615773135,2.9827659935490467,3.946271095071293
sn2006gj,1.9339173585455744,6.688553969614977,2.7512130154904817
sn2008ar,7.788519788245961,6.568526253758506,7.82638456543215
sn2006et,5.573914595077448,6.939318481085616,8.144588614870157
sn2007ai,1.873803557621512,7.148015196510766,3.25726462853901
sn2009I,0.9175292073381964,36.54750251901135,31.933665415991698
sn2006kf,4.023258863442873,7.266014796802742,4.433758495177558
sn2008hu,9.79023798667824,8.726616359581389,9.449785958367904
sn2008cc,8.673152432411976,8.661545776196181,9.136729740345356
sn2009aa,7.304960663528149,6.145701926270212,7.0073833885056045
sn2006os,3.452563781697134,12.70324592248375,12.08041896116408
sn2008hv,7.440847023984401,7.175889943556294,7.563065345056967
sn2008go,3.746754848613264,3.431536611437366,3.505608957512261
sn2006br,1.8037285293334384,26.33031107572316,16.006588731274284
sn2005eq,5.191080130722024,4.232985851508755,5.464375561982385
sn2008fp,11.309349590858195,117.80049830577602,189.4641424936598
sn2008C,5.858678245750984,7.570810195330779,6.0866034727050575
