,F99,F19,G23
sn2006hb,9649074.395915484,,9433160.903027035
sn2006hb,9649074.395915484,,9433160.903027035
sn2008fl,376.17989866632144,394.1471090009702,372.9684706575464
sn2007jg,17.020848065083943,14.702270615157069,17.372863678802343
sn2008R,8.451564451750633,14.484270198688082,16.63855023503511
sn2009ad,5.529884937513765,4.975058726915168,6.0117898918592845
sn2006ob,22.19877220413581,24.105189985802376,27.46687452832192
sn2009ds,10.371097422917286,5.859862414786734,8.327076254543423
sn2007hx,6.0212936729554345,5.481216652362148,6.3864578867808754
sn2007bd,40.212510038228174,32.162768264761354,36.67505547997386
sn2004ey,10.383898751474632,9.93381103293078,9.954680866544194
sn2007so,70.84133176651065,64.29952889370216,64.13399802230398
sn2009ab,4.727598039311253,15.282132204321911,7.116282840469798
sn2007A,1.6078977893513542,9.930611911534289,7.050999085905156
sn2008gl,1046.134000884106,930.531526750358,967.3545713572224
sn2007nq,,,
sn2007on,,,
sn2008hj,5.765528045580194,5.146171460679549,5.816056921540675
sn2007st,19.071305281490424,19.768332208255806,21.400092056733463
sn2009le,43.64117986713672,40.23710414935071,79.94074087835894
sn2005hc,1200.3654942689357,1096.3133415401403,1372.5807772854484
sn2005bo,1.1561865397278164,7.852725408745499,3.4756379259224133
sn2008fu,,,
sn2004gs,,,
sn2008ff,38269.88557657146,29595.93724495406,35698.75567909191
sn2006D,,,
sn2005M,738.1175967617728,710.3340882929599,717.8651191300686
sn2007S,2258.181745249671,1836.0434795442209,1571.2452988952864
sn2006bh,11738.905490392288,12157.177426764903,11754.82126613957
sn2009al,96.96608540798528,110.5810340773952,104.76720720608516
sn2008O,,,
sn2006lu,482154.36485585023,592081.8062145824,610782.0612723012
sn2007bm,29.54149627403616,92.96636441423932,112.90549414151712
sn2007sr,,,
sn2008bz,1547.4115746013083,1619.9392874590778,1347.3918544337405
sn2014J,,,
sn2005A,28.077479621819894,118.94898005709636,81.36070689526996
sn2004ef,398.0432150569172,398.4824382327711,417.0165149030887
sn2006ax,552.9509033232587,582.7431372395936,563.9141798660315
sn2005ku,4.038957385661092,3.905681791453098,4.416721775979461
sn2008gg,5975.183542770972,6190.953622759241,5072.045184010651
sn2007ca,56.88208919111508,85.90012958437728,61.692000545129126
sn2005lu,8474.789689215542,6455.150976489025,7429.60860704102
sn2006gj,,,
sn2008ar,256.32601125607715,246.8689488813025,306.54351672109925
sn2006et,50137.94359178917,42428.71941748892,45066.984827041815
sn2007ai,116.84636091746256,87.1464374148342,116.6569390355656
sn2009I,0.9774310154022336,34.19861451519711,30.26307772730557
sn2006kf,13195.676937490944,13210.02376457906,12306.053150244126
sn2008hu,9.316890449321471,8.27874443180268,9.012809578024202
sn2008cc,,,
sn2009aa,38.01098669693329,40.8384825277377,40.470122710824256
sn2006os,20.81009889016245,33.91932333298076,30.0349206091749
sn2008hv,,,
sn2008go,3.0520309366402016,2.668037680942294,2.8603645730222405
sn2006br,1.8965341426524864,26.228718516994867,16.042141757821774
sn2005eq,6041.238966552011,5064.118032542528,5132.888320697964
sn2008fp,69952779.40825921,119043773.8071261,53706437.305449024
sn2008C,21154.114330826786,12304.143543322138,13382.938243724557
sn2006X,1392259.358066527,1221135.4163677308,1152301.710214103
sn2007jd,5.887945158255444,5.899993375927376,5.979170933826081
sn2005kc,3.0292688330153714,16.230595087823843,6.552967835604452
sn2006ej,1388.4554321648989,1376.6909558232785,1252.8071657263877
sn2005al,6666.280566357287,6197.739613338914,6077.014658360722
sn2005am,2145.764782452448,2406.1613242031103,
sn2006hx,16.914972897473863,16.7017952720738,18.074188619875443
sn2008cf,148.34571665557783,110.092171056262,134.87027190712706
sn2009ag,305.5526235821007,349.2750823850081,251.50779953995087
sn2008fw,39007.811210003965,38927.29966113644,37721.60989371793
sn2007af,3229.742521786641,4095.597392007723,3893.594474255914
sn2006is,2688895.4188339976,3527847.658632217,4638991.025415474
sn2004eo,198.76479791300963,203.2786753375174,180.6661604300442
sn2008bf,25035.84286198885,25641.00998018729,21954.661483319203
sn2008fr,3858.663694830877,5642.207889150644,5428.2847804840485
sn2008gp,9.706963332657498,7.965897989400098,9.744786361655985
sn2009cz,4.405260448264672,5.301664710503337,5.827574562683063
sn2002cv,,,
sn2007le,718.4095421463309,704.9903213699555,615.9451930942183
sn2009P,48.78013819291272,78.99464217923659,61.16735228959809
sn2009D,32.26216198661845,43.073695439732006,42.27774863477509
sn2008ia,4091.30797122308,,
sn2008bc,29534.643179722872,33771.95145592388,30895.082016249933
sn2005na,70730.79034516806,38054.38837793072,34516.600141242314
sn2009Y,480681.7735834317,504346.6270582038,530355.3453192348
sn2007ux,,,
sn2007as,5370.331234653022,6270.8761434677845,5870.972371245506
sn2007hj,,,
sn2005ki,,,
sn2007bc,157.22252480598468,149.05426925826603,144.0483365818506
sn2005iq,74.2019437375547,82.03106933778255,72.95692525958893
sn2008bq,10.42795518288568,8.21986351775448,9.9357215454719
