,F99,F19,G23
sn2006hb,25203.10160130665,,24731.056539723857
sn2006hb,25203.10160130665,,24731.056539723857
sn2008fl,336.8254660223728,328.4614390543981,378.3343410314605
sn2007jg,43.98265833270837,57.89895626461499,65.07543679637506
sn2008R,38.13088128190368,164.59013789466331,281.4295387202366
sn2009ad,27.28472579357708,28.26753515884683,38.6861836497403
sn2006ob,95.21097718850253,25.4093150976039,28.44530206197335
sn2009ds,172.49020510640182,186.98535381028108,246.4856826342657
sn2007hx,11.196690273318218,16.052519292489272,26.27489632668924
sn2007bd,159.5252526238815,90.59260468938356,271.29546975801173
sn2004ey,348.360115012852,44.903313376516486,32.6794429141716
sn2007so,591.4069077698706,395.12372344048526,287.76824246400747
sn2009ab,278.5493103343413,840.7722004003735,153.45150563842515
sn2007A,29.75788331044805,160.35079566749457,91.51660173186912
sn2008gl,218.91994321080853,304.46596353394307,217.51303024821712
sn2007nq,188.96857507337185,191.12506938108115,193.4429490117461
sn2007on,,,
sn2008hj,107.20368505765236,11.93402103894874,11.890457409162313
sn2007st,459.60357241154776,274.9614549812378,781.6223410830103
sn2009le,306.51207326317325,285.9012787360781,304.8297707252435
sn2005hc,178.78888125929,180.05839536487693,178.37276168006986
sn2005bo,10.22674602732508,246.2691388715309,182.10943893698305
sn2008fu,175.60906174615317,177.3895702997546,173.3372350709946
sn2004gs,,,
sn2008ff,1948.1152557991768,1841.0833578276545,1699.4842580397462
sn2006D,,,
sn2005M,479.3742695880781,819.0284123054374,531.1067136792592
sn2007S,1351.3330779164564,1351.5888140106697,1744.368972584966
sn2006bh,860.5965029944099,931.1341211610204,1132.4489817738076
sn2009al,77.0786003371505,94.944727705298,293.6274445548947
sn2008O,,,
sn2006lu,3170.612021593795,3139.185400148177,2892.042168451947
sn2007bm,241.86303883133223,1286.032972852317,1258.3319155245315
sn2007sr,90439.80821327936,90520.87461582747,82720.16580685819
sn2008bz,146.7556706976881,157.85265671232398,164.78845326571746
sn2014J,,,
sn2005A,33.693735382166615,197.3913031815713,639.352921256168
sn2004ef,84.0509186525263,326.4029231818361,90.76494114479746
sn2006ax,564.6943972884769,163.04747746192555,1786.52491796636
sn2005ku,35.52686391036998,74.2599451596302,64.06631904341882
sn2008gg,279.21496101091486,304.7373435382143,300.55309095726784
sn2007ca,199.257969204134,203.1985734263625,258.94397629959275
sn2005lu,395.635530903194,418.6166613338209,417.4651006472059
sn2006gj,,,
sn2008ar,211.695873420723,301.3263391311955,269.4405583775049
sn2006et,1424.5815806336057,1600.3634011889533,1426.6376260150598
sn2007ai,95.2501190541851,80.55846776792363,84.39242651983884
sn2009I,42.715323247820855,110.84845025119851,273.88839460966034
sn2006kf,780.5741575619982,1199.3085044436689,835.1017454429176
sn2008hu,13.936800040800886,24.80269616993943,172.77972863788375
sn2008cc,,,
sn2009aa,169.34726144686564,156.45149975879747,446.5444820864229
sn2006os,191.7644654304126,409.0304706084016,143.26335807433497
sn2008hv,,,
sn2008go,33.43896318788743,93.25232986968736,12.375410602152863
sn2006br,85.19445376392892,135.73345280430993,565.5886430918521
sn2005eq,1090.5209617315647,1081.415549057729,1041.01788759444
sn2008fp,82631.20088749181,90559.96401472457,62473.45785294097
sn2008C,2261.5651863020503,2099.848913055281,2154.9911608307466
sn2006X,8418.65307166579,18295.36581635937,80172.62618292873
sn2007jd,14.176496884679832,22.768700869424016,11.504666759242054
sn2005kc,25.955307010786942,247.74652603561967,136.02655049806694
sn2006ej,571.3263517257647,551.7224414679176,869.8027449937931
sn2005al,1593.3814556662026,1572.5950220297557,2119.6390558979483
sn2005am,1379.3703910466456,2187.4609319599767,2879.3199060327543
sn2006hx,60.08145367200305,46.79374616494419,45.79694593731854
sn2008cf,116.90658433164366,102.99907157843738,129.77214692679073
sn2009ag,539.4821762195952,508.3126139944097,1202.202213741892
sn2008fw,4485.348495222981,4007.367947397952,4311.395848243977
sn2007af,19942.09804244269,26801.298543198787,20207.215392248487
sn2006is,9553.913568597503,9055.552537935097,10699.517884973053
sn2004eo,148.43978368137164,787.6651369044638,369.7064957114695
sn2008bf,854.9336980421737,921.419180156686,816.3400756226744
sn2008fr,493.2506444934964,482.9437877547807,481.08201352522923
sn2008gp,125.51798100448667,137.28867911147523,173.40778078074777
sn2009cz,199.4823163527402,124.90927724843158,62.6073682201397
sn2002cv,,,
sn2007le,1388.1930322130236,1375.022749056017,3957.7971413225077
sn2009P,313.5721553341258,215.42548643433926,312.99033939569233
sn2009D,105.10774683036121,802.8330286644523,89.71984628713807
sn2008ia,748.3100373565351,796.5330619130624,785.3305577095189
sn2008bc,1519.361151916245,1023.9290957298298,1013.9713415543058
sn2005na,1475.7345766704766,1265.5109785044685,1211.8882608651863
sn2009Y,9881.058739938946,11233.8207534092,10487.353924359513
sn2007ux,,,
sn2007as,890.839583503593,1599.284581137434,792.7742025360574
sn2007hj,,,
sn2005ki,,,
sn2007bc,141.1791307237211,698.0067214096255,214.94741487973477
sn2005iq,89.13480585523175,217.93147454893935,304.2626163288583
sn2008bq,22.854507074009963,16.951921558349653,89.61418174563029
