,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],8.537,0.435,7.861,9.31,0.019,0.013,521.0,655.0,1.01
Ds[0],31.183,0.118,30.967,31.393,0.005,0.004,550.0,590.0,1.01
RV[0],4.226,0.854,2.931,5.876,0.038,0.027,489.0,561.0,1.01
"eps[0, 0]",-0.054,0.094,-0.225,0.123,0.002,0.003,1478.0,728.0,1.0
"eps[1, 0]",-0.165,0.208,-0.566,0.219,0.005,0.005,1722.0,738.0,1.01
"eps[2, 0]",-0.007,0.135,-0.256,0.248,0.004,0.006,1358.0,666.0,1.01
"eps[3, 0]",-0.029,0.189,-0.418,0.285,0.006,0.005,1006.0,868.0,1.0
"eps[4, 0]",-0.082,0.198,-0.452,0.283,0.006,0.005,997.0,903.0,1.0
"eps[5, 0]",0.066,0.219,-0.324,0.477,0.005,0.007,1639.0,768.0,1.01
"eps[6, 0]",-0.159,0.197,-0.521,0.204,0.006,0.005,983.0,640.0,1.0
"eps[7, 0]",-0.146,0.085,-0.304,0.013,0.004,0.003,583.0,601.0,1.01
"eps[8, 0]",0.022,0.095,-0.139,0.21,0.004,0.003,682.0,642.0,1.01
"eps[9, 0]",0.029,0.053,-0.068,0.131,0.002,0.002,1241.0,455.0,1.01
"eps[10, 0]",0.015,0.057,-0.087,0.125,0.001,0.002,1823.0,937.0,1.0
"eps[11, 0]",0.03,0.056,-0.085,0.124,0.002,0.002,1153.0,619.0,1.01
"eps[12, 0]",-0.029,0.045,-0.107,0.059,0.001,0.001,1619.0,786.0,1.0
"eps[13, 0]",-0.053,0.059,-0.163,0.056,0.001,0.001,1620.0,861.0,1.0
"eps[14, 0]",-0.294,0.146,-0.6,-0.046,0.004,0.003,1625.0,661.0,1.0
"eps[15, 0]",0.117,0.091,-0.042,0.296,0.003,0.002,1182.0,663.0,1.0
"eps[16, 0]",-0.066,0.062,-0.182,0.045,0.002,0.002,770.0,822.0,1.0
"eps[17, 0]",0.166,0.064,0.059,0.307,0.002,0.002,802.0,760.0,1.0
"eps[18, 0]",-0.063,0.065,-0.182,0.064,0.002,0.002,1176.0,763.0,1.0
"eps[19, 0]",0.025,0.081,-0.133,0.177,0.002,0.003,1435.0,547.0,1.01
"eps[20, 0]",0.038,0.062,-0.081,0.147,0.002,0.002,1543.0,849.0,1.0
"eps[21, 0]",0.143,0.053,0.05,0.242,0.002,0.001,1244.0,942.0,1.01
"eps[22, 0]",0.086,0.085,-0.068,0.242,0.002,0.002,1281.0,913.0,1.0
"eps[23, 0]",-0.108,0.132,-0.325,0.159,0.004,0.003,1100.0,690.0,1.0
"eps[24, 0]",0.107,0.135,-0.113,0.386,0.004,0.004,1226.0,716.0,1.0
"eps[25, 0]",-0.066,0.082,-0.212,0.1,0.003,0.002,679.0,696.0,1.0
"eps[26, 0]",0.061,0.074,-0.072,0.197,0.003,0.002,734.0,671.0,1.0
"eps[27, 0]",-0.037,0.087,-0.209,0.112,0.002,0.003,1552.0,710.0,1.01
"eps[28, 0]",0.035,0.116,-0.195,0.234,0.003,0.003,1251.0,815.0,1.0
"eps[29, 0]",-0.019,0.056,-0.122,0.093,0.002,0.002,1197.0,574.0,1.0
"eps[30, 0]",-0.035,0.057,-0.143,0.076,0.001,0.001,1493.0,784.0,1.0
"eps[31, 0]",-0.325,0.106,-0.536,-0.134,0.003,0.002,1382.0,646.0,1.0
"eps[32, 0]",0.016,0.158,-0.295,0.308,0.005,0.005,1123.0,716.0,1.01
"eps[33, 0]",-0.43,0.163,-0.713,-0.119,0.004,0.003,1557.0,680.0,1.01
"eps[34, 0]",-0.017,0.101,-0.213,0.155,0.004,0.004,711.0,546.0,1.0
"eps[35, 0]",-0.071,0.069,-0.203,0.055,0.002,0.002,816.0,621.0,1.0
"eps[36, 0]",0.166,0.098,-0.013,0.348,0.002,0.002,1644.0,807.0,1.0
"eps[37, 0]",0.075,0.098,-0.087,0.277,0.003,0.003,1476.0,712.0,1.01
"eps[38, 0]",0.144,0.07,0.014,0.284,0.002,0.002,1287.0,561.0,1.0
"eps[39, 0]",0.02,0.063,-0.092,0.137,0.002,0.002,1598.0,754.0,1.0
"eps[40, 0]",-0.06,0.069,-0.173,0.077,0.002,0.002,1762.0,808.0,1.0
"eps[41, 0]",-0.292,0.123,-0.511,-0.066,0.003,0.002,1626.0,758.0,1.0
"eps[42, 0]",-0.006,0.12,-0.221,0.223,0.003,0.004,1231.0,670.0,1.02
"eps[43, 0]",-0.347,0.072,-0.494,-0.218,0.002,0.002,957.0,737.0,1.01
"eps[44, 0]",-0.008,0.068,-0.124,0.132,0.002,0.002,1395.0,812.0,1.0
"eps[45, 0]",-0.068,0.06,-0.19,0.038,0.001,0.001,1739.0,701.0,1.0
"eps[46, 0]",-0.077,0.123,-0.317,0.148,0.003,0.004,1413.0,685.0,1.0
"eps[47, 0]",-0.006,0.037,-0.069,0.063,0.001,0.001,1539.0,563.0,1.0
"eps[48, 0]",0.147,0.095,-0.017,0.325,0.003,0.002,937.0,702.0,1.0
"eps[49, 0]",-0.042,0.098,-0.21,0.156,0.003,0.003,1357.0,776.0,1.0
"eps[50, 0]",0.1,0.131,-0.139,0.341,0.003,0.003,1573.0,663.0,1.01
"eps[51, 0]",0.073,0.108,-0.105,0.285,0.003,0.003,1611.0,733.0,1.0
"eps[52, 0]",0.061,0.093,-0.11,0.235,0.002,0.002,1547.0,977.0,1.0
