,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.195,0.053,0.099,0.287,0.003,0.002,362.0,473.0,1.0
Ds[0],35.54,0.05,35.452,35.636,0.003,0.002,404.0,552.0,1.0
RV[0],2.114,0.89,1.001,3.746,0.063,0.045,240.0,180.0,1.01
"eps[0, 0]",0.066,0.029,0.013,0.12,0.002,0.001,256.0,520.0,1.01
"eps[1, 0]",0.192,0.026,0.139,0.24,0.001,0.001,559.0,656.0,1.0
"eps[2, 0]",-0.124,0.024,-0.17,-0.075,0.001,0.001,721.0,573.0,1.0
"eps[3, 0]",0.173,0.027,0.126,0.225,0.001,0.001,322.0,539.0,1.01
"eps[4, 0]",-0.021,0.028,-0.073,0.03,0.001,0.001,442.0,617.0,1.0
"eps[5, 0]",0.14,0.181,-0.195,0.473,0.006,0.005,893.0,652.0,1.0
"eps[6, 0]",-0.085,0.171,-0.38,0.253,0.005,0.005,1050.0,705.0,1.0
"eps[7, 0]",0.043,0.148,-0.254,0.314,0.004,0.005,1211.0,705.0,1.0
"eps[8, 0]",-0.1,0.131,-0.326,0.158,0.004,0.004,916.0,692.0,1.01
"eps[9, 0]",0.062,0.027,0.011,0.108,0.002,0.001,223.0,412.0,1.02
"eps[10, 0]",0.119,0.016,0.09,0.15,0.001,0.001,354.0,569.0,1.01
"eps[11, 0]",-0.055,0.016,-0.085,-0.027,0.001,0.001,291.0,543.0,1.02
"eps[12, 0]",0.006,0.021,-0.039,0.042,0.002,0.001,175.0,290.0,1.02
"eps[13, 0]",0.021,0.021,-0.015,0.063,0.001,0.001,306.0,666.0,1.01
"eps[14, 0]",0.225,0.121,-0.014,0.434,0.004,0.003,1004.0,802.0,1.0
"eps[15, 0]",0.058,0.065,-0.059,0.176,0.002,0.002,930.0,848.0,1.0
"eps[16, 0]",0.123,0.066,-0.004,0.252,0.002,0.001,1156.0,742.0,1.0
"eps[17, 0]",0.029,0.068,-0.089,0.165,0.002,0.002,1048.0,658.0,1.01
"eps[18, 0]",0.067,0.029,0.013,0.119,0.002,0.001,203.0,483.0,1.02
"eps[19, 0]",0.099,0.018,0.066,0.133,0.001,0.001,522.0,809.0,1.01
"eps[20, 0]",-0.071,0.018,-0.104,-0.035,0.001,0.001,349.0,728.0,1.02
"eps[21, 0]",-0.024,0.022,-0.062,0.018,0.001,0.001,230.0,435.0,1.02
"eps[22, 0]",0.035,0.022,-0.009,0.074,0.001,0.001,343.0,669.0,1.01
"eps[23, 0]",0.094,0.112,-0.111,0.302,0.004,0.003,964.0,808.0,1.0
"eps[24, 0]",-0.026,0.064,-0.143,0.095,0.003,0.002,621.0,819.0,1.01
"eps[25, 0]",-0.099,0.06,-0.213,0.011,0.002,0.002,706.0,820.0,1.0
"eps[26, 0]",-0.081,0.063,-0.202,0.026,0.003,0.002,485.0,660.0,1.01
"eps[27, 0]",0.133,0.034,0.068,0.193,0.002,0.002,209.0,458.0,1.02
"eps[28, 0]",0.012,0.026,-0.033,0.061,0.001,0.001,754.0,655.0,1.0
"eps[29, 0]",-0.096,0.018,-0.132,-0.063,0.001,0.001,308.0,731.0,1.02
"eps[30, 0]",-0.082,0.021,-0.119,-0.04,0.001,0.001,199.0,322.0,1.02
"eps[31, 0]",-0.073,0.028,-0.128,-0.023,0.001,0.001,409.0,466.0,1.01
"eps[32, 0]",-0.074,0.123,-0.298,0.161,0.004,0.003,1209.0,801.0,1.0
"eps[33, 0]",0.071,0.057,-0.039,0.177,0.002,0.001,814.0,821.0,1.0
"eps[34, 0]",-0.092,0.07,-0.212,0.047,0.002,0.002,896.0,850.0,1.0
"eps[35, 0]",0.009,0.049,-0.089,0.095,0.002,0.001,832.0,743.0,1.0
"eps[36, 0]",0.079,0.03,0.027,0.135,0.002,0.001,259.0,646.0,1.01
"eps[37, 0]",-0.054,0.025,-0.104,-0.014,0.001,0.001,492.0,787.0,1.01
"eps[38, 0]",-0.07,0.02,-0.105,-0.029,0.001,0.001,484.0,656.0,1.01
"eps[39, 0]",-0.084,0.024,-0.128,-0.037,0.001,0.001,352.0,683.0,1.01
"eps[40, 0]",-0.023,0.022,-0.063,0.018,0.001,0.001,325.0,488.0,1.01
"eps[41, 0]",0.123,0.106,-0.068,0.32,0.003,0.002,1287.0,933.0,1.0
"eps[42, 0]",-0.101,0.091,-0.273,0.061,0.002,0.002,1346.0,842.0,1.01
"eps[43, 0]",-0.063,0.079,-0.2,0.093,0.002,0.002,1272.0,835.0,1.0
"eps[44, 0]",0.002,0.059,-0.098,0.12,0.002,0.002,1511.0,783.0,1.01
"eps[45, 0]",-0.017,0.044,-0.094,0.067,0.001,0.001,1125.0,736.0,1.0
"eps[46, 0]",0.124,0.055,0.017,0.224,0.002,0.002,596.0,701.0,1.0
"eps[47, 0]",-0.065,0.023,-0.107,-0.022,0.001,0.001,918.0,645.0,1.0
"eps[48, 0]",-0.153,0.031,-0.21,-0.094,0.002,0.001,415.0,780.0,1.0
"eps[49, 0]",-0.028,0.026,-0.08,0.016,0.001,0.001,372.0,820.0,1.0
"eps[50, 0]",-0.067,0.088,-0.244,0.091,0.002,0.002,1230.0,839.0,1.01
"eps[51, 0]",0.044,0.069,-0.071,0.188,0.002,0.002,1240.0,714.0,1.0
"eps[52, 0]",0.036,0.071,-0.092,0.173,0.002,0.002,1245.0,711.0,1.0
"eps[53, 0]",0.044,0.051,-0.045,0.15,0.001,0.001,1471.0,586.0,1.01
"eps_tform[0, 0]",0.718,0.315,0.142,1.309,0.02,0.014,256.0,520.0,1.01
"eps_tform[0, 1]",0.8,0.11,0.608,1.021,0.004,0.003,799.0,704.0,1.0
"eps_tform[0, 2]",-1.2,0.185,-1.514,-0.827,0.01,0.007,377.0,578.0,1.0
"eps_tform[0, 3]",0.693,0.1,0.507,0.885,0.006,0.004,317.0,444.0,1.01
"eps_tform[0, 4]",-0.077,0.119,-0.305,0.126,0.005,0.003,619.0,876.0,1.0
"eps_tform[0, 5]",0.625,0.859,-0.925,2.28,0.029,0.024,895.0,712.0,1.0
"eps_tform[0, 6]",-0.364,0.928,-2.045,1.379,0.029,0.027,1020.0,709.0,1.0
"eps_tform[0, 7]",0.252,0.902,-1.476,1.951,0.025,0.028,1261.0,778.0,1.0
"eps_tform[0, 8]",-0.747,0.893,-2.316,0.987,0.029,0.025,933.0,695.0,1.01
"eps_tform[0, 9]",1.049,0.541,0.033,2.008,0.036,0.027,228.0,421.0,1.01
"eps_tform[0, 10]",1.926,0.243,1.514,2.395,0.011,0.007,525.0,753.0,1.01
"eps_tform[0, 11]",-0.798,0.335,-1.443,-0.205,0.022,0.016,225.0,542.0,1.03
"eps_tform[0, 12]",-0.008,0.503,-0.959,0.868,0.037,0.026,186.0,365.0,1.01
"eps_tform[0, 13]",0.347,0.341,-0.239,1.013,0.019,0.013,321.0,611.0,1.01
"eps_tform[0, 14]",1.201,0.769,-0.358,2.49,0.024,0.018,1012.0,783.0,1.0
"eps_tform[0, 15]",0.632,0.714,-0.596,1.9,0.023,0.018,971.0,880.0,1.0
"eps_tform[0, 16]",0.995,0.744,-0.474,2.364,0.021,0.016,1246.0,796.0,1.0
"eps_tform[0, 17]",-0.159,0.808,-1.679,1.289,0.025,0.023,1021.0,706.0,1.0
"eps_tform[0, 18]",0.777,0.442,-0.093,1.531,0.028,0.02,240.0,662.0,1.02
"eps_tform[0, 19]",0.959,0.225,0.508,1.324,0.008,0.006,690.0,855.0,1.0
"eps_tform[0, 20]",-0.13,0.374,-0.85,0.543,0.023,0.016,266.0,730.0,1.02
"eps_tform[0, 21]",-0.474,0.409,-1.18,0.326,0.022,0.016,342.0,587.0,1.02
"eps_tform[0, 22]",0.995,0.317,0.36,1.561,0.017,0.012,341.0,706.0,1.01
"eps_tform[0, 23]",0.518,0.846,-0.915,2.086,0.029,0.024,851.0,650.0,1.0
"eps_tform[0, 24]",-0.37,0.453,-1.168,0.552,0.018,0.012,673.0,786.0,1.0
"eps_tform[0, 25]",-0.516,0.458,-1.297,0.394,0.016,0.012,789.0,625.0,1.0
"eps_tform[0, 26]",-0.643,0.513,-1.578,0.302,0.02,0.015,638.0,616.0,1.0
"eps_tform[0, 27]",1.293,0.403,0.54,2.049,0.025,0.018,266.0,498.0,1.02
"eps_tform[0, 28]",-0.184,0.321,-0.817,0.353,0.017,0.012,359.0,758.0,1.0
"eps_tform[0, 29]",-1.532,0.393,-2.225,-0.806,0.02,0.014,387.0,713.0,1.01
"eps_tform[0, 30]",-1.114,0.371,-1.763,-0.409,0.02,0.014,363.0,661.0,1.01
"eps_tform[0, 31]",-0.509,0.324,-1.108,0.097,0.012,0.009,714.0,883.0,1.01
"eps_tform[0, 32]",-0.126,0.863,-1.701,1.541,0.027,0.024,1060.0,767.0,1.0
"eps_tform[0, 33]",0.349,0.454,-0.42,1.301,0.016,0.012,766.0,761.0,1.0
"eps_tform[0, 34]",-0.277,0.564,-1.308,0.779,0.019,0.016,916.0,727.0,1.0
"eps_tform[0, 35]",0.265,0.681,-1.004,1.525,0.02,0.02,1143.0,707.0,1.0
"eps_tform[0, 36]",-0.085,0.356,-0.723,0.552,0.019,0.013,370.0,630.0,1.01
"eps_tform[0, 37]",-0.557,0.386,-1.281,0.142,0.021,0.015,343.0,600.0,1.01
"eps_tform[0, 38]",-0.361,0.431,-1.113,0.481,0.023,0.016,362.0,617.0,1.01
"eps_tform[0, 39]",-0.169,0.448,-0.945,0.691,0.02,0.014,514.0,530.0,1.0
"eps_tform[0, 40]",-0.173,0.346,-0.757,0.549,0.013,0.009,700.0,608.0,1.0
"eps_tform[0, 41]",0.573,0.934,-1.094,2.301,0.025,0.023,1353.0,843.0,1.0
"eps_tform[0, 42]",0.171,0.995,-1.691,1.961,0.027,0.039,1341.0,767.0,1.01
"eps_tform[0, 43]",0.202,0.977,-1.521,2.2,0.026,0.033,1470.0,510.0,1.0
"eps_tform[0, 44]",-0.066,1.022,-1.885,1.845,0.025,0.039,1659.0,715.0,1.01
"eps_tform[0, 45]",-0.383,0.877,-1.959,1.287,0.023,0.027,1487.0,837.0,1.0
"eps_tform[0, 46]",1.215,0.641,0.06,2.496,0.02,0.015,1018.0,715.0,1.0
"eps_tform[0, 47]",-0.8,0.851,-2.324,0.8,0.026,0.023,1066.0,689.0,1.0
"eps_tform[0, 48]",-0.797,0.601,-1.877,0.341,0.02,0.014,951.0,721.0,1.0
"eps_tform[0, 49]",1.312,0.582,0.273,2.361,0.018,0.014,1019.0,832.0,1.01
"eps_tform[0, 50]",-0.133,1.068,-2.124,1.907,0.028,0.036,1416.0,690.0,1.0
"eps_tform[0, 51]",0.015,0.982,-1.683,1.972,0.023,0.033,1720.0,806.0,1.0
"eps_tform[0, 52]",0.011,0.98,-1.685,1.926,0.028,0.036,1226.0,595.0,1.01
"eps_tform[0, 53]",-0.048,1.009,-2.162,1.603,0.027,0.041,1360.0,579.0,1.01
theta[0],1.694,0.065,1.565,1.806,0.002,0.002,741.0,773.0,1.0
tmax[0],-0.589,0.038,-0.66,-0.517,0.001,0.001,1457.0,651.0,1.01
peak_MJD[0],53264.296,0.039,53264.222,53264.37,0.001,0.001,1457.0,651.0,1.01
mu[0],35.538,0.106,35.346,35.732,0.004,0.003,856.0,915.0,1.0
delM[0],0.002,0.093,-0.172,0.162,0.003,0.002,1062.0,921.0,1.0
