,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.351,0.045,0.257,0.425,0.003,0.002,196.0,303.0,1.02
Ds[0],33.919,0.039,33.851,34.003,0.003,0.002,181.0,210.0,1.02
RV[0],4.449,0.962,2.897,6.0,0.058,0.041,269.0,341.0,1.0
"eps[0, 0]",0.184,0.029,0.13,0.239,0.001,0.001,447.0,730.0,1.01
"eps[1, 0]",-0.081,0.035,-0.142,-0.018,0.001,0.001,664.0,698.0,1.0
"eps[2, 0]",0.193,0.033,0.13,0.253,0.001,0.001,584.0,720.0,1.0
"eps[3, 0]",-0.105,0.024,-0.151,-0.061,0.001,0.001,414.0,668.0,1.0
"eps[4, 0]",0.104,0.03,0.048,0.161,0.001,0.001,429.0,537.0,1.01
"eps[5, 0]",0.964,0.158,0.677,1.245,0.007,0.005,559.0,570.0,1.01
"eps[6, 0]",0.187,0.032,0.129,0.246,0.002,0.001,231.0,331.0,1.02
"eps[7, 0]",0.276,0.034,0.214,0.344,0.002,0.002,199.0,239.0,1.02
"eps[8, 0]",0.112,0.039,0.035,0.176,0.003,0.002,236.0,353.0,1.01
"eps[9, 0]",-0.04,0.026,-0.088,0.009,0.002,0.001,258.0,383.0,1.02
"eps[10, 0]",-0.067,0.021,-0.104,-0.024,0.001,0.001,399.0,518.0,1.01
"eps[11, 0]",0.076,0.019,0.04,0.113,0.001,0.001,382.0,569.0,1.0
"eps[12, 0]",-0.024,0.018,-0.058,0.006,0.001,0.001,300.0,444.0,1.0
"eps[13, 0]",0.02,0.017,-0.012,0.052,0.001,0.001,303.0,511.0,1.0
"eps[14, 0]",1.444,0.096,1.268,1.634,0.003,0.002,790.0,693.0,1.0
"eps[15, 0]",-0.329,0.027,-0.383,-0.278,0.002,0.001,226.0,326.0,1.01
"eps[16, 0]",0.158,0.029,0.105,0.215,0.002,0.001,190.0,289.0,1.01
"eps[17, 0]",-0.091,0.034,-0.157,-0.028,0.002,0.002,202.0,321.0,1.01
"eps[18, 0]",0.044,0.026,-0.001,0.096,0.002,0.001,259.0,428.0,1.01
"eps[19, 0]",-0.056,0.018,-0.09,-0.024,0.001,0.001,349.0,560.0,1.01
"eps[20, 0]",-0.031,0.018,-0.065,0.003,0.001,0.001,400.0,603.0,1.0
"eps[21, 0]",-0.172,0.016,-0.202,-0.142,0.001,0.001,300.0,534.0,1.01
"eps[22, 0]",-0.263,0.015,-0.295,-0.237,0.001,0.001,225.0,475.0,1.01
