,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.027,0.019,0.0,0.062,0.001,0.001,387.0,363.0,1.01
Ds[0],34.117,0.024,34.07,34.157,0.002,0.001,180.0,419.0,1.02
RV[0],3.615,1.433,1.327,5.983,0.042,0.03,1124.0,687.0,1.01
"eps[0, 0]",0.071,0.026,0.027,0.12,0.001,0.001,527.0,729.0,1.0
"eps[1, 0]",0.186,0.037,0.119,0.258,0.001,0.001,911.0,700.0,1.0
"eps[2, 0]",0.009,0.029,-0.045,0.063,0.001,0.001,557.0,585.0,1.0
"eps[3, 0]",-0.017,0.022,-0.063,0.022,0.001,0.001,629.0,766.0,1.0
"eps[4, 0]",0.003,0.025,-0.044,0.05,0.001,0.001,514.0,557.0,1.0
"eps[5, 0]",-0.205,0.188,-0.535,0.158,0.007,0.005,707.0,586.0,1.0
"eps[6, 0]",-0.295,0.056,-0.405,-0.193,0.002,0.001,753.0,646.0,1.01
"eps[7, 0]",-0.137,0.044,-0.223,-0.06,0.002,0.001,679.0,584.0,1.0
"eps[8, 0]",-0.006,0.117,-0.23,0.201,0.004,0.003,822.0,777.0,1.0
"eps[9, 0]",-0.047,0.018,-0.08,-0.014,0.001,0.001,318.0,401.0,1.0
"eps[10, 0]",0.031,0.017,0.001,0.065,0.001,0.001,381.0,532.0,1.0
"eps[11, 0]",-0.038,0.015,-0.065,-0.006,0.001,0.001,362.0,440.0,1.01
"eps[12, 0]",0.003,0.014,-0.023,0.031,0.001,0.001,229.0,382.0,1.01
"eps[13, 0]",-0.085,0.017,-0.112,-0.051,0.001,0.001,198.0,255.0,1.01
"eps[14, 0]",0.19,0.119,-0.024,0.401,0.004,0.003,962.0,812.0,1.01
"eps[15, 0]",-0.056,0.032,-0.112,0.004,0.001,0.001,449.0,636.0,1.0
"eps[16, 0]",0.01,0.022,-0.029,0.05,0.001,0.001,336.0,592.0,1.01
"eps[17, 0]",0.031,0.036,-0.032,0.1,0.001,0.001,662.0,608.0,1.0
"eps[18, 0]",-0.083,0.019,-0.121,-0.05,0.001,0.001,377.0,514.0,1.01
"eps[19, 0]",0.084,0.02,0.047,0.12,0.001,0.001,634.0,630.0,1.0
"eps[20, 0]",-0.09,0.016,-0.12,-0.062,0.001,0.001,418.0,592.0,1.0
"eps[21, 0]",0.017,0.014,-0.007,0.045,0.001,0.001,308.0,375.0,1.0
"eps[22, 0]",-0.036,0.015,-0.062,-0.007,0.001,0.001,238.0,482.0,1.01
"eps[23, 0]",0.188,0.122,-0.039,0.403,0.005,0.003,681.0,752.0,1.0
"eps[24, 0]",-0.06,0.035,-0.13,0.003,0.002,0.001,323.0,764.0,1.0
"eps[25, 0]",-0.085,0.023,-0.126,-0.041,0.001,0.001,587.0,799.0,1.0
"eps[26, 0]",0.087,0.058,-0.013,0.201,0.002,0.001,1091.0,737.0,1.01
"eps[27, 0]",-0.035,0.028,-0.088,0.019,0.001,0.001,448.0,665.0,1.0
"eps[28, 0]",-0.033,0.034,-0.095,0.028,0.001,0.001,685.0,711.0,1.0
"eps[29, 0]",-0.02,0.019,-0.051,0.018,0.001,0.001,620.0,637.0,1.0
"eps[30, 0]",0.06,0.016,0.03,0.09,0.001,0.001,377.0,570.0,1.0
"eps[31, 0]",0.002,0.023,-0.041,0.049,0.001,0.001,251.0,469.0,1.01
"eps[32, 0]",-0.137,0.125,-0.35,0.115,0.004,0.003,1012.0,732.0,1.01
"eps[33, 0]",0.008,0.039,-0.064,0.081,0.002,0.002,291.0,622.0,1.0
"eps[34, 0]",0.083,0.037,0.018,0.152,0.002,0.001,371.0,567.0,1.01
"eps[35, 0]",0.059,0.043,-0.015,0.141,0.001,0.001,1001.0,834.0,1.01
"eps[36, 0]",-0.052,0.021,-0.092,-0.017,0.001,0.001,458.0,563.0,1.0
"eps[37, 0]",0.149,0.028,0.102,0.201,0.001,0.001,646.0,913.0,1.0
"eps[38, 0]",-0.027,0.017,-0.056,0.004,0.001,0.0,619.0,610.0,1.0
"eps[39, 0]",0.037,0.019,0.004,0.074,0.001,0.001,481.0,448.0,1.01
"eps[40, 0]",-0.064,0.014,-0.088,-0.035,0.001,0.001,409.0,559.0,1.01
"eps[41, 0]",0.195,0.112,-0.006,0.416,0.004,0.003,934.0,615.0,1.0
