,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],2.057,0.071,1.909,2.176,0.025,0.018,9.0,18.0,1.44
Ds[0],31.102,0.065,30.999,31.244,0.022,0.016,9.0,15.0,1.41
RV[0],1.585,0.072,1.432,1.72,0.019,0.014,14.0,25.0,1.24
"eps[0, 0]",0.241,0.127,0.025,0.38,0.059,0.045,7.0,12.0,1.62
"eps[1, 0]",0.118,0.053,0.018,0.209,0.011,0.008,24.0,132.0,1.11
"eps[2, 0]",0.256,0.11,0.058,0.371,0.052,0.04,7.0,12.0,1.6
"eps[3, 0]",-0.122,0.106,-0.231,0.093,0.05,0.038,7.0,12.0,1.64
"eps[4, 0]",0.428,0.174,0.092,0.597,0.084,0.064,7.0,12.0,1.6
"eps[5, 0]",0.078,0.197,-0.206,0.516,0.045,0.033,23.0,247.0,1.15
"eps[6, 0]",0.175,0.051,0.105,0.257,0.017,0.013,9.0,22.0,1.42
"eps[7, 0]",0.144,0.067,0.04,0.23,0.029,0.022,6.0,11.0,1.7
"eps[8, 0]",0.062,0.057,-0.017,0.155,0.022,0.016,8.0,36.0,1.46
"eps[9, 0]",0.06,0.058,-0.011,0.176,0.025,0.021,7.0,12.0,1.62
"eps[10, 0]",0.158,0.057,0.045,0.22,0.027,0.02,7.0,12.0,1.62
"eps[11, 0]",-0.049,0.032,-0.087,0.006,0.014,0.011,7.0,16.0,1.6
"eps[12, 0]",-0.027,0.033,-0.067,0.033,0.015,0.011,7.0,12.0,1.67
"eps[13, 0]",0.091,0.061,-0.014,0.156,0.029,0.022,7.0,12.0,1.62
"eps[14, 0]",-0.059,0.157,-0.271,0.185,0.068,0.051,6.0,12.0,1.67
"eps[15, 0]",0.053,0.055,-0.049,0.118,0.025,0.019,7.0,12.0,1.6
"eps[16, 0]",0.139,0.035,0.078,0.198,0.015,0.011,7.0,12.0,1.61
"eps[17, 0]",0.068,0.034,0.02,0.14,0.008,0.006,19.0,268.0,1.18
"eps[18, 0]",0.156,0.038,0.075,0.219,0.013,0.01,8.0,14.0,1.43
"eps[19, 0]",0.11,0.034,0.041,0.162,0.013,0.009,7.0,15.0,1.53
"eps[20, 0]",-0.117,0.023,-0.159,-0.069,0.009,0.006,9.0,12.0,1.38
"eps[21, 0]",-0.08,0.035,-0.133,-0.017,0.016,0.012,6.0,12.0,1.81
"eps[22, 0]",0.074,0.076,-0.059,0.145,0.037,0.028,7.0,23.0,1.57
"eps[23, 0]",-0.118,0.166,-0.389,0.113,0.067,0.05,6.0,18.0,1.69
"eps[24, 0]",0.008,0.069,-0.101,0.099,0.03,0.023,6.0,12.0,1.74
"eps[25, 0]",0.201,0.103,0.016,0.297,0.05,0.038,7.0,11.0,1.63
"eps[26, 0]",0.022,0.034,-0.055,0.082,0.004,0.004,52.0,255.0,1.18
"eps[27, 0]",-0.074,0.074,-0.165,0.06,0.034,0.025,7.0,12.0,1.62
"eps[28, 0]",0.356,0.166,0.051,0.495,0.081,0.062,7.0,12.0,1.62
"eps[29, 0]",-0.152,0.043,-0.209,-0.066,0.02,0.015,7.0,12.0,1.63
"eps[30, 0]",-0.142,0.023,-0.182,-0.094,0.008,0.006,10.0,12.0,1.36
"eps[31, 0]",-0.107,0.022,-0.147,-0.061,0.004,0.003,26.0,59.0,1.19
"eps[32, 0]",0.287,0.25,-0.131,0.578,0.114,0.086,7.0,12.0,1.61
"eps[33, 0]",-0.227,0.143,-0.357,0.018,0.069,0.053,7.0,16.0,1.55
"eps[34, 0]",0.061,0.062,-0.045,0.143,0.027,0.02,7.0,12.0,1.6
"eps[35, 0]",-0.091,0.073,-0.177,0.026,0.033,0.025,7.0,12.0,1.65
"eps[36, 0]",-0.086,0.089,-0.187,0.082,0.042,0.031,7.0,12.0,1.64
"eps[37, 0]",0.353,0.16,0.072,0.486,0.078,0.059,7.0,12.0,1.64
"eps[38, 0]",-0.054,0.022,-0.094,-0.02,0.008,0.007,8.0,12.0,1.47
"eps[39, 0]",-0.141,0.038,-0.204,-0.066,0.016,0.012,7.0,12.0,1.66
"eps[40, 0]",-0.031,0.038,-0.101,0.016,0.017,0.014,7.0,12.0,1.62
"eps[41, 0]",-0.2,0.202,-0.501,0.085,0.085,0.063,6.0,11.0,1.86
"eps[42, 0]",-0.086,0.035,-0.134,-0.011,0.01,0.007,13.0,134.0,1.25
"eps[43, 0]",-0.052,0.029,-0.102,0.005,0.009,0.007,9.0,21.0,1.35
"eps[44, 0]",-0.014,0.031,-0.076,0.047,0.005,0.004,31.0,271.0,1.43
"eps[45, 0]",0.051,0.034,-0.024,0.113,0.003,0.002,155.0,310.0,1.37
"eps[46, 0]",0.079,0.084,-0.06,0.181,0.038,0.029,7.0,13.0,1.64
"eps[47, 0]",0.014,0.014,-0.016,0.042,0.002,0.001,54.0,267.0,1.44
"eps[48, 0]",-0.151,0.035,-0.195,-0.085,0.015,0.011,7.0,12.0,1.61
"eps[49, 0]",0.084,0.032,0.033,0.13,0.013,0.01,7.0,12.0,1.66
"eps[50, 0]",-0.023,0.139,-0.216,0.319,0.042,0.031,11.0,102.0,1.3
"eps[51, 0]",-0.043,0.037,-0.119,0.016,0.01,0.007,14.0,122.0,1.22
