,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.1,0.055,0.029,0.228,0.017,0.014,17.0,13.0,1.17
Ds[0],35.635,0.054,35.506,35.705,0.016,0.012,18.0,12.0,1.17
RV[0],3.672,1.299,1.57,5.999,0.051,0.036,730.0,588.0,1.02
"eps[0, 0]",-0.188,0.047,-0.269,-0.102,0.006,0.004,64.0,466.0,1.05
"eps[1, 0]",-0.273,0.066,-0.403,-0.158,0.002,0.002,741.0,819.0,1.01
"eps[2, 0]",-0.194,0.065,-0.297,-0.069,0.01,0.007,48.0,795.0,1.06
"eps[3, 0]",-0.255,0.054,-0.36,-0.168,0.006,0.004,104.0,668.0,1.04
"eps[4, 0]",-0.289,0.056,-0.387,-0.18,0.004,0.003,211.0,883.0,1.02
"eps[5, 0]",-0.195,0.181,-0.48,0.155,0.022,0.016,78.0,887.0,1.04
"eps[6, 0]",-0.159,0.086,-0.29,0.003,0.021,0.015,21.0,38.0,1.12
"eps[7, 0]",-0.062,0.071,-0.193,0.067,0.004,0.004,248.0,795.0,1.03
"eps[8, 0]",-0.194,0.095,-0.364,-0.017,0.014,0.01,51.0,741.0,1.06
"eps[9, 0]",-0.025,0.027,-0.067,0.026,0.004,0.003,43.0,657.0,1.07
"eps[10, 0]",-0.038,0.027,-0.086,0.012,0.002,0.001,241.0,820.0,1.03
"eps[11, 0]",-0.043,0.028,-0.089,0.017,0.001,0.001,580.0,590.0,1.01
"eps[12, 0]",-0.079,0.021,-0.12,-0.039,0.001,0.001,648.0,633.0,1.02
"eps[13, 0]",0.015,0.028,-0.04,0.07,0.001,0.001,424.0,399.0,1.07
"eps[14, 0]",-0.014,0.111,-0.217,0.216,0.004,0.004,985.0,736.0,1.08
"eps[15, 0]",-0.02,0.066,-0.14,0.089,0.011,0.008,37.0,683.0,1.07
"eps[16, 0]",0.06,0.048,-0.02,0.157,0.005,0.003,93.0,693.0,1.04
"eps[17, 0]",0.002,0.069,-0.15,0.12,0.002,0.003,924.0,805.0,1.05
"eps[18, 0]",-0.016,0.031,-0.072,0.036,0.007,0.005,25.0,47.0,1.11
"eps[19, 0]",-0.022,0.027,-0.073,0.03,0.001,0.001,867.0,776.0,1.05
"eps[20, 0]",0.141,0.03,0.08,0.196,0.002,0.001,299.0,774.0,1.02
"eps[21, 0]",0.065,0.02,0.026,0.1,0.001,0.001,539.0,772.0,1.02
"eps[22, 0]",0.155,0.029,0.107,0.211,0.003,0.002,104.0,775.0,1.04
"eps[23, 0]",-0.101,0.112,-0.321,0.096,0.003,0.004,1240.0,850.0,1.04
"eps[24, 0]",0.265,0.073,0.116,0.386,0.004,0.003,408.0,790.0,1.01
"eps[25, 0]",0.031,0.096,-0.147,0.215,0.003,0.003,1044.0,842.0,1.01
"eps[26, 0]",0.077,0.077,-0.078,0.218,0.003,0.002,813.0,864.0,1.04
"eps[27, 0]",0.004,0.036,-0.054,0.075,0.005,0.004,55.0,629.0,1.06
"eps[28, 0]",-0.047,0.046,-0.128,0.042,0.002,0.002,448.0,638.0,1.02
"eps[29, 0]",0.024,0.028,-0.023,0.082,0.002,0.002,318.0,772.0,1.03
"eps[30, 0]",-0.003,0.02,-0.039,0.036,0.001,0.001,732.0,766.0,1.02
"eps[31, 0]",-0.009,0.042,-0.089,0.068,0.002,0.002,362.0,613.0,1.01
"eps[32, 0]",-0.008,0.119,-0.225,0.226,0.004,0.004,1078.0,884.0,1.11
"eps[33, 0]",-0.079,0.08,-0.217,0.059,0.015,0.011,34.0,80.0,1.09
"eps[34, 0]",0.058,0.09,-0.097,0.218,0.013,0.01,54.0,884.0,1.05
"eps[35, 0]",0.041,0.068,-0.052,0.202,0.019,0.019,19.0,12.0,1.14
"eps[36, 0]",0.198,0.038,0.122,0.268,0.001,0.001,632.0,643.0,1.06
"eps[37, 0]",-0.039,0.054,-0.174,0.031,0.016,0.015,20.0,14.0,1.14
"eps[38, 0]",0.21,0.041,0.131,0.278,0.007,0.006,34.0,291.0,1.08
"eps[39, 0]",0.047,0.033,-0.002,0.117,0.003,0.002,97.0,876.0,1.03
"eps[40, 0]",0.056,0.034,-0.003,0.116,0.007,0.006,26.0,89.0,1.11
"eps[41, 0]",-0.082,0.106,-0.287,0.122,0.003,0.003,1180.0,752.0,1.03
"eps[42, 0]",-0.066,0.067,-0.206,0.051,0.004,0.003,187.0,658.0,1.03
"eps[43, 0]",0.006,0.079,-0.133,0.137,0.013,0.01,40.0,178.0,1.07
"eps[44, 0]",0.003,0.056,-0.093,0.105,0.004,0.003,252.0,709.0,1.02
"eps[45, 0]",-0.074,0.049,-0.174,0.006,0.005,0.005,72.0,732.0,1.04
"eps[46, 0]",0.009,0.072,-0.124,0.131,0.008,0.006,92.0,845.0,1.04
"eps[47, 0]",-0.004,0.026,-0.049,0.049,0.002,0.001,183.0,605.0,1.02
"eps[48, 0]",0.002,0.049,-0.077,0.089,0.007,0.005,62.0,448.0,1.05
"eps[49, 0]",0.103,0.042,0.02,0.177,0.001,0.001,1256.0,857.0,1.07
"eps[50, 0]",-0.009,0.091,-0.199,0.154,0.003,0.004,1279.0,482.0,1.06
"eps[51, 0]",0.172,0.066,0.036,0.285,0.005,0.004,193.0,727.0,1.02
