,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.802,0.076,0.673,0.964,0.004,0.003,371.0,524.0,1.01
Ds[0],36.033,0.068,35.893,36.153,0.003,0.002,378.0,544.0,1.01
RV[0],2.269,0.37,1.555,2.935,0.019,0.014,355.0,543.0,1.01
"eps[0, 0]",0.193,0.083,0.044,0.35,0.002,0.002,1534.0,841.0,1.01
"eps[1, 0]",0.433,0.157,0.121,0.705,0.004,0.003,1564.0,731.0,1.0
"eps[2, 0]",0.076,0.111,-0.137,0.282,0.003,0.003,1818.0,832.0,1.01
"eps[3, 0]",-0.118,0.146,-0.389,0.134,0.004,0.003,1634.0,830.0,1.0
"eps[4, 0]",-0.067,0.153,-0.364,0.227,0.004,0.004,1781.0,843.0,1.01
"eps[5, 0]",-0.143,0.193,-0.498,0.204,0.005,0.005,1776.0,870.0,1.01
"eps[6, 0]",0.1,0.172,-0.204,0.411,0.003,0.004,2620.0,630.0,1.0
"eps[7, 0]",0.032,0.146,-0.229,0.314,0.003,0.005,2064.0,676.0,1.01
"eps[8, 0]",0.059,0.135,-0.191,0.322,0.003,0.004,2110.0,671.0,1.01
"eps[9, 0]",-0.055,0.034,-0.121,0.006,0.001,0.001,725.0,881.0,1.01
"eps[10, 0]",-0.02,0.028,-0.076,0.031,0.001,0.001,1301.0,913.0,1.01
"eps[11, 0]",0.068,0.033,0.002,0.126,0.001,0.001,1480.0,812.0,1.0
"eps[12, 0]",0.032,0.032,-0.036,0.084,0.001,0.001,713.0,714.0,1.0
"eps[13, 0]",-0.048,0.031,-0.103,0.012,0.001,0.001,1160.0,855.0,1.0
"eps[14, 0]",-0.269,0.116,-0.491,-0.068,0.004,0.003,1073.0,756.0,1.0
"eps[15, 0]",-0.12,0.064,-0.236,0.0,0.002,0.001,1134.0,696.0,1.0
"eps[16, 0]",-0.09,0.062,-0.213,0.02,0.002,0.002,629.0,768.0,1.01
"eps[17, 0]",-0.017,0.061,-0.125,0.101,0.002,0.002,876.0,521.0,1.0
"eps[18, 0]",0.142,0.042,0.065,0.222,0.001,0.001,1057.0,679.0,1.01
"eps[19, 0]",0.217,0.04,0.142,0.289,0.001,0.001,1207.0,804.0,1.0
"eps[20, 0]",-0.244,0.041,-0.319,-0.166,0.001,0.001,955.0,806.0,1.01
"eps[21, 0]",-0.184,0.034,-0.249,-0.124,0.001,0.001,606.0,670.0,1.0
"eps[22, 0]",-0.24,0.038,-0.312,-0.168,0.001,0.001,897.0,899.0,1.0
"eps[23, 0]",0.085,0.125,-0.165,0.305,0.003,0.003,1517.0,881.0,1.01
"eps[24, 0]",-0.446,0.081,-0.589,-0.287,0.003,0.002,1011.0,949.0,1.0
"eps[25, 0]",-0.25,0.08,-0.39,-0.093,0.003,0.002,910.0,739.0,1.0
"eps[26, 0]",0.039,0.092,-0.13,0.215,0.003,0.003,1009.0,782.0,1.01
"eps[27, 0]",0.18,0.053,0.089,0.289,0.002,0.001,853.0,727.0,1.0
"eps[28, 0]",0.274,0.074,0.125,0.411,0.002,0.002,1283.0,705.0,1.01
"eps[29, 0]",-0.011,0.04,-0.085,0.067,0.001,0.001,1415.0,816.0,1.0
"eps[30, 0]",0.015,0.037,-0.055,0.086,0.001,0.001,847.0,751.0,1.01
"eps[31, 0]",-0.064,0.051,-0.158,0.034,0.002,0.001,972.0,842.0,1.0
"eps[32, 0]",-0.161,0.124,-0.398,0.055,0.003,0.003,2255.0,750.0,1.01
"eps[33, 0]",0.06,0.081,-0.09,0.207,0.003,0.002,850.0,822.0,1.0
"eps[34, 0]",-0.18,0.125,-0.429,0.044,0.003,0.003,1751.0,611.0,1.0
"eps[35, 0]",0.077,0.084,-0.088,0.233,0.002,0.002,1589.0,713.0,1.0
