,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],1.763,0.126,1.52,2.008,0.008,0.006,236.0,425.0,1.01
Ds[0],35.047,0.113,34.826,35.255,0.007,0.005,256.0,354.0,1.01
RV[0],2.068,0.215,1.653,2.449,0.013,0.009,267.0,456.0,1.01
"eps[0, 0]",0.036,0.08,-0.105,0.189,0.003,0.002,691.0,736.0,1.0
"eps[1, 0]",0.078,0.143,-0.195,0.318,0.005,0.004,671.0,884.0,1.01
"eps[2, 0]",-0.036,0.1,-0.216,0.157,0.003,0.003,911.0,879.0,1.01
"eps[3, 0]",-0.073,0.102,-0.265,0.116,0.004,0.003,680.0,767.0,1.0
"eps[4, 0]",0.005,0.09,-0.17,0.175,0.003,0.003,894.0,644.0,1.0
"eps[5, 0]",-0.057,0.203,-0.427,0.322,0.007,0.005,750.0,714.0,1.01
"eps[6, 0]",-0.014,0.094,-0.183,0.165,0.004,0.003,617.0,783.0,1.01
"eps[7, 0]",-0.038,0.075,-0.175,0.101,0.004,0.003,446.0,540.0,1.01
"eps[8, 0]",-0.096,0.1,-0.295,0.084,0.004,0.003,549.0,561.0,1.0
"eps[9, 0]",-0.053,0.047,-0.144,0.031,0.002,0.001,691.0,637.0,1.0
"eps[10, 0]",0.132,0.039,0.064,0.206,0.001,0.001,1080.0,834.0,1.0
"eps[11, 0]",-0.064,0.03,-0.123,-0.009,0.001,0.001,701.0,809.0,1.0
"eps[12, 0]",-0.005,0.027,-0.058,0.042,0.001,0.001,581.0,787.0,1.0
"eps[13, 0]",-0.076,0.031,-0.135,-0.018,0.001,0.001,706.0,743.0,1.0
"eps[14, 0]",0.037,0.136,-0.214,0.285,0.005,0.004,898.0,605.0,1.0
"eps[15, 0]",0.018,0.064,-0.1,0.134,0.002,0.002,681.0,706.0,1.01
"eps[16, 0]",0.063,0.053,-0.034,0.163,0.003,0.002,319.0,499.0,1.01
"eps[17, 0]",0.056,0.068,-0.076,0.179,0.004,0.003,363.0,558.0,1.0
"eps[18, 0]",-0.04,0.049,-0.131,0.049,0.002,0.001,839.0,807.0,1.0
"eps[19, 0]",0.08,0.059,-0.02,0.191,0.002,0.001,1114.0,650.0,1.02
"eps[20, 0]",0.001,0.044,-0.084,0.084,0.002,0.001,469.0,716.0,1.01
"eps[21, 0]",0.004,0.036,-0.061,0.07,0.001,0.001,589.0,777.0,1.0
"eps[22, 0]",0.032,0.045,-0.052,0.118,0.002,0.001,694.0,846.0,1.01
"eps[23, 0]",0.067,0.127,-0.196,0.282,0.003,0.003,1433.0,914.0,1.0
"eps[24, 0]",0.091,0.076,-0.052,0.227,0.002,0.002,942.0,802.0,1.0
"eps[25, 0]",-0.136,0.071,-0.258,0.007,0.003,0.002,507.0,455.0,1.01
"eps[26, 0]",0.019,0.117,-0.197,0.229,0.003,0.004,1190.0,708.0,1.01
"eps[27, 0]",0.017,0.07,-0.101,0.157,0.002,0.002,845.0,725.0,1.0
"eps[28, 0]",0.015,0.084,-0.151,0.165,0.002,0.003,1239.0,763.0,1.0
"eps[29, 0]",0.016,0.046,-0.073,0.098,0.002,0.001,841.0,849.0,1.01
"eps[30, 0]",0.006,0.041,-0.064,0.091,0.001,0.001,1174.0,835.0,1.01
"eps[31, 0]",0.091,0.065,-0.023,0.212,0.002,0.002,848.0,826.0,1.01
"eps[32, 0]",-0.019,0.142,-0.277,0.247,0.004,0.004,1561.0,777.0,1.01
"eps[33, 0]",0.168,0.146,-0.095,0.444,0.004,0.003,1353.0,946.0,1.01
"eps[34, 0]",0.054,0.131,-0.181,0.31,0.003,0.004,1513.0,621.0,1.0
"eps[35, 0]",0.05,0.084,-0.112,0.211,0.002,0.002,1544.0,786.0,1.0
"eps[36, 0]",-0.004,0.095,-0.177,0.182,0.003,0.004,1283.0,640.0,1.0
"eps[37, 0]",0.022,0.086,-0.143,0.175,0.002,0.003,1910.0,1024.0,1.01
"eps[38, 0]",-0.022,0.06,-0.132,0.092,0.002,0.002,1078.0,736.0,1.01
"eps[39, 0]",0.029,0.054,-0.069,0.126,0.002,0.001,1066.0,661.0,1.0
"eps[40, 0]",-0.035,0.061,-0.148,0.071,0.001,0.002,1884.0,928.0,1.0
"eps[41, 0]",0.076,0.114,-0.13,0.29,0.003,0.003,1198.0,687.0,1.0
"eps[42, 0]",-0.09,0.11,-0.269,0.138,0.003,0.003,1762.0,747.0,1.0
"eps[43, 0]",-0.003,0.089,-0.18,0.161,0.002,0.003,1249.0,810.0,1.0
"eps[44, 0]",-0.009,0.064,-0.131,0.107,0.002,0.002,1253.0,790.0,1.0
"eps[45, 0]",-0.004,0.056,-0.112,0.1,0.001,0.002,1642.0,778.0,1.0
"eps[46, 0]",0.011,0.114,-0.194,0.237,0.003,0.004,1811.0,643.0,1.0
"eps[47, 0]",-0.018,0.032,-0.082,0.039,0.001,0.001,1720.0,739.0,1.0
"eps[48, 0]",-0.017,0.086,-0.19,0.13,0.003,0.003,1003.0,753.0,1.01
"eps[49, 0]",0.013,0.079,-0.138,0.147,0.002,0.002,1645.0,875.0,1.0
"eps[50, 0]",-0.097,0.116,-0.322,0.104,0.004,0.003,954.0,859.0,1.01
"eps[51, 0]",-0.043,0.094,-0.213,0.136,0.003,0.003,1062.0,808.0,1.0
"eps[52, 0]",-0.058,0.086,-0.207,0.119,0.003,0.002,1006.0,716.0,1.0
"eps[53, 0]",-0.034,0.064,-0.152,0.091,0.002,0.002,1265.0,746.0,1.0
"eps_tform[0, 0]",0.395,0.875,-1.144,2.058,0.033,0.024,691.0,736.0,1.0
"eps_tform[0, 1]",0.309,0.67,-0.986,1.45,0.024,0.017,788.0,870.0,1.01
