,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],2.195,0.562,1.302,3.303,0.228,0.177,6.0,12.0,1.79
Ds[0],27.281,0.468,26.538,28.216,0.194,0.144,6.0,12.0,2.15
RV[0],2.031,0.782,1.117,3.786,0.329,0.256,7.0,13.0,1.92
"eps[0, 0]",0.019,0.046,-0.066,0.079,0.018,0.013,7.0,20.0,1.59
"eps[1, 0]",1.093,1.022,-0.067,2.128,0.5,0.385,5.0,12.0,2.62
"eps[2, 0]",0.279,0.258,-0.04,0.641,0.125,0.096,5.0,18.0,2.89
"eps[3, 0]",0.482,0.426,-0.051,0.996,0.205,0.159,4.0,12.0,3.56
"eps[4, 0]",0.448,0.459,-0.077,1.205,0.222,0.171,5.0,20.0,2.73
"eps[5, 0]",0.329,0.338,-0.032,0.95,0.162,0.123,5.0,12.0,3.22
"eps[6, 0]",-0.108,0.222,-0.557,0.158,0.104,0.079,5.0,12.0,3.1
"eps[7, 0]",0.325,0.442,-0.013,1.121,0.218,0.167,5.0,17.0,2.94
"eps[8, 0]",0.314,0.36,-0.026,0.907,0.176,0.135,5.0,11.0,3.18
"eps[9, 0]",0.201,0.193,-0.009,0.423,0.094,0.072,5.0,12.0,2.56
"eps[10, 0]",0.092,0.071,0.004,0.173,0.034,0.026,5.0,18.0,2.22
"eps[11, 0]",0.088,0.121,-0.053,0.252,0.059,0.045,5.0,21.0,2.59
"eps[12, 0]",0.208,0.184,0.006,0.413,0.09,0.069,5.0,16.0,2.52
"eps[13, 0]",0.137,0.176,-0.026,0.443,0.086,0.066,5.0,26.0,3.1
"eps[14, 0]",0.181,0.081,0.087,0.3,0.038,0.029,5.0,25.0,2.32
"eps[15, 0]",0.186,0.249,-0.069,0.55,0.118,0.09,5.0,14.0,2.76
"eps[16, 0]",-0.004,0.101,-0.18,0.147,0.049,0.037,5.0,30.0,2.84
"eps[17, 0]",0.07,0.171,-0.118,0.399,0.083,0.064,5.0,12.0,2.51
"eps[18, 0]",-0.06,0.099,-0.213,0.065,0.049,0.037,5.0,12.0,2.95
"eps[19, 0]",-0.072,0.058,-0.153,0.011,0.028,0.022,5.0,12.0,3.03
