,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],8.529,0.134,8.293,8.782,0.006,0.004,559.0,757.0,1.0
Ds[0],31.486,0.121,31.262,31.703,0.007,0.005,326.0,381.0,1.0
RV[0],2.129,0.115,1.927,2.349,0.006,0.004,370.0,661.0,1.0
"eps[0, 0]",-0.076,0.092,-0.262,0.08,0.003,0.003,1151.0,796.0,1.01
"eps[1, 0]",-0.18,0.197,-0.552,0.186,0.005,0.005,1487.0,832.0,1.0
"eps[2, 0]",-0.026,0.124,-0.254,0.212,0.004,0.004,949.0,552.0,1.0
"eps[3, 0]",-0.034,0.185,-0.375,0.319,0.006,0.005,1079.0,760.0,1.0
"eps[4, 0]",-0.02,0.186,-0.334,0.354,0.005,0.006,1235.0,835.0,1.0
"eps[5, 0]",0.122,0.221,-0.249,0.59,0.006,0.006,1255.0,714.0,1.01
"eps[6, 0]",-0.118,0.194,-0.505,0.222,0.005,0.006,1480.0,764.0,1.0
"eps[7, 0]",0.08,0.093,-0.09,0.269,0.003,0.002,799.0,733.0,1.01
"eps[8, 0]",-0.168,0.106,-0.377,0.016,0.004,0.003,573.0,606.0,1.0
"eps[9, 0]",0.027,0.051,-0.065,0.124,0.001,0.002,1301.0,723.0,1.0
"eps[10, 0]",0.012,0.056,-0.095,0.115,0.001,0.002,1729.0,585.0,1.0
"eps[11, 0]",0.004,0.054,-0.093,0.111,0.001,0.002,1314.0,908.0,1.0
"eps[12, 0]",-0.036,0.045,-0.126,0.043,0.001,0.001,1356.0,732.0,1.0
"eps[13, 0]",-0.031,0.062,-0.152,0.076,0.002,0.002,1172.0,739.0,1.0
"eps[14, 0]",-0.19,0.137,-0.468,0.048,0.003,0.003,1655.0,784.0,1.0
"eps[15, 0]",0.076,0.091,-0.082,0.255,0.002,0.002,1318.0,602.0,1.0
"eps[16, 0]",0.112,0.069,-0.022,0.239,0.003,0.002,710.0,782.0,1.0
"eps[17, 0]",0.018,0.071,-0.104,0.165,0.003,0.002,450.0,711.0,1.0
"eps[18, 0]",-0.026,0.066,-0.137,0.103,0.002,0.002,1396.0,802.0,1.0
"eps[19, 0]",0.023,0.081,-0.124,0.173,0.002,0.003,1596.0,666.0,1.0
"eps[20, 0]",0.034,0.064,-0.081,0.154,0.002,0.002,1115.0,849.0,1.0
"eps[21, 0]",0.129,0.052,0.023,0.221,0.001,0.001,1332.0,854.0,1.01
"eps[22, 0]",0.12,0.091,-0.041,0.298,0.002,0.002,1363.0,729.0,1.0
"eps[23, 0]",-0.053,0.135,-0.307,0.199,0.004,0.004,971.0,610.0,1.01
"eps[24, 0]",0.166,0.135,-0.065,0.431,0.003,0.003,1518.0,743.0,1.0
"eps[25, 0]",0.094,0.088,-0.086,0.247,0.004,0.002,635.0,687.0,1.0
"eps[26, 0]",-0.092,0.084,-0.256,0.058,0.004,0.003,489.0,579.0,1.0
"eps[27, 0]",-0.048,0.08,-0.206,0.083,0.002,0.002,1446.0,918.0,1.0
"eps[28, 0]",-0.033,0.118,-0.244,0.2,0.003,0.004,1291.0,599.0,1.01
"eps[29, 0]",-0.011,0.055,-0.116,0.087,0.001,0.002,1377.0,719.0,1.01
"eps[30, 0]",-0.071,0.056,-0.171,0.04,0.001,0.001,1810.0,911.0,1.0
"eps[31, 0]",-0.233,0.109,-0.422,-0.02,0.003,0.002,1098.0,707.0,1.0
"eps[32, 0]",0.012,0.145,-0.254,0.283,0.004,0.004,1638.0,867.0,1.0
"eps[33, 0]",-0.216,0.168,-0.528,0.097,0.005,0.004,1092.0,742.0,1.01
"eps[34, 0]",0.199,0.109,-0.01,0.396,0.004,0.003,812.0,665.0,1.0
"eps[35, 0]",-0.17,0.075,-0.313,-0.043,0.003,0.002,498.0,552.0,1.0
"eps[36, 0]",0.139,0.097,-0.049,0.315,0.003,0.002,1426.0,850.0,1.01
"eps[37, 0]",0.062,0.095,-0.124,0.233,0.002,0.002,1696.0,928.0,1.01
"eps[38, 0]",0.072,0.071,-0.059,0.205,0.002,0.002,1820.0,943.0,1.01
"eps[39, 0]",0.005,0.06,-0.109,0.116,0.002,0.002,1476.0,749.0,1.01
"eps[40, 0]",-0.036,0.068,-0.155,0.102,0.002,0.002,1298.0,782.0,1.01
"eps[41, 0]",-0.2,0.126,-0.437,0.036,0.003,0.003,1563.0,647.0,1.0
"eps[42, 0]",-0.04,0.118,-0.274,0.169,0.004,0.003,1071.0,859.0,1.02
"eps[43, 0]",-0.22,0.075,-0.35,-0.075,0.003,0.002,734.0,915.0,1.01
"eps[44, 0]",-0.048,0.067,-0.166,0.084,0.002,0.002,1074.0,884.0,1.01
"eps[45, 0]",-0.057,0.06,-0.17,0.065,0.002,0.001,1544.0,833.0,1.0
"eps[46, 0]",0.0,0.126,-0.216,0.246,0.003,0.004,1378.0,796.0,1.0
"eps[47, 0]",-0.003,0.036,-0.073,0.06,0.001,0.001,1618.0,649.0,1.0
"eps[48, 0]",0.115,0.089,-0.047,0.289,0.003,0.002,1171.0,823.0,1.01
"eps[49, 0]",0.005,0.096,-0.171,0.192,0.003,0.003,1397.0,649.0,1.0
"eps[50, 0]",0.081,0.131,-0.154,0.332,0.004,0.004,1348.0,804.0,1.01
"eps[51, 0]",0.055,0.105,-0.145,0.238,0.003,0.003,1379.0,772.0,1.0
"eps[52, 0]",0.061,0.09,-0.115,0.235,0.002,0.002,1463.0,842.0,1.0
"eps[53, 0]",0.077,0.072,-0.07,0.197,0.002,0.002,1338.0,863.0,1.0
"eps_tform[0, 0]",-0.826,0.996,-2.845,0.875,0.029,0.028,1151.0,796.0,1.01
"eps_tform[0, 1]",-0.729,0.911,-2.328,1.089,0.024,0.023,1497.0,807.0,1.0
"eps_tform[0, 2]",0.028,0.948,-1.782,1.835,0.032,0.029,918.0,629.0,1.01
"eps_tform[0, 3]",0.196,0.91,-1.545,2.005,0.025,0.024,1307.0,812.0,1.0
