,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.207,0.068,0.103,0.329,0.004,0.003,342.0,447.0,1.01
Ds[0],35.517,0.063,35.402,35.623,0.003,0.002,339.0,496.0,1.01
RV[0],2.227,1.055,1.001,4.412,0.062,0.044,338.0,442.0,1.0
"eps[0, 0]",0.073,0.029,0.013,0.121,0.001,0.001,378.0,605.0,1.01
"eps[1, 0]",0.196,0.027,0.148,0.25,0.001,0.001,558.0,744.0,1.01
"eps[2, 0]",-0.121,0.026,-0.17,-0.074,0.001,0.001,849.0,602.0,1.0
"eps[3, 0]",0.158,0.023,0.117,0.203,0.001,0.001,417.0,575.0,1.0
"eps[4, 0]",-0.024,0.028,-0.073,0.031,0.001,0.001,649.0,861.0,1.0
"eps[5, 0]",0.13,0.179,-0.207,0.45,0.006,0.004,870.0,689.0,1.0
"eps[6, 0]",-0.082,0.173,-0.406,0.246,0.005,0.006,1307.0,682.0,1.0
"eps[7, 0]",0.049,0.154,-0.274,0.317,0.004,0.006,1456.0,539.0,1.01
"eps[8, 0]",-0.096,0.133,-0.36,0.131,0.004,0.004,890.0,752.0,1.0
"eps[9, 0]",0.069,0.026,0.018,0.117,0.002,0.001,292.0,495.0,1.01
"eps[10, 0]",0.122,0.016,0.09,0.151,0.001,0.001,265.0,475.0,1.02
"eps[11, 0]",-0.053,0.017,-0.086,-0.025,0.001,0.001,274.0,526.0,1.02
"eps[12, 0]",-0.009,0.017,-0.038,0.024,0.001,0.001,241.0,488.0,1.02
"eps[13, 0]",0.021,0.021,-0.021,0.061,0.001,0.001,316.0,647.0,1.01
"eps[14, 0]",0.245,0.119,-0.006,0.45,0.003,0.002,1165.0,751.0,1.01
"eps[15, 0]",0.064,0.066,-0.059,0.187,0.002,0.002,785.0,706.0,1.01
"eps[16, 0]",0.138,0.065,0.008,0.255,0.002,0.002,1166.0,738.0,1.0
"eps[17, 0]",0.041,0.068,-0.08,0.167,0.002,0.002,1521.0,769.0,1.01
"eps[18, 0]",0.074,0.029,0.017,0.123,0.002,0.001,309.0,529.0,1.01
"eps[19, 0]",0.102,0.018,0.065,0.133,0.001,0.001,455.0,724.0,1.01
"eps[20, 0]",-0.069,0.019,-0.104,-0.03,0.001,0.001,303.0,568.0,1.02
"eps[21, 0]",-0.039,0.017,-0.074,-0.011,0.001,0.001,313.0,585.0,1.0
"eps[22, 0]",0.032,0.022,-0.009,0.07,0.001,0.001,333.0,685.0,1.01
"eps[23, 0]",0.087,0.114,-0.122,0.299,0.004,0.003,1011.0,650.0,1.0
"eps[24, 0]",-0.003,0.065,-0.11,0.13,0.002,0.002,688.0,701.0,1.0
"eps[25, 0]",-0.069,0.06,-0.187,0.041,0.002,0.002,685.0,628.0,1.0
"eps[26, 0]",-0.057,0.063,-0.17,0.06,0.003,0.002,481.0,631.0,1.0
"eps[27, 0]",0.141,0.033,0.076,0.2,0.002,0.001,300.0,557.0,1.01
"eps[28, 0]",0.015,0.027,-0.031,0.07,0.001,0.001,700.0,804.0,1.01
"eps[29, 0]",-0.093,0.02,-0.129,-0.055,0.001,0.001,278.0,480.0,1.02
"eps[30, 0]",-0.097,0.017,-0.127,-0.062,0.001,0.001,284.0,618.0,1.01
"eps[31, 0]",-0.076,0.029,-0.134,-0.026,0.001,0.001,401.0,503.0,1.01
"eps[32, 0]",-0.082,0.126,-0.305,0.156,0.003,0.003,1344.0,660.0,1.0
"eps[33, 0]",0.089,0.058,-0.027,0.185,0.002,0.001,932.0,681.0,1.01
"eps[34, 0]",-0.072,0.07,-0.207,0.049,0.002,0.002,918.0,759.0,1.0
"eps[35, 0]",0.031,0.048,-0.05,0.13,0.002,0.001,734.0,665.0,1.0
"eps[36, 0]",0.086,0.03,0.029,0.141,0.002,0.001,388.0,535.0,1.01
"eps[37, 0]",-0.051,0.024,-0.094,-0.005,0.001,0.001,525.0,649.0,1.01
"eps[38, 0]",-0.068,0.021,-0.105,-0.029,0.001,0.001,474.0,559.0,1.0
"eps[39, 0]",-0.098,0.021,-0.138,-0.057,0.001,0.001,452.0,730.0,1.01
"eps[40, 0]",-0.025,0.023,-0.068,0.016,0.001,0.001,392.0,621.0,1.0
"eps[41, 0]",0.129,0.105,-0.06,0.311,0.003,0.002,1467.0,919.0,1.0
"eps[42, 0]",-0.099,0.091,-0.272,0.064,0.002,0.002,2063.0,818.0,1.0
"eps[43, 0]",-0.053,0.077,-0.206,0.082,0.002,0.002,1494.0,588.0,1.0
"eps[44, 0]",0.008,0.057,-0.084,0.12,0.001,0.002,1830.0,755.0,1.0
"eps[45, 0]",-0.015,0.042,-0.092,0.068,0.001,0.001,1391.0,788.0,1.0
"eps[46, 0]",0.132,0.052,0.035,0.231,0.002,0.001,892.0,576.0,1.0
"eps[47, 0]",-0.066,0.021,-0.102,-0.024,0.001,0.001,749.0,604.0,1.0
"eps[48, 0]",-0.166,0.027,-0.218,-0.115,0.001,0.001,488.0,889.0,1.01
"eps[49, 0]",-0.031,0.026,-0.08,0.014,0.001,0.001,451.0,878.0,1.0
"eps[50, 0]",-0.073,0.086,-0.226,0.092,0.002,0.002,1286.0,713.0,1.01
"eps[51, 0]",0.044,0.07,-0.095,0.167,0.002,0.002,1883.0,476.0,1.01
"eps[52, 0]",0.038,0.071,-0.093,0.168,0.002,0.002,1761.0,890.0,1.0
"eps[53, 0]",0.039,0.05,-0.059,0.133,0.001,0.001,1882.0,896.0,1.0
"eps_tform[0, 0]",0.796,0.314,0.136,1.32,0.016,0.011,378.0,605.0,1.01
"eps_tform[0, 1]",0.808,0.109,0.607,1.014,0.004,0.003,773.0,774.0,1.0
