,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.215,0.076,0.097,0.358,0.004,0.003,375.0,349.0,1.01
Ds[0],35.52,0.072,35.392,35.639,0.004,0.003,386.0,394.0,1.01
RV[0],2.459,1.201,1.001,4.89,0.072,0.052,300.0,350.0,1.01
"eps[0, 0]",0.079,0.028,0.028,0.131,0.001,0.001,348.0,686.0,1.01
"eps[1, 0]",0.197,0.027,0.141,0.242,0.001,0.001,583.0,641.0,1.0
"eps[2, 0]",-0.126,0.026,-0.174,-0.077,0.001,0.001,681.0,752.0,1.0
"eps[3, 0]",0.154,0.022,0.117,0.2,0.001,0.001,345.0,656.0,1.01
"eps[4, 0]",-0.024,0.029,-0.076,0.03,0.001,0.001,489.0,658.0,1.0
"eps[5, 0]",0.117,0.178,-0.216,0.433,0.006,0.005,765.0,756.0,1.0
"eps[6, 0]",-0.082,0.168,-0.362,0.268,0.004,0.005,1615.0,732.0,1.0
"eps[7, 0]",0.048,0.15,-0.215,0.347,0.004,0.005,1389.0,810.0,1.01
"eps[8, 0]",-0.089,0.136,-0.334,0.168,0.004,0.004,951.0,785.0,1.01
"eps[9, 0]",0.075,0.025,0.025,0.118,0.002,0.001,263.0,489.0,1.01
"eps[10, 0]",0.122,0.016,0.092,0.154,0.001,0.001,286.0,463.0,1.01
"eps[11, 0]",-0.057,0.017,-0.088,-0.026,0.001,0.001,252.0,490.0,1.02
"eps[12, 0]",-0.013,0.015,-0.04,0.017,0.001,0.001,215.0,410.0,1.02
"eps[13, 0]",0.023,0.021,-0.017,0.06,0.001,0.001,270.0,500.0,1.02
"eps[14, 0]",0.247,0.116,0.018,0.455,0.004,0.003,1058.0,852.0,1.01
"eps[15, 0]",0.07,0.067,-0.05,0.195,0.002,0.002,868.0,695.0,1.0
"eps[16, 0]",0.142,0.068,0.011,0.272,0.002,0.002,1168.0,734.0,1.0
"eps[17, 0]",0.043,0.067,-0.076,0.166,0.002,0.002,1333.0,890.0,1.0
"eps[18, 0]",0.08,0.028,0.024,0.126,0.002,0.001,274.0,497.0,1.01
"eps[19, 0]",0.103,0.018,0.068,0.136,0.001,0.001,480.0,713.0,1.01
