,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.296,0.075,0.168,0.44,0.019,0.014,15.0,413.0,1.22
Ds[0],33.941,0.065,33.825,34.056,0.011,0.008,43.0,489.0,1.09
RV[0],2.761,1.235,1.01,5.032,0.305,0.219,13.0,93.0,1.24
"eps[0, 0]",0.255,0.141,0.117,0.534,0.068,0.052,7.0,34.0,1.53
"eps[1, 0]",-0.03,0.094,-0.144,0.166,0.043,0.032,7.0,30.0,1.53
"eps[2, 0]",0.291,0.154,0.142,0.589,0.074,0.057,7.0,29.0,1.53
"eps[3, 0]",-0.062,0.066,-0.141,0.072,0.03,0.023,8.0,37.0,1.53
"eps[4, 0]",0.177,0.132,0.041,0.423,0.063,0.048,7.0,23.0,1.55
"eps[5, 0]",0.437,0.913,-1.249,1.224,0.446,0.34,7.0,31.0,1.53
"eps[6, 0]",0.346,0.311,0.097,0.92,0.153,0.116,7.0,35.0,1.54
"eps[7, 0]",0.262,0.03,0.21,0.319,0.002,0.001,212.0,461.0,1.03
"eps[8, 0]",0.195,0.172,0.021,0.527,0.082,0.063,7.0,33.0,1.53
"eps[9, 0]",-0.052,0.031,-0.113,0.002,0.002,0.001,340.0,515.0,1.01
"eps[10, 0]",-0.053,0.029,-0.103,0.005,0.01,0.007,10.0,29.0,1.36
"eps[11, 0]",0.107,0.042,0.046,0.191,0.019,0.014,7.0,36.0,1.55
"eps[12, 0]",-0.026,0.024,-0.072,0.019,0.009,0.007,9.0,33.0,1.43
"eps[13, 0]",0.006,0.028,-0.047,0.057,0.01,0.007,9.0,45.0,1.4
"eps[14, 0]",0.612,1.428,-1.927,1.613,0.704,0.538,7.0,31.0,1.54
"eps[15, 0]",-0.172,0.309,-0.398,0.394,0.152,0.116,7.0,33.0,1.54
"eps[16, 0]",0.066,0.143,-0.202,0.196,0.07,0.053,8.0,53.0,1.53
"eps[17, 0]",-0.041,0.116,-0.176,0.18,0.054,0.041,8.0,37.0,1.53
"eps[18, 0]",-0.003,0.071,-0.145,0.085,0.033,0.025,7.0,37.0,1.54
"eps[19, 0]",-0.063,0.025,-0.11,-0.021,0.009,0.007,9.0,26.0,1.37
"eps[20, 0]",-0.034,0.031,-0.098,0.013,0.012,0.009,8.0,25.0,1.5
"eps[21, 0]",-0.149,0.029,-0.193,-0.092,0.012,0.009,7.0,36.0,1.54
"eps[22, 0]",-0.246,0.037,-0.3,-0.176,0.016,0.012,7.0,51.0,1.54
"eps[23, 0]",-0.676,1.007,-1.4,1.14,0.496,0.379,7.0,35.0,1.53
"eps[24, 0]",-0.026,0.294,-0.572,0.212,0.144,0.11,7.0,31.0,1.54
"eps[25, 0]",-0.273,0.057,-0.372,-0.169,0.022,0.016,8.0,44.0,1.46
"eps[26, 0]",0.191,0.13,-0.061,0.362,0.059,0.044,7.0,33.0,1.53
"eps[27, 0]",0.048,0.061,-0.07,0.142,0.026,0.02,7.0,45.0,1.52
"eps[28, 0]",0.231,0.055,0.126,0.316,0.023,0.017,8.0,35.0,1.52
"eps[29, 0]",-0.01,0.022,-0.053,0.027,0.007,0.005,11.0,66.0,1.3
"eps[30, 0]",-0.122,0.033,-0.17,-0.058,0.015,0.011,7.0,32.0,1.56
"eps[31, 0]",-0.342,0.048,-0.406,-0.247,0.02,0.015,7.0,40.0,1.53
"eps[32, 0]",-1.101,0.89,-1.776,0.539,0.437,0.334,7.0,31.0,1.53
"eps[33, 0]",-0.067,0.157,-0.371,0.105,0.074,0.056,7.0,54.0,1.54
