,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.268,0.085,0.135,0.415,0.027,0.02,11.0,237.0,1.31
Ds[0],33.976,0.074,33.842,34.09,0.018,0.013,18.0,260.0,1.18
RV[0],2.474,1.312,1.0,5.137,0.399,0.29,11.0,154.0,1.32
"eps[0, 0]",0.339,0.164,0.12,0.548,0.079,0.06,6.0,291.0,1.75
"eps[1, 0]",0.019,0.104,-0.139,0.177,0.048,0.036,6.0,240.0,1.73
"eps[2, 0]",0.373,0.176,0.145,0.601,0.086,0.065,6.0,165.0,1.75
"eps[3, 0]",-0.031,0.072,-0.129,0.082,0.033,0.025,6.0,115.0,1.75
"eps[4, 0]",0.253,0.153,0.055,0.454,0.073,0.056,6.0,221.0,1.76
"eps[5, 0]",-0.083,1.052,-1.314,1.189,0.516,0.394,6.0,244.0,1.73
"eps[6, 0]",0.539,0.362,0.133,0.994,0.177,0.135,6.0,247.0,1.74
"eps[7, 0]",0.253,0.031,0.2,0.314,0.003,0.002,121.0,355.0,1.05
"eps[8, 0]",0.292,0.197,0.037,0.547,0.095,0.073,6.0,241.0,1.74
"eps[9, 0]",-0.045,0.03,-0.099,0.012,0.002,0.001,244.0,413.0,1.01
"eps[10, 0]",-0.041,0.031,-0.092,0.02,0.01,0.008,9.0,89.0,1.4
"eps[11, 0]",0.123,0.045,0.048,0.192,0.02,0.015,6.0,124.0,1.75
"eps[12, 0]",-0.041,0.029,-0.087,0.012,0.012,0.009,7.0,60.0,1.66
"eps[13, 0]",-0.003,0.031,-0.055,0.054,0.012,0.009,7.0,76.0,1.54
"eps[14, 0]",-0.205,1.644,-1.948,1.579,0.811,0.62,6.0,172.0,1.75
"eps[15, 0]",0.018,0.356,-0.387,0.42,0.175,0.134,6.0,187.0,1.74
"eps[16, 0]",-0.019,0.165,-0.217,0.184,0.08,0.061,6.0,178.0,1.74
"eps[17, 0]",0.024,0.131,-0.161,0.2,0.063,0.048,6.0,271.0,1.74
"eps[18, 0]",-0.034,0.079,-0.147,0.092,0.037,0.028,6.0,155.0,1.74
"eps[19, 0]",-0.072,0.029,-0.124,-0.022,0.011,0.008,8.0,133.0,1.5
"eps[20, 0]",-0.054,0.036,-0.116,0.003,0.015,0.011,6.0,104.0,1.71
"eps[21, 0]",-0.139,0.029,-0.186,-0.093,0.013,0.009,6.0,101.0,1.72
"eps[22, 0]",-0.225,0.041,-0.297,-0.166,0.018,0.014,6.0,172.0,1.75
"eps[23, 0]",-0.089,1.166,-1.382,1.196,0.575,0.439,6.0,216.0,1.74
"eps[24, 0]",-0.18,0.338,-0.583,0.204,0.166,0.127,6.0,102.0,1.74
"eps[25, 0]",-0.25,0.06,-0.363,-0.159,0.025,0.018,7.0,224.0,1.64
"eps[26, 0]",0.125,0.145,-0.087,0.339,0.068,0.051,6.0,147.0,1.74
"eps[27, 0]",0.026,0.067,-0.094,0.128,0.029,0.022,6.0,237.0,1.69
"eps[28, 0]",0.208,0.061,0.106,0.305,0.027,0.02,6.0,282.0,1.71
"eps[29, 0]",-0.024,0.025,-0.069,0.02,0.009,0.006,8.0,173.0,1.43
"eps[30, 0]",-0.11,0.033,-0.158,-0.054,0.015,0.011,6.0,143.0,1.74
"eps[31, 0]",-0.316,0.052,-0.396,-0.225,0.023,0.017,6.0,208.0,1.73
"eps[32, 0]",-0.584,1.022,-1.757,0.591,0.503,0.384,6.0,167.0,1.74
"eps[33, 0]",-0.141,0.179,-0.382,0.111,0.085,0.065,6.0,120.0,1.75
"eps[34, 0]",-0.146,0.156,-0.358,0.074,0.074,0.056,6.0,119.0,1.74
"eps[35, 0]",0.048,0.088,-0.089,0.188,0.039,0.03,6.0,124.0,1.74
"eps[36, 0]",0.05,0.04,-0.02,0.127,0.014,0.011,8.0,233.0,1.45
"eps[37, 0]",0.054,0.033,-0.006,0.115,0.006,0.004,30.0,305.0,1.1
"eps[38, 0]",0.119,0.03,0.066,0.172,0.01,0.007,9.0,163.0,1.37
"eps[39, 0]",0.006,0.041,-0.072,0.073,0.015,0.011,8.0,226.0,1.44
"eps[40, 0]",-0.078,0.035,-0.136,-0.01,0.013,0.009,8.0,275.0,1.49
"eps[41, 0]",-0.123,0.25,-0.514,0.271,0.112,0.085,6.0,192.0,1.72
"eps[42, 0]",-0.154,0.062,-0.263,-0.054,0.026,0.019,7.0,220.0,1.66
"eps[43, 0]",-0.28,0.074,-0.386,-0.152,0.033,0.025,6.0,184.0,1.73
"eps[44, 0]",-0.017,0.043,-0.098,0.059,0.01,0.007,21.0,355.0,1.14
"eps[45, 0]",-0.012,0.049,-0.102,0.079,0.012,0.009,15.0,319.0,1.19
"eps[46, 0]",0.339,0.065,0.218,0.458,0.002,0.001,1076.0,698.0,1.02
"eps[47, 0]",0.122,0.029,0.064,0.175,0.008,0.006,12.0,378.0,1.24
"eps[48, 0]",-0.002,0.056,-0.095,0.086,0.024,0.018,6.0,148.0,1.72
"eps[49, 0]",0.143,0.032,0.078,0.199,0.002,0.001,415.0,606.0,1.03
"eps[50, 0]",0.161,0.146,-0.076,0.416,0.06,0.045,7.0,302.0,1.63
"eps[51, 0]",0.026,0.063,-0.089,0.143,0.002,0.002,753.0,793.0,1.02
"eps[52, 0]",0.043,0.357,-0.416,0.483,0.174,0.133,6.0,138.0,1.73
"eps[53, 0]",0.199,0.043,0.116,0.275,0.001,0.001,975.0,678.0,1.01
"eps_tform[0, 0]",3.681,1.781,1.31,5.953,0.862,0.656,6.0,291.0,1.75
"eps_tform[0, 1]",-0.436,0.269,-0.906,0.036,0.103,0.076,7.0,238.0,1.53
"eps_tform[0, 2]",1.631,0.816,0.533,2.789,0.388,0.295,6.0,155.0,1.74
"eps_tform[0, 3]",-0.472,0.083,-0.629,-0.326,0.004,0.003,420.0,594.0,1.02
"eps_tform[0, 4]",0.639,0.26,0.244,1.075,0.115,0.086,6.0,127.0,1.73
"eps_tform[0, 5]",-1.149,5.369,-7.31,5.336,2.635,2.012,6.0,423.0,1.73
"eps_tform[0, 6]",2.725,1.325,1.162,4.43,0.646,0.493,6.0,164.0,1.74
"eps_tform[0, 7]",0.876,0.275,0.424,1.351,0.116,0.086,7.0,242.0,1.7
"eps_tform[0, 8]",1.624,0.696,0.557,2.607,0.323,0.244,6.0,313.0,1.74
"eps_tform[0, 9]",-0.465,0.653,-1.782,0.665,0.14,0.1,22.0,117.0,1.14
"eps_tform[0, 10]",-1.31,0.367,-1.989,-0.607,0.042,0.03,75.0,235.0,1.05
"eps_tform[0, 11]",2.397,1.335,0.532,4.151,0.636,0.484,6.0,139.0,1.76
"eps_tform[0, 12]",-1.796,0.433,-2.577,-1.005,0.156,0.115,8.0,85.0,1.46
"eps_tform[0, 13]",-0.015,0.568,-0.931,0.951,0.239,0.178,6.0,118.0,1.68
"eps_tform[0, 14]",-0.834,10.32,-11.816,10.327,5.091,3.892,6.0,209.0,1.74
"eps_tform[0, 15]",0.415,1.736,-1.796,2.606,0.842,0.642,6.0,220.0,1.74
"eps_tform[0, 16]",1.181,0.317,0.595,1.808,0.021,0.015,234.0,334.0,1.01
"eps_tform[0, 17]",0.379,1.009,-1.26,1.785,0.463,0.35,6.0,281.0,1.73
"eps_tform[0, 18]",-1.01,0.91,-2.473,0.476,0.402,0.302,6.0,234.0,1.71
"eps_tform[0, 19]",-0.643,1.229,-2.167,0.853,0.6,0.458,6.0,182.0,1.74
"eps_tform[0, 20]",-0.43,0.68,-1.607,0.605,0.282,0.21,7.0,105.0,1.66
"eps_tform[0, 21]",-1.381,0.549,-2.283,-0.477,0.236,0.177,6.0,67.0,1.71
"eps_tform[0, 22]",-1.907,0.621,-2.8,-0.889,0.284,0.214,6.0,64.0,1.75
"eps_tform[0, 23]",-0.394,5.786,-7.178,6.543,2.838,2.167,6.0,172.0,1.74
"eps_tform[0, 24]",-0.044,0.591,-0.998,0.897,0.26,0.196,6.0,237.0,1.72
"eps_tform[0, 25]",-1.487,0.269,-1.986,-0.982,0.013,0.009,418.0,510.0,1.01
"eps_tform[0, 26]",0.684,0.401,-0.084,1.418,0.029,0.02,206.0,576.0,1.03
"eps_tform[0, 27]",0.158,0.908,-1.315,1.551,0.408,0.307,6.0,92.0,1.73
"eps_tform[0, 28]",-0.155,0.918,-1.48,1.176,0.43,0.326,6.0,240.0,1.74
"eps_tform[0, 29]",-0.251,0.814,-1.56,0.94,0.369,0.278,6.0,241.0,1.74
"eps_tform[0, 30]",-1.386,0.471,-2.174,-0.513,0.173,0.128,8.0,143.0,1.49
"eps_tform[0, 31]",-1.995,1.774,-4.181,0.116,0.868,0.662,6.0,123.0,1.75
"eps_tform[0, 32]",-2.178,4.65,-7.889,3.596,2.267,1.729,6.0,233.0,1.74
"eps_tform[0, 33]",-0.205,0.325,-0.777,0.45,0.021,0.015,252.0,478.0,1.01
"eps_tform[0, 34]",0.303,0.33,-0.314,0.883,0.056,0.04,36.0,262.0,1.09
"eps_tform[0, 35]",-0.659,1.127,-2.34,1.013,0.523,0.396,6.0,197.0,1.74
"eps_tform[0, 36]",-0.426,0.65,-1.522,0.668,0.272,0.203,7.0,84.0,1.67
"eps_tform[0, 37]",-0.55,0.501,-1.466,0.323,0.178,0.131,8.0,220.0,1.44
"eps_tform[0, 38]",0.794,0.407,0.025,1.559,0.041,0.029,101.0,249.0,1.06
"eps_tform[0, 39]",-0.933,1.176,-2.785,0.898,0.536,0.405,6.0,249.0,1.73
"eps_tform[0, 40]",-0.174,1.242,-1.792,1.462,0.6,0.457,6.0,155.0,1.74
"eps_tform[0, 41]",0.702,2.607,-3.226,4.775,1.185,0.894,6.0,212.0,1.73
"eps_tform[0, 42]",-1.525,0.484,-2.323,-0.685,0.2,0.149,7.0,192.0,1.65
"eps_tform[0, 43]",-0.493,0.615,-1.595,0.483,0.253,0.189,7.0,161.0,1.65
"eps_tform[0, 44]",0.153,0.866,-1.426,1.5,0.346,0.257,7.0,134.0,1.59
