,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.031,0.022,0.0,0.068,0.001,0.001,403.0,375.0,1.01
Ds[0],34.097,0.026,34.05,34.145,0.002,0.001,313.0,607.0,1.0
RV[0],3.713,1.434,1.402,5.993,0.045,0.032,964.0,543.0,1.01
"eps[0, 0]",0.073,0.027,0.029,0.127,0.001,0.001,712.0,654.0,1.0
"eps[1, 0]",0.189,0.038,0.117,0.257,0.001,0.001,867.0,594.0,1.0
"eps[2, 0]",0.007,0.03,-0.052,0.064,0.001,0.001,791.0,437.0,1.0
"eps[3, 0]",-0.026,0.023,-0.071,0.014,0.001,0.001,721.0,767.0,1.0
"eps[4, 0]",-0.011,0.025,-0.063,0.033,0.001,0.001,644.0,456.0,1.01
"eps[5, 0]",-0.213,0.182,-0.546,0.121,0.007,0.005,659.0,677.0,1.01
"eps[6, 0]",-0.302,0.055,-0.408,-0.199,0.002,0.001,905.0,805.0,1.0
"eps[7, 0]",-0.131,0.044,-0.213,-0.046,0.002,0.001,708.0,740.0,1.0
"eps[8, 0]",-0.008,0.113,-0.225,0.201,0.003,0.003,1108.0,913.0,1.0
"eps[9, 0]",-0.038,0.017,-0.073,-0.007,0.001,0.001,309.0,435.0,1.02
"eps[10, 0]",0.036,0.017,0.004,0.069,0.001,0.001,341.0,724.0,1.01
"eps[11, 0]",-0.035,0.015,-0.064,-0.009,0.001,0.001,384.0,730.0,1.01
"eps[12, 0]",-0.002,0.014,-0.028,0.024,0.001,0.001,305.0,545.0,1.01
"eps[13, 0]",-0.091,0.017,-0.124,-0.061,0.001,0.001,328.0,676.0,1.01
"eps[14, 0]",0.199,0.123,-0.031,0.424,0.004,0.003,921.0,621.0,1.01
"eps[15, 0]",-0.062,0.032,-0.124,-0.007,0.002,0.001,399.0,821.0,1.0
"eps[16, 0]",0.018,0.023,-0.029,0.056,0.001,0.001,408.0,529.0,1.01
"eps[17, 0]",0.039,0.037,-0.027,0.111,0.001,0.001,779.0,844.0,1.0
"eps[18, 0]",-0.078,0.018,-0.113,-0.046,0.001,0.001,387.0,594.0,1.01
"eps[19, 0]",0.088,0.019,0.053,0.124,0.001,0.001,662.0,566.0,1.01
"eps[20, 0]",-0.087,0.016,-0.12,-0.059,0.001,0.001,386.0,708.0,1.01
"eps[21, 0]",0.011,0.013,-0.015,0.034,0.001,0.0,417.0,610.0,1.01
"eps[22, 0]",-0.044,0.015,-0.075,-0.016,0.001,0.001,324.0,618.0,1.01
"eps[23, 0]",0.175,0.121,-0.066,0.395,0.004,0.003,875.0,636.0,1.01
"eps[24, 0]",-0.063,0.036,-0.13,0.012,0.002,0.001,444.0,760.0,1.01
"eps[25, 0]",-0.081,0.025,-0.125,-0.037,0.001,0.001,548.0,567.0,1.0
"eps[26, 0]",0.093,0.056,-0.011,0.197,0.002,0.001,901.0,634.0,1.0
"eps[27, 0]",-0.033,0.027,-0.08,0.019,0.001,0.001,501.0,624.0,1.0
"eps[28, 0]",-0.032,0.032,-0.091,0.027,0.001,0.001,883.0,748.0,1.01
"eps[29, 0]",-0.018,0.018,-0.051,0.018,0.001,0.0,688.0,742.0,1.0
"eps[30, 0]",0.052,0.016,0.022,0.081,0.001,0.001,332.0,705.0,1.01
