,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.387,0.07,0.274,0.517,0.003,0.002,483.0,550.0,1.0
Ds[0],35.527,0.066,35.4,35.633,0.003,0.002,516.0,724.0,1.0
RV[0],1.492,0.372,1.004,2.167,0.017,0.012,540.0,642.0,1.0
"eps[0, 0]",0.295,0.056,0.194,0.398,0.002,0.001,940.0,802.0,1.0
"eps[1, 0]",0.192,0.107,-0.023,0.374,0.003,0.002,1056.0,765.0,1.0
"eps[2, 0]",0.243,0.09,0.07,0.398,0.003,0.002,962.0,870.0,1.01
"eps[3, 0]",-0.008,0.074,-0.16,0.116,0.003,0.002,842.0,915.0,1.0
"eps[4, 0]",0.094,0.08,-0.055,0.242,0.003,0.002,1012.0,751.0,1.0
"eps[5, 0]",0.102,0.186,-0.246,0.424,0.005,0.005,1692.0,826.0,1.0
"eps[6, 0]",0.069,0.175,-0.261,0.37,0.004,0.005,1633.0,713.0,1.01
"eps[7, 0]",0.085,0.147,-0.197,0.359,0.004,0.004,1616.0,771.0,1.0
"eps[8, 0]",0.005,0.132,-0.234,0.25,0.004,0.004,1301.0,811.0,1.0
"eps[9, 0]",-0.051,0.029,-0.106,0.001,0.001,0.001,766.0,785.0,1.0
"eps[10, 0]",-0.001,0.022,-0.042,0.039,0.001,0.001,928.0,667.0,1.0
"eps[11, 0]",0.008,0.025,-0.038,0.053,0.001,0.001,744.0,612.0,1.0
"eps[12, 0]",0.053,0.02,0.015,0.088,0.001,0.001,695.0,608.0,1.0
"eps[13, 0]",-0.036,0.023,-0.081,0.006,0.001,0.001,663.0,815.0,1.01
"eps[14, 0]",-0.135,0.139,-0.386,0.132,0.004,0.003,1327.0,865.0,1.0
"eps[15, 0]",-0.162,0.066,-0.279,-0.042,0.002,0.001,1351.0,678.0,1.01
"eps[16, 0]",0.019,0.071,-0.106,0.15,0.002,0.002,1375.0,739.0,1.0
"eps[17, 0]",-0.034,0.068,-0.173,0.081,0.002,0.002,1578.0,787.0,1.01
"eps[18, 0]",0.052,0.034,-0.008,0.116,0.001,0.001,707.0,810.0,1.01
"eps[19, 0]",0.126,0.033,0.063,0.182,0.001,0.001,988.0,753.0,1.01
"eps[20, 0]",-0.162,0.029,-0.215,-0.107,0.001,0.001,1053.0,833.0,1.0
"eps[21, 0]",-0.107,0.021,-0.149,-0.07,0.001,0.001,741.0,814.0,1.01
"eps[22, 0]",-0.224,0.026,-0.27,-0.175,0.001,0.001,775.0,913.0,1.0
"eps[23, 0]",0.044,0.123,-0.168,0.28,0.003,0.003,1421.0,810.0,1.0
"eps[24, 0]",-0.356,0.055,-0.459,-0.26,0.002,0.001,1085.0,894.0,1.0
"eps[25, 0]",-0.334,0.046,-0.423,-0.25,0.002,0.001,785.0,636.0,1.01
"eps[26, 0]",-0.111,0.053,-0.21,-0.018,0.002,0.001,670.0,778.0,1.0
"eps[27, 0]",0.145,0.038,0.071,0.21,0.001,0.001,698.0,800.0,1.0
"eps[28, 0]",0.197,0.041,0.112,0.267,0.001,0.001,1201.0,842.0,1.0
"eps[29, 0]",-0.052,0.023,-0.096,-0.012,0.001,0.0,1149.0,753.0,1.0
"eps[30, 0]",0.001,0.019,-0.035,0.038,0.001,0.001,681.0,765.0,1.0
"eps[31, 0]",-0.081,0.029,-0.131,-0.021,0.001,0.001,786.0,835.0,1.0
"eps[32, 0]",-0.085,0.118,-0.295,0.14,0.003,0.003,1208.0,838.0,1.0
"eps[33, 0]",0.07,0.05,-0.019,0.172,0.002,0.001,937.0,944.0,1.0
"eps[34, 0]",0.005,0.056,-0.09,0.11,0.002,0.002,826.0,782.0,1.0
"eps[35, 0]",0.038,0.046,-0.044,0.118,0.002,0.001,617.0,890.0,1.0
"eps[36, 0]",-0.098,0.034,-0.16,-0.032,0.001,0.001,821.0,711.0,1.0
"eps[37, 0]",0.029,0.038,-0.039,0.097,0.001,0.001,968.0,708.0,1.01
"eps[38, 0]",-0.043,0.028,-0.093,0.011,0.001,0.001,1156.0,992.0,1.0
"eps[39, 0]",0.025,0.028,-0.027,0.076,0.001,0.001,744.0,704.0,1.01
"eps[40, 0]",0.1,0.027,0.049,0.148,0.001,0.001,847.0,913.0,1.0
"eps[41, 0]",-0.024,0.106,-0.21,0.17,0.003,0.003,1761.0,727.0,1.0
"eps[42, 0]",0.12,0.043,0.043,0.198,0.001,0.001,1285.0,967.0,1.0
"eps[43, 0]",0.094,0.049,0.002,0.179,0.002,0.001,941.0,841.0,1.0
"eps[44, 0]",0.173,0.046,0.095,0.265,0.001,0.001,1153.0,953.0,1.0
"eps[45, 0]",0.045,0.048,-0.041,0.137,0.001,0.001,1639.0,877.0,1.0
"eps[46, 0]",0.141,0.084,-0.023,0.288,0.002,0.001,3000.0,636.0,1.0
"eps[47, 0]",-0.005,0.026,-0.054,0.04,0.001,0.001,1703.0,609.0,1.01
"eps[48, 0]",-0.2,0.05,-0.294,-0.112,0.001,0.001,1169.0,971.0,1.0
"eps[49, 0]",-0.11,0.045,-0.202,-0.029,0.001,0.001,1292.0,885.0,1.0
"eps[50, 0]",0.083,0.095,-0.085,0.272,0.002,0.002,1768.0,783.0,1.01
"eps[51, 0]",-0.056,0.051,-0.147,0.043,0.002,0.001,1160.0,883.0,1.0
"eps[52, 0]",-0.05,0.072,-0.176,0.086,0.002,0.002,1924.0,790.0,1.0
"eps[53, 0]",0.027,0.053,-0.073,0.121,0.001,0.001,1650.0,963.0,1.0
"eps_tform[0, 0]",3.206,0.608,2.113,4.33,0.02,0.014,940.0,802.0,1.0
"eps_tform[0, 1]",0.446,0.509,-0.502,1.334,0.015,0.013,1129.0,767.0,1.01
"eps_tform[0, 2]",0.835,0.658,-0.397,2.057,0.021,0.017,946.0,782.0,1.0
"eps_tform[0, 3]",-0.573,0.338,-1.265,0.042,0.01,0.007,1174.0,813.0,1.0
"eps_tform[0, 4]",-0.009,0.411,-0.869,0.684,0.01,0.014,1718.0,823.0,1.0
"eps_tform[0, 5]",-0.041,0.885,-1.584,1.575,0.021,0.025,1760.0,854.0,1.0
"eps_tform[0, 6]",0.336,0.945,-1.418,2.049,0.023,0.028,1609.0,733.0,1.01
"eps_tform[0, 7]",0.285,0.915,-1.486,1.981,0.024,0.028,1531.0,645.0,1.0
"eps_tform[0, 8]",-0.03,0.909,-1.587,1.842,0.024,0.029,1430.0,768.0,1.0
"eps_tform[0, 9]",-0.704,0.582,-1.806,0.337,0.021,0.015,784.0,774.0,1.0
"eps_tform[0, 10]",-0.423,0.374,-1.109,0.237,0.012,0.009,1031.0,882.0,1.0
"eps_tform[0, 11]",0.248,0.451,-0.509,1.096,0.018,0.013,650.0,660.0,1.0
