,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.362,0.073,0.255,0.502,0.004,0.003,481.0,374.0,1.0
Ds[0],35.571,0.07,35.435,35.686,0.003,0.002,507.0,422.0,1.0
RV[0],1.465,0.397,1.001,2.23,0.019,0.014,544.0,507.0,1.0
"eps[0, 0]",0.305,0.054,0.203,0.405,0.002,0.001,743.0,732.0,1.0
"eps[1, 0]",0.205,0.106,0.005,0.39,0.003,0.002,1009.0,729.0,1.0
"eps[2, 0]",0.223,0.088,0.061,0.381,0.003,0.002,855.0,712.0,1.01
"eps[3, 0]",-0.015,0.074,-0.153,0.117,0.002,0.002,901.0,916.0,1.0
"eps[4, 0]",0.091,0.08,-0.053,0.239,0.003,0.002,943.0,809.0,1.0
"eps[5, 0]",0.088,0.188,-0.26,0.42,0.005,0.005,1411.0,662.0,1.0
"eps[6, 0]",0.085,0.175,-0.224,0.419,0.004,0.006,1507.0,748.0,1.01
"eps[7, 0]",0.089,0.144,-0.206,0.341,0.004,0.004,1475.0,649.0,1.0
"eps[8, 0]",0.016,0.129,-0.22,0.242,0.004,0.004,1218.0,838.0,1.0
"eps[9, 0]",-0.035,0.027,-0.084,0.016,0.001,0.001,739.0,698.0,1.0
"eps[10, 0]",-0.001,0.022,-0.04,0.041,0.001,0.001,938.0,878.0,1.0
"eps[11, 0]",-0.001,0.023,-0.043,0.045,0.001,0.001,803.0,555.0,1.0
"eps[12, 0]",0.041,0.018,0.009,0.077,0.001,0.0,793.0,750.0,1.01
"eps[13, 0]",-0.031,0.023,-0.072,0.012,0.001,0.001,779.0,785.0,1.0
"eps[14, 0]",-0.116,0.135,-0.384,0.121,0.003,0.003,1604.0,834.0,1.0
"eps[15, 0]",-0.147,0.066,-0.27,-0.026,0.002,0.001,1306.0,658.0,1.01
"eps[16, 0]",0.024,0.07,-0.101,0.166,0.002,0.002,1562.0,846.0,1.0
"eps[17, 0]",-0.032,0.07,-0.154,0.1,0.002,0.002,1663.0,805.0,1.01
"eps[18, 0]",0.066,0.033,0.01,0.129,0.001,0.001,676.0,649.0,1.0
"eps[19, 0]",0.129,0.032,0.069,0.184,0.001,0.001,1151.0,890.0,1.0
"eps[20, 0]",-0.174,0.028,-0.232,-0.126,0.001,0.001,944.0,896.0,1.0
"eps[21, 0]",-0.118,0.019,-0.153,-0.081,0.001,0.0,842.0,822.0,1.0
"eps[22, 0]",-0.221,0.026,-0.264,-0.166,0.001,0.001,741.0,875.0,1.0
"eps[23, 0]",0.066,0.119,-0.166,0.275,0.004,0.003,1012.0,809.0,1.0
"eps[24, 0]",-0.336,0.054,-0.429,-0.233,0.002,0.001,1096.0,891.0,1.0
"eps[25, 0]",-0.339,0.047,-0.431,-0.26,0.002,0.001,620.0,514.0,1.01
"eps[26, 0]",-0.101,0.049,-0.19,-0.012,0.002,0.001,643.0,757.0,1.01
"eps[27, 0]",0.16,0.036,0.098,0.226,0.001,0.001,700.0,781.0,1.0
"eps[28, 0]",0.197,0.041,0.121,0.274,0.001,0.001,1268.0,851.0,1.0
"eps[29, 0]",-0.063,0.023,-0.105,-0.02,0.001,0.001,1024.0,873.0,1.0
"eps[30, 0]",-0.01,0.018,-0.043,0.023,0.001,0.001,692.0,667.0,1.0
"eps[31, 0]",-0.078,0.031,-0.136,-0.025,0.001,0.001,944.0,854.0,1.0
"eps[32, 0]",-0.079,0.127,-0.303,0.149,0.004,0.003,1215.0,662.0,1.01
"eps[33, 0]",0.095,0.052,0.004,0.196,0.002,0.001,1005.0,799.0,1.0
"eps[34, 0]",0.002,0.056,-0.099,0.108,0.002,0.002,865.0,783.0,1.0
"eps[35, 0]",0.046,0.042,-0.023,0.129,0.002,0.001,574.0,653.0,1.0
"eps[36, 0]",-0.084,0.033,-0.143,-0.024,0.001,0.001,957.0,907.0,1.0
"eps[37, 0]",0.027,0.039,-0.04,0.107,0.001,0.001,942.0,809.0,1.0
"eps[38, 0]",-0.054,0.027,-0.105,-0.006,0.001,0.001,1300.0,961.0,1.0
"eps[39, 0]",0.012,0.027,-0.039,0.062,0.001,0.001,874.0,649.0,1.0
"eps[40, 0]",0.103,0.027,0.054,0.154,0.001,0.001,931.0,972.0,1.0
"eps[41, 0]",0.001,0.109,-0.184,0.218,0.003,0.004,1480.0,671.0,1.0
"eps[42, 0]",0.138,0.044,0.054,0.219,0.001,0.001,1238.0,631.0,1.01
"eps[43, 0]",0.092,0.049,0.002,0.18,0.002,0.001,841.0,925.0,1.0
"eps[44, 0]",0.18,0.046,0.092,0.264,0.001,0.001,1047.0,832.0,1.0
"eps[45, 0]",0.051,0.048,-0.043,0.131,0.001,0.001,1680.0,714.0,1.0
"eps[46, 0]",0.149,0.085,-0.005,0.312,0.002,0.002,2323.0,709.0,1.0
"eps[47, 0]",-0.008,0.025,-0.055,0.039,0.001,0.001,1925.0,651.0,1.01
"eps[48, 0]",-0.213,0.049,-0.299,-0.123,0.001,0.001,1216.0,993.0,1.0
"eps[49, 0]",-0.109,0.045,-0.188,-0.022,0.001,0.001,1321.0,786.0,1.0
"eps[50, 0]",0.071,0.099,-0.13,0.238,0.003,0.003,1347.0,653.0,1.01
"eps[51, 0]",-0.033,0.051,-0.132,0.058,0.002,0.001,958.0,816.0,1.0
"eps[52, 0]",-0.048,0.071,-0.194,0.07,0.002,0.002,1487.0,846.0,1.0
"eps[53, 0]",0.027,0.051,-0.07,0.121,0.001,0.001,1358.0,865.0,1.0
"eps_tform[0, 0]",3.318,0.588,2.212,4.403,0.022,0.015,743.0,732.0,1.0
"eps_tform[0, 1]",0.492,0.499,-0.392,1.43,0.016,0.013,1019.0,669.0,1.0
