,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],1.615,0.115,1.41,1.833,0.006,0.004,375.0,561.0,1.0
Ds[0],34.678,0.112,34.474,34.872,0.006,0.004,356.0,560.0,1.0
RV[0],1.596,0.155,1.324,1.894,0.008,0.006,365.0,530.0,1.0
"eps[0, 0]",0.026,0.054,-0.068,0.131,0.002,0.001,698.0,792.0,1.01
"eps[1, 0]",0.315,0.106,0.107,0.493,0.003,0.002,916.0,756.0,1.0
"eps[2, 0]",-0.063,0.069,-0.184,0.067,0.003,0.002,697.0,619.0,1.0
"eps[3, 0]",-0.15,0.058,-0.256,-0.036,0.002,0.001,1007.0,724.0,1.0
"eps[4, 0]",0.456,0.059,0.354,0.574,0.002,0.002,705.0,627.0,1.0
"eps[5, 0]",-0.287,0.201,-0.645,0.096,0.007,0.005,926.0,732.0,1.0
"eps[6, 0]",0.227,0.164,-0.051,0.545,0.005,0.004,954.0,757.0,1.01
"eps[7, 0]",-0.005,0.14,-0.278,0.251,0.004,0.004,1049.0,657.0,1.0
"eps[8, 0]",0.137,0.134,-0.118,0.384,0.004,0.003,1016.0,851.0,1.0
"eps[9, 0]",0.152,0.038,0.077,0.224,0.002,0.001,425.0,605.0,1.0
"eps[10, 0]",0.266,0.029,0.213,0.32,0.001,0.001,603.0,684.0,1.0
"eps[11, 0]",-0.18,0.021,-0.219,-0.141,0.001,0.001,525.0,813.0,1.0
"eps[12, 0]",-0.071,0.018,-0.104,-0.037,0.001,0.001,401.0,712.0,1.01
"eps[13, 0]",0.177,0.024,0.134,0.222,0.001,0.001,446.0,606.0,1.01
"eps[14, 0]",0.209,0.122,-0.01,0.433,0.004,0.003,1008.0,636.0,1.0
"eps[15, 0]",0.104,0.055,0.004,0.21,0.002,0.001,839.0,812.0,1.0
"eps[16, 0]",0.053,0.063,-0.077,0.162,0.002,0.002,861.0,724.0,1.0
"eps[17, 0]",0.037,0.06,-0.082,0.141,0.002,0.002,719.0,819.0,1.01
"eps[18, 0]",0.13,0.035,0.064,0.19,0.001,0.001,555.0,733.0,1.0
"eps[19, 0]",0.264,0.037,0.194,0.337,0.001,0.001,715.0,550.0,1.0
"eps[20, 0]",-0.106,0.024,-0.151,-0.064,0.001,0.001,586.0,626.0,1.0
"eps[21, 0]",-0.025,0.018,-0.057,0.009,0.001,0.001,482.0,645.0,1.01
"eps[22, 0]",0.088,0.024,0.041,0.131,0.001,0.001,453.0,686.0,1.0
