,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.083,0.037,0.012,0.145,0.002,0.001,461.0,546.0,1.01
Ds[0],35.081,0.033,35.022,35.143,0.002,0.001,368.0,558.0,1.0
RV[0],3.519,1.474,1.28,5.999,0.056,0.039,623.0,587.0,1.01
"eps[0, 0]",-0.084,0.035,-0.155,-0.025,0.001,0.001,542.0,732.0,1.0
"eps[1, 0]",0.14,0.041,0.062,0.217,0.001,0.001,930.0,752.0,1.01
"eps[2, 0]",-0.405,0.042,-0.49,-0.331,0.002,0.001,505.0,573.0,1.01
"eps[3, 0]",0.035,0.03,-0.024,0.088,0.001,0.001,698.0,694.0,1.0
"eps[4, 0]",-0.263,0.038,-0.334,-0.195,0.002,0.001,465.0,571.0,1.01
"eps[5, 0]",-0.092,0.183,-0.453,0.223,0.006,0.005,928.0,915.0,1.0
"eps[6, 0]",0.083,0.074,-0.052,0.219,0.003,0.002,613.0,606.0,1.01
"eps[7, 0]",0.143,0.066,0.03,0.277,0.002,0.002,739.0,592.0,1.0
"eps[8, 0]",-0.108,0.069,-0.236,0.023,0.003,0.002,682.0,591.0,1.0
"eps[9, 0]",0.121,0.026,0.068,0.164,0.001,0.001,360.0,501.0,1.01
"eps[10, 0]",0.033,0.021,-0.003,0.076,0.001,0.001,630.0,753.0,1.0
"eps[11, 0]",0.108,0.019,0.075,0.145,0.001,0.001,457.0,673.0,1.01
"eps[12, 0]",0.062,0.018,0.028,0.097,0.001,0.001,477.0,695.0,1.01
"eps[13, 0]",-0.023,0.021,-0.061,0.015,0.001,0.001,279.0,462.0,1.02
"eps[14, 0]",-0.019,0.138,-0.267,0.241,0.005,0.005,882.0,635.0,1.0
"eps[15, 0]",-0.002,0.059,-0.112,0.104,0.002,0.002,845.0,731.0,1.0
"eps[16, 0]",-0.007,0.048,-0.099,0.08,0.002,0.001,624.0,701.0,1.0
"eps[17, 0]",0.043,0.048,-0.035,0.136,0.002,0.001,880.0,824.0,1.0
"eps[18, 0]",0.024,0.024,-0.021,0.071,0.001,0.001,424.0,469.0,1.02
"eps[19, 0]",0.083,0.021,0.044,0.123,0.001,0.001,463.0,821.0,1.01
"eps[20, 0]",-0.058,0.019,-0.09,-0.022,0.001,0.001,444.0,669.0,1.01
"eps[21, 0]",-0.026,0.017,-0.059,0.004,0.001,0.001,387.0,696.0,1.01
"eps[22, 0]",-0.133,0.019,-0.165,-0.097,0.001,0.001,386.0,642.0,1.0
"eps[23, 0]",-0.095,0.119,-0.31,0.124,0.004,0.003,919.0,777.0,1.0
"eps[24, 0]",-0.095,0.06,-0.204,0.011,0.002,0.001,936.0,738.0,1.01
"eps[25, 0]",-0.072,0.053,-0.164,0.033,0.002,0.001,715.0,512.0,1.0
"eps[26, 0]",0.01,0.051,-0.084,0.104,0.002,0.001,872.0,811.0,1.0
"eps[27, 0]",0.016,0.034,-0.048,0.078,0.001,0.001,576.0,693.0,1.01
"eps[28, 0]",-0.15,0.029,-0.203,-0.096,0.001,0.001,750.0,744.0,1.0
"eps[29, 0]",0.101,0.021,0.058,0.137,0.001,0.001,662.0,734.0,1.01
"eps[30, 0]",-0.054,0.017,-0.085,-0.024,0.001,0.001,366.0,762.0,1.0
"eps[31, 0]",-0.044,0.026,-0.09,0.006,0.001,0.001,577.0,861.0,1.0
"eps[32, 0]",0.145,0.135,-0.107,0.388,0.004,0.003,1183.0,709.0,1.0
"eps[33, 0]",-0.236,0.057,-0.327,-0.119,0.002,0.002,616.0,799.0,1.0
"eps[34, 0]",-0.173,0.051,-0.273,-0.09,0.002,0.001,739.0,829.0,1.0
"eps[35, 0]",0.051,0.041,-0.022,0.132,0.002,0.001,498.0,734.0,1.0
"eps[36, 0]",-0.126,0.028,-0.185,-0.082,0.001,0.001,489.0,566.0,1.02
"eps[37, 0]",-0.137,0.028,-0.185,-0.079,0.001,0.001,943.0,689.0,1.0
"eps[38, 0]",-0.016,0.026,-0.064,0.032,0.001,0.001,830.0,656.0,1.0
"eps[39, 0]",-0.04,0.024,-0.088,0.002,0.001,0.001,751.0,634.0,1.0
"eps[40, 0]",0.001,0.023,-0.042,0.041,0.001,0.001,512.0,689.0,1.0
"eps[41, 0]",-0.037,0.109,-0.248,0.168,0.003,0.004,1089.0,729.0,1.0
"eps[42, 0]",0.279,0.06,0.168,0.399,0.002,0.001,865.0,804.0,1.0
"eps[43, 0]",0.261,0.055,0.157,0.366,0.002,0.001,1010.0,946.0,1.01
"eps[44, 0]",0.07,0.046,-0.016,0.152,0.001,0.001,1271.0,713.0,1.0
"eps[45, 0]",0.024,0.03,-0.033,0.078,0.001,0.001,1155.0,990.0,1.0
"eps[46, 0]",-0.167,0.043,-0.247,-0.089,0.002,0.001,731.0,671.0,1.01
"eps[47, 0]",-0.03,0.019,-0.068,0.004,0.001,0.0,1131.0,662.0,1.0
"eps[48, 0]",-0.155,0.023,-0.194,-0.109,0.001,0.001,685.0,898.0,1.0
"eps[49, 0]",-0.207,0.022,-0.25,-0.169,0.001,0.001,686.0,567.0,1.0
"eps[50, 0]",0.001,0.087,-0.169,0.161,0.003,0.003,1054.0,859.0,1.0
"eps[51, 0]",-0.199,0.069,-0.33,-0.07,0.002,0.001,1303.0,823.0,1.0
"eps[52, 0]",-0.228,0.065,-0.355,-0.115,0.002,0.001,1262.0,779.0,1.0
"eps[53, 0]",-0.062,0.046,-0.138,0.038,0.001,0.001,1275.0,563.0,1.01
"eps_tform[0, 0]",-0.914,0.376,-1.683,-0.267,0.016,0.011,542.0,732.0,1.0
"eps_tform[0, 1]",0.79,0.185,0.432,1.119,0.006,0.004,937.0,734.0,1.01
"eps_tform[0, 2]",-2.892,0.25,-3.314,-2.364,0.011,0.008,548.0,634.0,1.01
"eps_tform[0, 3]",0.409,0.113,0.219,0.639,0.004,0.003,774.0,688.0,1.0
"eps_tform[0, 4]",-0.275,0.135,-0.525,-0.023,0.005,0.004,627.0,709.0,1.01
"eps_tform[0, 5]",0.123,0.861,-1.578,1.642,0.029,0.021,899.0,849.0,1.0
"eps_tform[0, 6]",0.559,0.363,-0.044,1.301,0.014,0.01,628.0,697.0,1.01
"eps_tform[0, 7]",0.89,0.4,0.164,1.663,0.014,0.01,875.0,670.0,1.0
"eps_tform[0, 8]",-1.034,0.44,-1.811,-0.157,0.016,0.011,765.0,694.0,1.0
"eps_tform[0, 9]",2.163,0.507,1.153,3.045,0.026,0.019,367.0,494.0,1.01
"eps_tform[0, 10]",0.666,0.325,0.128,1.331,0.012,0.009,709.0,795.0,1.0
"eps_tform[0, 11]",1.615,0.328,1.027,2.233,0.017,0.012,370.0,671.0,1.01
"eps_tform[0, 12]",2.087,0.35,1.473,2.813,0.016,0.011,462.0,657.0,1.0
"eps_tform[0, 13]",-1.093,0.305,-1.671,-0.518,0.018,0.012,300.0,483.0,1.01
"eps_tform[0, 14]",-0.784,0.897,-2.396,0.982,0.029,0.026,971.0,664.0,1.0
