,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.091,0.043,0.002,0.165,0.002,0.002,328.0,462.0,1.01
Ds[0],35.07,0.039,35.002,35.144,0.002,0.001,421.0,502.0,1.0
RV[0],3.708,1.417,1.369,5.992,0.047,0.034,886.0,600.0,1.0
"eps[0, 0]",-0.08,0.035,-0.151,-0.02,0.002,0.001,379.0,497.0,1.01
"eps[1, 0]",0.143,0.04,0.069,0.219,0.001,0.001,886.0,899.0,1.01
"eps[2, 0]",-0.405,0.042,-0.473,-0.318,0.002,0.002,393.0,605.0,1.01
"eps[3, 0]",0.032,0.028,-0.017,0.087,0.001,0.001,791.0,785.0,1.0
"eps[4, 0]",-0.265,0.038,-0.332,-0.189,0.002,0.001,364.0,564.0,1.01
"eps[5, 0]",-0.096,0.181,-0.423,0.224,0.006,0.005,858.0,818.0,1.01
"eps[6, 0]",0.085,0.069,-0.038,0.216,0.002,0.002,789.0,902.0,1.0
"eps[7, 0]",0.147,0.063,0.029,0.267,0.002,0.002,690.0,847.0,1.0
"eps[8, 0]",-0.101,0.068,-0.219,0.033,0.002,0.002,810.0,715.0,1.0
"eps[9, 0]",0.127,0.025,0.078,0.171,0.002,0.001,258.0,417.0,1.01
"eps[10, 0]",0.036,0.021,-0.003,0.076,0.001,0.001,445.0,599.0,1.01
"eps[11, 0]",0.109,0.019,0.071,0.142,0.001,0.001,380.0,366.0,1.01
"eps[12, 0]",0.06,0.017,0.029,0.09,0.001,0.001,393.0,673.0,1.01
"eps[13, 0]",-0.023,0.021,-0.064,0.013,0.001,0.001,355.0,468.0,1.0
"eps[14, 0]",-0.007,0.134,-0.25,0.246,0.005,0.004,824.0,690.0,1.0
"eps[15, 0]",-0.001,0.059,-0.108,0.112,0.002,0.002,755.0,757.0,1.0
"eps[16, 0]",-0.002,0.048,-0.089,0.088,0.002,0.001,636.0,803.0,1.0
"eps[17, 0]",0.048,0.046,-0.036,0.131,0.002,0.001,756.0,925.0,1.0
"eps[18, 0]",0.027,0.023,-0.016,0.07,0.001,0.001,356.0,520.0,1.02
"eps[19, 0]",0.086,0.021,0.048,0.126,0.001,0.001,482.0,757.0,1.0
"eps[20, 0]",-0.058,0.018,-0.09,-0.025,0.001,0.001,315.0,574.0,1.02
"eps[21, 0]",-0.029,0.016,-0.059,0.003,0.001,0.001,390.0,458.0,1.01
"eps[22, 0]",-0.135,0.018,-0.17,-0.102,0.001,0.001,377.0,598.0,1.01
"eps[23, 0]",-0.099,0.123,-0.31,0.147,0.004,0.004,801.0,619.0,1.01
"eps[24, 0]",-0.091,0.059,-0.198,0.02,0.002,0.002,625.0,571.0,1.01
"eps[25, 0]",-0.069,0.05,-0.159,0.026,0.002,0.001,863.0,871.0,1.0
"eps[26, 0]",0.013,0.051,-0.08,0.113,0.002,0.001,771.0,849.0,1.01
"eps[27, 0]",0.017,0.033,-0.05,0.073,0.001,0.001,552.0,480.0,1.01
"eps[28, 0]",-0.149,0.028,-0.203,-0.098,0.001,0.001,809.0,665.0,1.0
"eps[29, 0]",0.1,0.022,0.062,0.145,0.001,0.001,531.0,866.0,1.01
"eps[30, 0]",-0.056,0.015,-0.084,-0.026,0.001,0.001,423.0,538.0,1.01
"eps[31, 0]",-0.045,0.025,-0.091,0.003,0.001,0.001,558.0,597.0,1.0
"eps[32, 0]",0.14,0.132,-0.116,0.374,0.004,0.003,978.0,866.0,1.0
"eps[33, 0]",-0.23,0.055,-0.339,-0.134,0.002,0.002,658.0,781.0,1.0
"eps[34, 0]",-0.169,0.052,-0.268,-0.083,0.002,0.001,787.0,838.0,1.0
"eps[35, 0]",0.058,0.042,-0.015,0.141,0.002,0.002,460.0,363.0,1.0
"eps[36, 0]",-0.123,0.026,-0.164,-0.068,0.001,0.001,392.0,450.0,1.01
"eps[37, 0]",-0.136,0.03,-0.194,-0.084,0.001,0.001,867.0,746.0,1.01
"eps[38, 0]",-0.017,0.025,-0.06,0.029,0.001,0.001,747.0,679.0,1.0
"eps[39, 0]",-0.045,0.023,-0.083,0.002,0.001,0.001,599.0,489.0,1.0
"eps[40, 0]",-0.002,0.023,-0.043,0.039,0.001,0.001,483.0,579.0,1.01
"eps[41, 0]",-0.034,0.103,-0.216,0.18,0.003,0.003,1028.0,625.0,1.0
"eps[42, 0]",0.278,0.062,0.157,0.387,0.002,0.001,1097.0,773.0,1.0
"eps[43, 0]",0.266,0.055,0.157,0.361,0.002,0.001,1064.0,810.0,1.0
"eps[44, 0]",0.075,0.048,-0.015,0.161,0.002,0.001,720.0,595.0,1.01
"eps[45, 0]",0.026,0.03,-0.03,0.077,0.001,0.001,829.0,629.0,1.0
"eps[46, 0]",-0.165,0.042,-0.243,-0.091,0.002,0.001,600.0,577.0,1.0
"eps[47, 0]",-0.031,0.019,-0.067,0.005,0.001,0.001,829.0,650.0,1.0
"eps[48, 0]",-0.158,0.021,-0.194,-0.118,0.001,0.001,629.0,615.0,1.01
"eps[49, 0]",-0.209,0.023,-0.254,-0.169,0.001,0.001,518.0,538.0,1.01
"eps[50, 0]",-0.005,0.084,-0.163,0.147,0.003,0.002,984.0,610.0,1.01
"eps[51, 0]",-0.2,0.066,-0.311,-0.066,0.002,0.001,1285.0,806.0,1.0
"eps[52, 0]",-0.223,0.064,-0.336,-0.103,0.002,0.001,1430.0,970.0,1.0
"eps[53, 0]",-0.059,0.045,-0.142,0.026,0.002,0.001,873.0,831.0,1.0
"eps_tform[0, 0]",-0.871,0.38,-1.638,-0.219,0.02,0.014,379.0,497.0,1.01
"eps_tform[0, 1]",0.797,0.183,0.437,1.108,0.006,0.004,915.0,753.0,1.01
"eps_tform[0, 2]",-2.911,0.236,-3.278,-2.383,0.011,0.008,436.0,620.0,1.01
"eps_tform[0, 3]",0.393,0.103,0.203,0.587,0.003,0.003,902.0,852.0,1.0
"eps_tform[0, 4]",-0.274,0.137,-0.511,-0.025,0.006,0.005,468.0,703.0,1.01
"eps_tform[0, 5]",0.104,0.844,-1.385,1.642,0.028,0.023,894.0,752.0,1.01
"eps_tform[0, 6]",0.571,0.345,-0.099,1.21,0.012,0.009,792.0,764.0,1.0
"eps_tform[0, 7]",0.914,0.38,0.189,1.617,0.013,0.01,812.0,839.0,1.0
"eps_tform[0, 8]",-0.988,0.445,-1.814,-0.183,0.015,0.011,854.0,683.0,1.0
"eps_tform[0, 9]",2.267,0.487,1.377,3.174,0.03,0.022,260.0,421.0,1.01
"eps_tform[0, 10]",0.695,0.324,0.118,1.329,0.014,0.01,551.0,773.0,1.01
"eps_tform[0, 11]",1.615,0.329,0.986,2.189,0.019,0.013,314.0,476.0,1.01
"eps_tform[0, 12]",2.021,0.301,1.478,2.571,0.014,0.01,476.0,585.0,1.01
"eps_tform[0, 13]",-1.099,0.306,-1.647,-0.523,0.016,0.011,372.0,547.0,1.01
"eps_tform[0, 14]",-0.705,0.872,-2.293,0.901,0.029,0.024,886.0,674.0,1.0
"eps_tform[0, 15]",-0.72,0.565,-1.85,0.283,0.021,0.015,754.0,779.0,1.0
"eps_tform[0, 16]",-0.525,0.527,-1.386,0.537,0.022,0.016,561.0,640.0,1.0
"eps_tform[0, 17]",-0.187,0.546,-1.163,0.799,0.019,0.014,795.0,865.0,1.0
"eps_tform[0, 18]",-0.174,0.374,-0.861,0.55,0.019,0.013,404.0,480.0,1.01
"eps_tform[0, 19]",0.661,0.245,0.198,1.126,0.009,0.006,760.0,767.0,1.0
"eps_tform[0, 20]",-0.619,0.363,-1.334,0.017,0.022,0.016,265.0,396.0,1.02
"eps_tform[0, 21]",-0.457,0.339,-1.094,0.175,0.016,0.012,427.0,530.0,1.01
"eps_tform[0, 22]",-0.246,0.239,-0.671,0.2,0.012,0.008,414.0,555.0,1.0
"eps_tform[0, 23]",-0.67,0.898,-2.307,0.961,0.028,0.028,1018.0,701.0,1.01
"eps_tform[0, 24]",-0.395,0.403,-1.12,0.333,0.016,0.011,667.0,905.0,1.0
"eps_tform[0, 25]",0.055,0.39,-0.681,0.765,0.013,0.01,865.0,895.0,1.0
"eps_tform[0, 26]",-0.055,0.416,-0.771,0.722,0.014,0.013,884.0,579.0,1.0
"eps_tform[0, 27]",-0.598,0.434,-1.456,0.162,0.017,0.013,658.0,560.0,1.01
"eps_tform[0, 28]",-1.344,0.319,-1.905,-0.723,0.013,0.009,612.0,551.0,1.0
"eps_tform[0, 29]",0.959,0.405,0.259,1.759,0.018,0.013,499.0,737.0,1.01
"eps_tform[0, 30]",-0.528,0.364,-1.202,0.141,0.017,0.012,477.0,525.0,1.01
"eps_tform[0, 31]",0.063,0.318,-0.506,0.688,0.012,0.009,672.0,807.0,1.01
"eps_tform[0, 32]",0.8,0.907,-0.94,2.419,0.028,0.023,1019.0,917.0,1.0
"eps_tform[0, 33]",-1.537,0.427,-2.284,-0.713,0.016,0.011,734.0,771.0,1.0
"eps_tform[0, 34]",-1.267,0.401,-1.99,-0.508,0.014,0.01,840.0,728.0,1.0
"eps_tform[0, 35]",0.593,0.531,-0.432,1.535,0.023,0.019,565.0,471.0,1.0
"eps_tform[0, 36]",-1.46,0.332,-2.048,-0.787,0.018,0.013,340.0,427.0,1.01
"eps_tform[0, 37]",-1.413,0.397,-2.136,-0.679,0.013,0.009,943.0,618.0,1.01
"eps_tform[0, 38]",0.833,0.448,0.058,1.66,0.017,0.012,683.0,836.0,1.0
"eps_tform[0, 39]",0.062,0.47,-0.856,0.915,0.018,0.013,713.0,781.0,1.01
"eps_tform[0, 40]",0.53,0.369,-0.113,1.258,0.014,0.01,700.0,779.0,1.01
"eps_tform[0, 41]",-0.577,0.96,-2.254,1.459,0.026,0.028,1348.0,602.0,1.01
"eps_tform[0, 42]",1.903,0.618,0.735,3.027,0.017,0.013,1338.0,684.0,1.01
"eps_tform[0, 43]",3.1,0.702,1.886,4.501,0.018,0.014,1461.0,821.0,1.0
"eps_tform[0, 44]",0.929,0.811,-0.571,2.409,0.025,0.021,1074.0,739.0,1.0
"eps_tform[0, 45]",-0.079,0.675,-1.435,1.097,0.023,0.019,842.0,746.0,1.0
"eps_tform[0, 46]",0.141,0.473,-0.684,1.098,0.016,0.014,835.0,701.0,1.0
"eps_tform[0, 47]",0.036,0.729,-1.203,1.404,0.024,0.023,976.0,763.0,1.0
"eps_tform[0, 48]",-0.249,0.544,-1.291,0.738,0.021,0.016,683.0,534.0,1.0
