,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.088,0.042,0.011,0.165,0.002,0.001,425.0,494.0,1.01
Ds[0],32.441,0.041,32.359,32.508,0.002,0.001,389.0,525.0,1.01
RV[0],3.931,1.357,1.543,5.994,0.037,0.026,1335.0,669.0,1.0
"eps[0, 0]",0.177,0.073,0.034,0.309,0.002,0.002,1177.0,803.0,1.0
"eps[1, 0]",-0.11,0.154,-0.39,0.162,0.005,0.004,828.0,807.0,1.0
"eps[2, 0]",0.269,0.1,0.069,0.434,0.003,0.002,903.0,725.0,1.01
"eps[3, 0]",0.704,0.131,0.463,0.957,0.003,0.002,1846.0,903.0,1.0
"eps[4, 0]",0.654,0.127,0.408,0.882,0.005,0.003,719.0,619.0,1.0
"eps[5, 0]",0.436,0.188,0.104,0.789,0.005,0.004,1197.0,530.0,1.0
"eps[6, 0]",-0.084,0.173,-0.408,0.223,0.005,0.006,1209.0,553.0,1.01
"eps[7, 0]",0.027,0.14,-0.229,0.291,0.004,0.004,1330.0,831.0,1.01
"eps[8, 0]",0.007,0.134,-0.232,0.257,0.004,0.004,1082.0,851.0,1.0
"eps[9, 0]",0.089,0.021,0.05,0.125,0.001,0.001,631.0,694.0,1.0
"eps[10, 0]",0.182,0.022,0.14,0.226,0.001,0.001,815.0,707.0,1.0
"eps[11, 0]",0.065,0.017,0.033,0.097,0.001,0.0,797.0,803.0,1.0
"eps[12, 0]",0.099,0.016,0.068,0.126,0.001,0.0,713.0,735.0,1.0
"eps[13, 0]",-0.013,0.018,-0.047,0.022,0.001,0.001,352.0,456.0,1.01
"eps[14, 0]",-0.044,0.134,-0.285,0.206,0.003,0.004,1668.0,695.0,1.0
"eps[15, 0]",-0.036,0.094,-0.211,0.135,0.002,0.003,1482.0,726.0,1.0
"eps[16, 0]",-0.118,0.083,-0.267,0.041,0.002,0.002,1253.0,828.0,1.01
"eps[17, 0]",0.01,0.044,-0.069,0.095,0.002,0.001,613.0,681.0,1.0
"eps[18, 0]",-0.192,0.023,-0.235,-0.15,0.001,0.001,579.0,693.0,1.01
"eps[19, 0]",-0.065,0.022,-0.108,-0.026,0.001,0.001,889.0,761.0,1.01
"eps[20, 0]",-0.116,0.02,-0.154,-0.079,0.001,0.001,698.0,878.0,1.0
"eps[21, 0]",-0.124,0.018,-0.157,-0.089,0.001,0.0,882.0,828.0,1.0
"eps[22, 0]",-0.127,0.019,-0.162,-0.09,0.001,0.001,444.0,612.0,1.0
"eps[23, 0]",-0.091,0.116,-0.31,0.123,0.003,0.003,1576.0,749.0,1.01
"eps[24, 0]",-0.01,0.101,-0.21,0.177,0.002,0.004,1890.0,811.0,1.01
"eps[25, 0]",-0.082,0.118,-0.298,0.136,0.004,0.003,1065.0,657.0,1.0
"eps[26, 0]",0.103,0.105,-0.109,0.278,0.003,0.003,977.0,768.0,1.01
"eps[27, 0]",-0.134,0.024,-0.174,-0.086,0.001,0.001,596.0,659.0,1.01
"eps[28, 0]",0.055,0.025,0.008,0.101,0.001,0.001,789.0,858.0,1.0
"eps[29, 0]",-0.139,0.015,-0.167,-0.112,0.001,0.0,612.0,631.0,1.01
