,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.087,0.043,0.011,0.163,0.002,0.001,445.0,470.0,1.0
Ds[0],32.448,0.039,32.373,32.514,0.002,0.001,470.0,645.0,1.0
RV[0],3.937,1.32,1.702,5.979,0.038,0.027,1200.0,645.0,1.0
"eps[0, 0]",0.176,0.072,0.028,0.298,0.002,0.002,1153.0,691.0,1.0
"eps[1, 0]",-0.107,0.151,-0.381,0.176,0.005,0.004,995.0,886.0,1.0
"eps[2, 0]",0.267,0.096,0.082,0.432,0.003,0.002,896.0,746.0,1.01
"eps[3, 0]",0.702,0.123,0.475,0.926,0.003,0.002,1305.0,761.0,1.0
"eps[4, 0]",0.65,0.124,0.43,0.895,0.004,0.003,894.0,684.0,1.01
"eps[5, 0]",0.438,0.195,0.086,0.792,0.005,0.004,1321.0,755.0,1.0
"eps[6, 0]",-0.086,0.164,-0.406,0.205,0.004,0.005,1391.0,861.0,1.0
"eps[7, 0]",0.028,0.145,-0.246,0.291,0.004,0.004,1310.0,729.0,1.01
"eps[8, 0]",0.007,0.136,-0.251,0.26,0.004,0.005,1161.0,716.0,1.01
"eps[9, 0]",0.09,0.022,0.048,0.13,0.001,0.001,567.0,551.0,1.0
"eps[10, 0]",0.182,0.023,0.137,0.224,0.001,0.001,828.0,776.0,1.0
"eps[11, 0]",0.064,0.017,0.032,0.097,0.001,0.0,829.0,708.0,1.0
"eps[12, 0]",0.098,0.015,0.067,0.125,0.001,0.0,864.0,950.0,1.0
"eps[13, 0]",-0.012,0.016,-0.044,0.018,0.001,0.001,486.0,751.0,1.0
"eps[14, 0]",-0.044,0.138,-0.278,0.236,0.003,0.004,1691.0,929.0,1.0
"eps[15, 0]",-0.034,0.092,-0.207,0.126,0.003,0.003,1159.0,682.0,1.0
"eps[16, 0]",-0.119,0.083,-0.275,0.048,0.002,0.002,1416.0,930.0,1.0
"eps[17, 0]",0.006,0.043,-0.079,0.08,0.002,0.001,581.0,616.0,1.0
"eps[18, 0]",-0.191,0.023,-0.235,-0.149,0.001,0.001,565.0,639.0,1.0
"eps[19, 0]",-0.064,0.021,-0.104,-0.023,0.001,0.001,801.0,851.0,1.01
"eps[20, 0]",-0.117,0.02,-0.155,-0.082,0.001,0.0,897.0,933.0,1.0
"eps[21, 0]",-0.125,0.018,-0.154,-0.089,0.001,0.0,1009.0,926.0,1.0
"eps[22, 0]",-0.126,0.019,-0.16,-0.09,0.001,0.0,793.0,831.0,1.0
"eps[23, 0]",-0.087,0.115,-0.295,0.124,0.003,0.003,1695.0,843.0,1.0
"eps[24, 0]",-0.008,0.093,-0.191,0.159,0.002,0.003,1814.0,942.0,1.01
"eps[25, 0]",-0.089,0.112,-0.285,0.12,0.003,0.003,1350.0,813.0,1.0
"eps[26, 0]",0.095,0.106,-0.105,0.287,0.003,0.003,1063.0,773.0,1.0
"eps[27, 0]",-0.132,0.025,-0.181,-0.087,0.001,0.001,541.0,605.0,1.01
"eps[28, 0]",0.056,0.025,0.008,0.101,0.001,0.001,762.0,665.0,1.0
"eps[29, 0]",-0.14,0.015,-0.169,-0.114,0.001,0.0,670.0,637.0,1.0
"eps[30, 0]",-0.012,0.014,-0.037,0.015,0.001,0.0,678.0,772.0,1.0
"eps[31, 0]",-0.139,0.019,-0.171,-0.1,0.001,0.001,751.0,759.0,1.0
"eps[32, 0]",0.164,0.136,-0.09,0.417,0.004,0.003,1359.0,591.0,1.01
"eps[33, 0]",-0.01,0.035,-0.086,0.05,0.001,0.001,661.0,794.0,1.0
"eps[34, 0]",-0.104,0.079,-0.241,0.063,0.002,0.002,1104.0,732.0,1.0
"eps[35, 0]",-0.009,0.035,-0.072,0.057,0.002,0.001,499.0,787.0,1.01
"eps[36, 0]",0.077,0.023,0.032,0.12,0.001,0.001,606.0,633.0,1.0
"eps[37, 0]",0.095,0.024,0.054,0.144,0.001,0.001,818.0,690.0,1.0
"eps[38, 0]",0.006,0.017,-0.028,0.037,0.001,0.0,700.0,642.0,1.0
"eps[39, 0]",-0.119,0.02,-0.155,-0.079,0.001,0.0,865.0,765.0,1.0
"eps[40, 0]",-0.031,0.019,-0.07,0.002,0.001,0.001,520.0,750.0,1.0
"eps[41, 0]",0.015,0.108,-0.19,0.214,0.002,0.003,2049.0,727.0,1.0
"eps[42, 0]",-0.139,0.034,-0.201,-0.076,0.001,0.001,789.0,912.0,1.0
"eps[43, 0]",-0.068,0.051,-0.151,0.041,0.002,0.001,970.0,727.0,1.0
"eps[44, 0]",-0.083,0.039,-0.155,-0.009,0.001,0.001,772.0,689.0,1.0
"eps[45, 0]",0.063,0.025,0.018,0.109,0.001,0.001,747.0,785.0,1.0
"eps[46, 0]",0.26,0.028,0.212,0.318,0.001,0.001,887.0,809.0,1.0
"eps[47, 0]",-0.032,0.015,-0.059,-0.001,0.001,0.0,749.0,812.0,1.0
"eps[48, 0]",0.094,0.016,0.063,0.122,0.001,0.0,794.0,817.0,1.0
"eps[49, 0]",-0.069,0.02,-0.106,-0.032,0.001,0.001,612.0,791.0,1.0
"eps[50, 0]",0.147,0.097,-0.036,0.326,0.002,0.002,1684.0,620.0,1.0
"eps[51, 0]",-0.028,0.064,-0.157,0.08,0.002,0.002,1640.0,754.0,1.01
"eps[52, 0]",0.098,0.076,-0.042,0.244,0.002,0.002,1685.0,764.0,1.01
"eps[53, 0]",0.05,0.056,-0.059,0.15,0.002,0.001,1104.0,704.0,1.0
"eps_tform[0, 0]",1.911,0.788,0.303,3.24,0.023,0.017,1153.0,691.0,1.0
"eps_tform[0, 1]",-0.776,0.742,-2.07,0.666,0.023,0.017,996.0,819.0,1.0
"eps_tform[0, 2]",1.39,0.744,0.13,2.844,0.027,0.019,768.0,717.0,1.01
"eps_tform[0, 3]",3.512,0.619,2.297,4.636,0.018,0.013,1236.0,779.0,1.0
"eps_tform[0, 4]",1.379,0.651,0.044,2.54,0.022,0.017,883.0,598.0,1.01
"eps_tform[0, 5]",0.807,0.9,-0.71,2.488,0.024,0.023,1392.0,631.0,1.0
"eps_tform[0, 6]",-0.45,0.895,-1.99,1.347,0.024,0.026,1350.0,781.0,1.0
"eps_tform[0, 7]",-0.078,0.895,-1.717,1.615,0.026,0.028,1175.0,684.0,1.01
"eps_tform[0, 8]",0.185,0.929,-1.504,2.036,0.027,0.03,1218.0,764.0,1.0
"eps_tform[0, 9]",1.349,0.479,0.479,2.272,0.019,0.014,616.0,595.0,1.0
"eps_tform[0, 10]",2.424,0.414,1.698,3.255,0.013,0.009,943.0,879.0,1.0
