,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.924,0.274,0.436,1.394,0.019,0.013,212.0,304.0,1.0
Ds[0],33.572,0.262,33.104,34.02,0.018,0.013,216.0,431.0,1.0
RV[0],3.277,1.228,1.13,5.444,0.082,0.058,224.0,283.0,1.0
"eps[0, 0]",-0.022,0.086,-0.173,0.144,0.003,0.003,799.0,644.0,1.0
"eps[1, 0]",0.052,0.157,-0.226,0.362,0.006,0.004,796.0,789.0,1.0
"eps[2, 0]",-0.017,0.117,-0.218,0.221,0.004,0.003,729.0,586.0,1.01
"eps[3, 0]",0.282,0.134,0.051,0.544,0.005,0.003,736.0,779.0,1.01
"eps[4, 0]",0.066,0.131,-0.172,0.308,0.003,0.004,1561.0,953.0,1.0
"eps[5, 0]",0.042,0.218,-0.365,0.422,0.006,0.006,1232.0,645.0,1.0
"eps[6, 0]",-0.032,0.189,-0.371,0.341,0.005,0.007,1275.0,670.0,1.0
"eps[7, 0]",-0.028,0.165,-0.343,0.3,0.004,0.006,1374.0,596.0,1.01
"eps[8, 0]",-0.002,0.142,-0.262,0.266,0.004,0.004,1095.0,614.0,1.0
"eps[9, 0]",0.023,0.043,-0.056,0.103,0.002,0.001,512.0,586.0,1.0
"eps[10, 0]",-0.046,0.035,-0.105,0.024,0.001,0.001,668.0,488.0,1.01
"eps[11, 0]",0.041,0.029,-0.007,0.101,0.001,0.001,548.0,820.0,1.0
"eps[12, 0]",-0.034,0.024,-0.079,0.01,0.001,0.001,434.0,463.0,1.01
"eps[13, 0]",0.004,0.039,-0.076,0.073,0.002,0.001,382.0,470.0,1.01
"eps[14, 0]",-0.032,0.156,-0.352,0.232,0.004,0.005,1274.0,729.0,1.0
"eps[15, 0]",-0.001,0.092,-0.172,0.181,0.003,0.003,1295.0,640.0,1.0
"eps[16, 0]",-0.024,0.093,-0.187,0.16,0.003,0.003,854.0,755.0,1.0
"eps[17, 0]",-0.023,0.084,-0.173,0.136,0.002,0.003,1252.0,817.0,1.01
"eps[18, 0]",0.006,0.045,-0.081,0.082,0.002,0.001,567.0,763.0,1.01
"eps[19, 0]",0.059,0.042,-0.033,0.135,0.002,0.001,618.0,555.0,1.0
"eps[20, 0]",-0.011,0.034,-0.072,0.057,0.002,0.001,418.0,475.0,1.01
"eps[21, 0]",0.031,0.03,-0.021,0.089,0.002,0.001,344.0,683.0,1.02
"eps[22, 0]",-0.024,0.037,-0.092,0.05,0.002,0.001,402.0,550.0,1.01
"eps[23, 0]",-0.026,0.132,-0.251,0.231,0.004,0.004,1284.0,692.0,1.0
"eps[24, 0]",0.022,0.129,-0.218,0.264,0.003,0.004,2042.0,839.0,1.0
"eps[25, 0]",-0.026,0.129,-0.266,0.217,0.004,0.004,1203.0,782.0,1.0
