,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.811,0.295,0.341,1.33,0.018,0.013,274.0,406.0,1.0
Ds[0],33.704,0.279,33.176,34.136,0.017,0.012,272.0,457.0,1.0
RV[0],2.809,1.277,1.043,5.339,0.077,0.055,263.0,426.0,1.0
"eps[0, 0]",-0.025,0.087,-0.183,0.128,0.003,0.003,977.0,676.0,1.0
"eps[1, 0]",0.05,0.154,-0.23,0.328,0.004,0.004,1351.0,780.0,1.0
"eps[2, 0]",-0.023,0.114,-0.218,0.209,0.003,0.003,1088.0,760.0,1.0
"eps[3, 0]",0.275,0.132,0.038,0.531,0.005,0.003,842.0,852.0,1.0
"eps[4, 0]",0.064,0.134,-0.2,0.296,0.003,0.004,1668.0,799.0,1.0
"eps[5, 0]",0.039,0.214,-0.382,0.409,0.006,0.007,1508.0,582.0,1.0
"eps[6, 0]",-0.03,0.186,-0.411,0.29,0.004,0.006,2180.0,692.0,1.01
"eps[7, 0]",-0.027,0.173,-0.332,0.321,0.004,0.007,2257.0,594.0,1.01
"eps[8, 0]",-0.003,0.137,-0.257,0.25,0.004,0.004,1213.0,785.0,1.0
"eps[9, 0]",0.022,0.042,-0.053,0.106,0.002,0.001,746.0,771.0,1.0
"eps[10, 0]",-0.044,0.034,-0.107,0.019,0.001,0.001,776.0,815.0,1.0
"eps[11, 0]",0.04,0.028,-0.013,0.092,0.001,0.001,601.0,839.0,1.0
"eps[12, 0]",-0.036,0.024,-0.079,0.01,0.001,0.001,553.0,528.0,1.0
"eps[13, 0]",0.007,0.038,-0.061,0.082,0.002,0.001,537.0,702.0,1.01
"eps[14, 0]",-0.03,0.155,-0.301,0.263,0.004,0.005,1689.0,680.0,1.0
"eps[15, 0]",-0.001,0.092,-0.164,0.189,0.002,0.003,1470.0,605.0,1.0
"eps[16, 0]",-0.022,0.095,-0.185,0.17,0.003,0.003,1417.0,622.0,1.0
"eps[17, 0]",-0.023,0.086,-0.181,0.144,0.002,0.003,1587.0,841.0,1.01
