,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.199,0.041,0.129,0.279,0.002,0.001,439.0,550.0,1.01
Ds[0],35.41,0.039,35.328,35.476,0.002,0.001,394.0,592.0,1.01
RV[0],2.649,1.127,1.038,4.876,0.056,0.039,383.0,770.0,1.01
"eps[0, 0]",-0.137,0.043,-0.211,-0.057,0.002,0.001,703.0,849.0,1.0
"eps[1, 0]",-0.175,0.08,-0.31,-0.021,0.003,0.002,738.0,773.0,1.0
"eps[2, 0]",-0.279,0.077,-0.422,-0.137,0.003,0.002,752.0,686.0,1.0
"eps[3, 0]",-0.03,0.062,-0.152,0.083,0.002,0.002,640.0,696.0,1.0
"eps[4, 0]",-0.135,0.059,-0.251,-0.028,0.002,0.002,733.0,917.0,1.0
"eps[5, 0]",-0.274,0.183,-0.592,0.095,0.007,0.005,705.0,635.0,1.01
"eps[6, 0]",-0.056,0.083,-0.21,0.095,0.003,0.002,699.0,813.0,1.01
"eps[7, 0]",-0.143,0.07,-0.264,-0.006,0.002,0.002,926.0,761.0,1.0
"eps[8, 0]",0.106,0.132,-0.122,0.374,0.004,0.003,996.0,847.0,1.0
"eps[9, 0]",0.073,0.034,0.013,0.138,0.001,0.001,547.0,650.0,1.01
"eps[10, 0]",0.042,0.024,-0.002,0.088,0.001,0.001,810.0,715.0,1.0
"eps[11, 0]",-0.0,0.024,-0.046,0.042,0.001,0.001,829.0,915.0,1.0
"eps[12, 0]",0.005,0.025,-0.038,0.053,0.001,0.001,542.0,663.0,1.0
"eps[13, 0]",-0.004,0.022,-0.045,0.039,0.001,0.001,529.0,611.0,1.0
"eps[14, 0]",-0.023,0.102,-0.205,0.171,0.004,0.003,741.0,713.0,1.0
"eps[15, 0]",0.18,0.055,0.072,0.28,0.002,0.002,570.0,690.0,1.0
"eps[16, 0]",0.033,0.038,-0.049,0.097,0.002,0.001,593.0,873.0,1.0
"eps[17, 0]",0.11,0.044,0.026,0.197,0.002,0.001,669.0,842.0,1.0
"eps[18, 0]",-0.005,0.03,-0.062,0.049,0.001,0.001,490.0,526.0,1.0
"eps[19, 0]",0.061,0.024,0.017,0.107,0.001,0.001,828.0,949.0,1.0
"eps[20, 0]",-0.053,0.022,-0.09,-0.011,0.001,0.001,712.0,839.0,1.0
"eps[21, 0]",0.07,0.024,0.024,0.113,0.001,0.001,415.0,471.0,1.01
"eps[22, 0]",-0.031,0.024,-0.08,0.011,0.001,0.001,492.0,491.0,1.01
"eps[23, 0]",0.008,0.114,-0.213,0.21,0.003,0.003,1086.0,736.0,1.0
"eps[24, 0]",0.076,0.063,-0.035,0.198,0.002,0.002,765.0,821.0,1.0
"eps[25, 0]",-0.109,0.054,-0.213,-0.014,0.002,0.001,736.0,757.0,1.0
"eps[26, 0]",0.005,0.06,-0.114,0.112,0.002,0.001,836.0,871.0,1.0
"eps[27, 0]",0.062,0.04,-0.011,0.133,0.002,0.001,576.0,693.0,1.0
"eps[28, 0]",-0.093,0.031,-0.154,-0.036,0.001,0.001,734.0,637.0,1.01
"eps[29, 0]",0.064,0.026,0.013,0.113,0.001,0.001,825.0,743.0,1.0
"eps[30, 0]",-0.0,0.026,-0.048,0.047,0.001,0.001,462.0,659.0,1.02
"eps[31, 0]",0.087,0.031,0.025,0.141,0.001,0.001,582.0,623.0,1.0
"eps[32, 0]",0.207,0.128,-0.039,0.441,0.004,0.003,1025.0,684.0,1.0
"eps[33, 0]",-0.241,0.063,-0.354,-0.117,0.002,0.002,689.0,671.0,1.0
"eps[34, 0]",0.003,0.082,-0.171,0.139,0.002,0.003,1210.0,831.0,1.0
"eps[35, 0]",0.139,0.053,0.035,0.231,0.002,0.001,1009.0,744.0,1.0
"eps[36, 0]",-0.084,0.035,-0.151,-0.023,0.002,0.001,528.0,761.0,1.0
"eps[37, 0]",-0.074,0.033,-0.135,-0.012,0.001,0.001,937.0,794.0,1.0
"eps[38, 0]",-0.026,0.031,-0.091,0.025,0.001,0.001,820.0,677.0,1.02
"eps[39, 0]",0.061,0.031,0.007,0.12,0.001,0.001,537.0,690.0,1.01
"eps[40, 0]",0.111,0.027,0.058,0.157,0.001,0.001,803.0,879.0,1.0
"eps[41, 0]",0.112,0.096,-0.066,0.304,0.003,0.002,1183.0,795.0,1.0
"eps[42, 0]",0.275,0.051,0.18,0.37,0.002,0.001,936.0,881.0,1.01
"eps[43, 0]",0.164,0.052,0.076,0.27,0.002,0.001,890.0,986.0,1.0
"eps[44, 0]",0.052,0.053,-0.048,0.145,0.002,0.001,1041.0,646.0,1.0
"eps[45, 0]",0.032,0.038,-0.042,0.103,0.001,0.001,907.0,788.0,1.0
"eps[46, 0]",-0.171,0.055,-0.282,-0.072,0.002,0.001,988.0,670.0,1.0
"eps[47, 0]",-0.069,0.023,-0.11,-0.027,0.001,0.001,983.0,897.0,1.0
"eps[48, 0]",-0.132,0.037,-0.194,-0.062,0.001,0.001,604.0,714.0,1.01
"eps[49, 0]",-0.146,0.029,-0.196,-0.091,0.001,0.001,821.0,987.0,1.0
"eps[50, 0]",-0.19,0.088,-0.374,-0.044,0.003,0.002,1083.0,761.0,1.01
"eps[51, 0]",-0.207,0.053,-0.303,-0.104,0.002,0.001,807.0,640.0,1.0
"eps[52, 0]",-0.207,0.061,-0.33,-0.105,0.002,0.001,1407.0,805.0,1.0
"eps[53, 0]",-0.097,0.043,-0.18,-0.016,0.001,0.001,1613.0,1011.0,1.0
"eps_tform[0, 0]",-1.494,0.464,-2.297,-0.621,0.017,0.012,703.0,849.0,1.0
"eps_tform[0, 1]",-0.61,0.385,-1.269,0.15,0.014,0.01,761.0,645.0,1.0
"eps_tform[0, 2]",-1.782,0.551,-2.805,-0.734,0.02,0.014,760.0,775.0,1.0
"eps_tform[0, 3]",0.53,0.26,0.053,1.026,0.009,0.006,842.0,771.0,1.0
"eps_tform[0, 4]",0.246,0.321,-0.379,0.795,0.012,0.008,734.0,814.0,1.0
