,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.161,0.061,0.054,0.276,0.003,0.002,431.0,519.0,1.01
Ds[0],36.419,0.056,36.315,36.521,0.003,0.002,480.0,689.0,1.01
RV[0],3.884,1.317,1.692,5.983,0.049,0.035,730.0,667.0,1.0
"eps[0, 0]",-0.144,0.044,-0.221,-0.054,0.002,0.001,823.0,738.0,1.0
"eps[1, 0]",0.076,0.064,-0.05,0.189,0.002,0.002,805.0,799.0,1.0
"eps[2, 0]",-0.232,0.083,-0.383,-0.084,0.003,0.002,771.0,841.0,1.0
"eps[3, 0]",0.077,0.066,-0.049,0.193,0.002,0.002,833.0,776.0,1.0
"eps[4, 0]",-0.242,0.081,-0.4,-0.094,0.003,0.002,860.0,821.0,1.0
"eps[5, 0]",-0.22,0.15,-0.514,0.038,0.004,0.003,1131.0,968.0,1.01
"eps[6, 0]",0.006,0.122,-0.214,0.233,0.004,0.003,1072.0,605.0,1.0
"eps[7, 0]",-0.103,0.106,-0.304,0.077,0.003,0.003,982.0,737.0,1.01
"eps[8, 0]",-0.028,0.126,-0.284,0.188,0.003,0.003,1313.0,847.0,1.01
"eps[9, 0]",0.076,0.027,0.024,0.124,0.001,0.001,444.0,688.0,1.01
"eps[10, 0]",-0.01,0.022,-0.051,0.031,0.001,0.001,654.0,696.0,1.0
"eps[11, 0]",0.106,0.025,0.06,0.152,0.001,0.001,766.0,703.0,1.0
"eps[12, 0]",-0.054,0.022,-0.091,-0.011,0.001,0.001,883.0,657.0,1.0
"eps[13, 0]",0.181,0.027,0.132,0.231,0.001,0.001,780.0,731.0,1.0
"eps[14, 0]",0.068,0.092,-0.098,0.244,0.003,0.003,697.0,643.0,1.01
"eps[15, 0]",0.094,0.071,-0.029,0.229,0.003,0.002,749.0,677.0,1.0
"eps[16, 0]",0.118,0.055,0.013,0.221,0.002,0.001,698.0,930.0,1.0
"eps[17, 0]",-0.005,0.067,-0.126,0.119,0.002,0.002,1210.0,813.0,1.0
"eps[18, 0]",-0.031,0.026,-0.079,0.016,0.001,0.001,559.0,779.0,1.01
"eps[19, 0]",0.045,0.027,-0.006,0.091,0.001,0.001,799.0,984.0,1.0
"eps[20, 0]",-0.039,0.032,-0.099,0.021,0.001,0.001,679.0,658.0,1.0
"eps[21, 0]",-0.008,0.028,-0.066,0.039,0.001,0.001,1008.0,722.0,1.0
"eps[22, 0]",-0.026,0.037,-0.09,0.05,0.001,0.001,672.0,762.0,1.0
"eps[23, 0]",0.034,0.108,-0.179,0.216,0.003,0.003,1039.0,892.0,1.0
"eps[24, 0]",-0.013,0.09,-0.189,0.153,0.003,0.003,995.0,746.0,1.0
"eps[25, 0]",0.079,0.107,-0.124,0.272,0.003,0.003,1767.0,743.0,1.0
"eps[26, 0]",0.02,0.118,-0.194,0.251,0.003,0.003,1246.0,1039.0,1.0
"eps[27, 0]",-0.025,0.038,-0.087,0.05,0.001,0.001,747.0,563.0,1.0
"eps[28, 0]",-0.07,0.036,-0.13,0.003,0.001,0.001,990.0,867.0,1.0
"eps[29, 0]",-0.01,0.029,-0.062,0.046,0.001,0.001,825.0,790.0,1.0
"eps[30, 0]",-0.022,0.027,-0.071,0.028,0.001,0.001,823.0,773.0,1.0
"eps[31, 0]",0.19,0.042,0.113,0.265,0.001,0.001,776.0,656.0,1.0
"eps[32, 0]",0.129,0.119,-0.083,0.348,0.004,0.003,961.0,811.0,1.0
"eps[33, 0]",0.013,0.09,-0.161,0.165,0.003,0.002,1035.0,871.0,1.0
"eps[34, 0]",0.131,0.122,-0.099,0.347,0.003,0.003,1861.0,868.0,1.0
"eps[35, 0]",0.025,0.082,-0.13,0.175,0.002,0.003,1576.0,745.0,1.0
"eps[36, 0]",-0.013,0.034,-0.076,0.046,0.001,0.001,684.0,542.0,1.01
"eps[37, 0]",-0.031,0.033,-0.098,0.025,0.001,0.001,1018.0,745.0,1.0
"eps[38, 0]",-0.114,0.032,-0.17,-0.053,0.001,0.001,1138.0,846.0,1.01
"eps[39, 0]",-0.056,0.03,-0.106,0.003,0.001,0.001,1070.0,856.0,1.0
"eps[40, 0]",0.066,0.032,0.003,0.124,0.001,0.001,629.0,608.0,1.01
"eps[41, 0]",0.148,0.095,-0.044,0.316,0.003,0.002,1398.0,898.0,1.0
"eps[42, 0]",0.083,0.074,-0.058,0.21,0.003,0.002,848.0,901.0,1.01
"eps[43, 0]",0.069,0.078,-0.077,0.209,0.002,0.002,1296.0,865.0,1.0
"eps[44, 0]",-0.004,0.062,-0.12,0.111,0.002,0.002,1607.0,689.0,1.0
"eps[45, 0]",0.01,0.048,-0.075,0.104,0.001,0.001,1479.0,690.0,1.0
"eps[46, 0]",0.143,0.075,0.014,0.296,0.002,0.001,1857.0,870.0,1.0
"eps[47, 0]",-0.025,0.027,-0.074,0.023,0.001,0.001,1244.0,780.0,1.0
"eps[48, 0]",-0.01,0.051,-0.101,0.092,0.001,0.001,1167.0,817.0,1.0
"eps[49, 0]",-0.045,0.053,-0.142,0.057,0.002,0.001,1136.0,757.0,1.0
"eps[50, 0]",-0.07,0.084,-0.234,0.08,0.002,0.002,1483.0,736.0,1.01
"eps[51, 0]",-0.092,0.07,-0.219,0.049,0.002,0.002,1174.0,749.0,1.0
"eps[52, 0]",0.003,0.07,-0.122,0.135,0.002,0.002,1349.0,769.0,1.0
"eps[53, 0]",-0.077,0.053,-0.179,0.022,0.002,0.001,1227.0,707.0,1.01
"eps_tform[0, 0]",-1.566,0.479,-2.404,-0.586,0.017,0.012,823.0,738.0,1.0
"eps_tform[0, 1]",0.582,0.288,-0.008,1.064,0.01,0.007,850.0,898.0,1.0
"eps_tform[0, 2]",-1.252,0.607,-2.382,-0.159,0.021,0.015,827.0,694.0,1.0
"eps_tform[0, 3]",0.447,0.338,-0.139,1.109,0.011,0.009,904.0,708.0,1.0
"eps_tform[0, 4]",-0.965,0.396,-1.686,-0.215,0.013,0.009,954.0,852.0,1.0
"eps_tform[0, 5]",-0.728,0.712,-2.059,0.573,0.021,0.017,1159.0,845.0,1.01
"eps_tform[0, 6]",0.06,0.619,-1.087,1.167,0.019,0.016,1078.0,930.0,1.0
"eps_tform[0, 7]",-0.514,0.672,-1.719,0.742,0.021,0.017,1040.0,619.0,1.0
"eps_tform[0, 8]",-0.35,0.847,-1.977,1.128,0.023,0.022,1328.0,916.0,1.01
"eps_tform[0, 9]",1.283,0.523,0.28,2.246,0.024,0.017,470.0,635.0,1.01
"eps_tform[0, 10]",-0.073,0.345,-0.675,0.605,0.014,0.01,655.0,711.0,1.0
"eps_tform[0, 11]",1.691,0.428,0.9,2.493,0.016,0.011,723.0,773.0,1.0
"eps_tform[0, 12]",-0.55,0.458,-1.463,0.27,0.015,0.012,923.0,619.0,1.0
"eps_tform[0, 13]",2.051,0.407,1.372,2.888,0.015,0.011,764.0,652.0,1.0
"eps_tform[0, 14]",0.084,0.586,-1.005,1.121,0.022,0.018,707.0,683.0,1.01
"eps_tform[0, 15]",0.286,0.74,-1.145,1.584,0.027,0.022,744.0,708.0,1.0
"eps_tform[0, 16]",0.834,0.577,-0.376,1.825,0.022,0.016,658.0,652.0,1.01
"eps_tform[0, 17]",-0.204,0.803,-1.68,1.238,0.023,0.023,1261.0,784.0,1.0
"eps_tform[0, 18]",-0.949,0.456,-1.848,-0.162,0.019,0.014,554.0,560.0,1.01
"eps_tform[0, 19]",0.574,0.306,-0.025,1.106,0.01,0.008,861.0,914.0,1.0
"eps_tform[0, 20]",-0.726,0.545,-1.734,0.278,0.022,0.016,586.0,751.0,1.01
"eps_tform[0, 21]",0.33,0.587,-0.854,1.312,0.02,0.016,896.0,738.0,1.0
"eps_tform[0, 22]",-0.259,0.454,-1.105,0.574,0.018,0.013,669.0,732.0,1.0
"eps_tform[0, 23]",0.165,0.829,-1.447,1.634,0.026,0.023,983.0,916.0,1.0
"eps_tform[0, 24]",-0.85,0.585,-2.058,0.155,0.019,0.015,989.0,815.0,1.0
"eps_tform[0, 25]",0.47,0.797,-1.149,1.834,0.019,0.023,1715.0,784.0,1.0
"eps_tform[0, 26]",-0.214,0.952,-1.984,1.512,0.026,0.026,1358.0,893.0,1.0
"eps_tform[0, 27]",-0.86,0.491,-1.678,0.16,0.017,0.012,834.0,733.0,1.0
"eps_tform[0, 28]",-0.461,0.421,-1.281,0.331,0.014,0.01,863.0,828.0,1.0
"eps_tform[0, 29]",-0.229,0.587,-1.231,0.944,0.02,0.015,822.0,821.0,1.01
"eps_tform[0, 30]",0.414,0.618,-0.682,1.595,0.021,0.016,887.0,889.0,1.0
"eps_tform[0, 31]",2.427,0.506,1.464,3.366,0.018,0.013,805.0,704.0,1.0
"eps_tform[0, 32]",-0.042,0.874,-1.544,1.794,0.027,0.027,1049.0,765.0,1.0
"eps_tform[0, 33]",-0.533,0.621,-1.733,0.565,0.02,0.014,971.0,880.0,1.01
"eps_tform[0, 34]",0.798,0.994,-1.111,2.52,0.022,0.023,2019.0,705.0,1.0
"eps_tform[0, 35]",0.369,0.949,-1.356,2.269,0.023,0.032,1756.0,777.0,1.0
"eps_tform[0, 36]",-0.836,0.431,-1.643,0.001,0.016,0.011,771.0,734.0,1.0
"eps_tform[0, 37]",-0.1,0.483,-0.933,0.838,0.015,0.013,1048.0,876.0,1.0
"eps_tform[0, 38]",-0.759,0.57,-1.749,0.322,0.017,0.013,1081.0,803.0,1.0
"eps_tform[0, 39]",0.18,0.621,-1.095,1.292,0.019,0.018,1110.0,776.0,1.0
"eps_tform[0, 40]",1.404,0.619,0.271,2.582,0.02,0.015,945.0,770.0,1.0
"eps_tform[0, 41]",0.539,0.882,-1.099,2.23,0.022,0.021,1597.0,836.0,1.0
"eps_tform[0, 42]",1.018,0.659,-0.29,2.147,0.023,0.016,848.0,778.0,1.01
"eps_tform[0, 43]",0.212,0.937,-1.774,1.768,0.025,0.031,1431.0,682.0,1.0
"eps_tform[0, 44]",0.17,1.026,-1.789,2.065,0.025,0.034,1692.0,671.0,1.0
"eps_tform[0, 45]",-0.111,0.98,-1.855,1.839,0.025,0.035,1555.0,619.0,1.01
"eps_tform[0, 46]",0.594,0.749,-0.992,1.88,0.018,0.018,1796.0,779.0,1.0
"eps_tform[0, 47]",-0.587,0.953,-2.611,1.015,0.026,0.028,1362.0,694.0,1.01
"eps_tform[0, 48]",-1.054,0.824,-2.663,0.438,0.021,0.02,1464.0,776.0,1.0
"eps_tform[0, 49]",-0.545,0.936,-2.32,1.117,0.024,0.026,1479.0,609.0,1.0
"eps_tform[0, 50]",-0.253,0.999,-2.302,1.415,0.026,0.03,1487.0,760.0,1.0
"eps_tform[0, 51]",-0.8,0.937,-2.597,0.908,0.025,0.025,1463.0,693.0,1.0
"eps_tform[0, 52]",0.023,0.962,-1.79,1.602,0.022,0.031,2011.0,769.0,1.0
"eps_tform[0, 53]",0.049,0.958,-1.606,1.89,0.024,0.031,1521.0,691.0,1.0
theta[0],-0.551,0.113,-0.788,-0.359,0.005,0.003,612.0,661.0,1.0
tmax[0],0.585,0.171,0.248,0.894,0.006,0.004,794.0,574.0,1.0
