,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.07,0.038,0.003,0.137,0.002,0.001,424.0,659.0,1.0
Ds[0],35.913,0.037,35.842,35.98,0.002,0.001,469.0,520.0,1.0
RV[0],3.879,1.353,1.682,5.981,0.041,0.029,1092.0,658.0,1.0
"eps[0, 0]",-0.131,0.05,-0.228,-0.041,0.002,0.002,582.0,695.0,1.0
"eps[1, 0]",-0.1,0.07,-0.221,0.029,0.003,0.002,525.0,688.0,1.01
"eps[2, 0]",-0.147,0.077,-0.282,-0.003,0.004,0.003,474.0,516.0,1.01
"eps[3, 0]",-0.039,0.062,-0.151,0.079,0.003,0.002,497.0,473.0,1.0
"eps[4, 0]",-0.254,0.063,-0.369,-0.138,0.003,0.002,536.0,751.0,1.01
"eps[5, 0]",-0.105,0.185,-0.422,0.265,0.006,0.005,1015.0,827.0,1.0
"eps[6, 0]",-0.183,0.135,-0.392,0.114,0.004,0.003,1094.0,921.0,1.0
"eps[7, 0]",-0.172,0.134,-0.419,0.073,0.004,0.003,1042.0,705.0,1.0
"eps[8, 0]",-0.111,0.133,-0.354,0.142,0.004,0.003,1290.0,804.0,1.01
"eps[9, 0]",-0.038,0.024,-0.082,0.005,0.001,0.001,374.0,568.0,1.0
"eps[10, 0]",-0.06,0.026,-0.111,-0.014,0.001,0.001,560.0,653.0,1.0
"eps[11, 0]",0.003,0.029,-0.057,0.054,0.001,0.001,518.0,540.0,1.0
"eps[12, 0]",-0.069,0.022,-0.107,-0.026,0.001,0.001,568.0,745.0,1.01
"eps[13, 0]",-0.034,0.03,-0.089,0.025,0.001,0.001,404.0,626.0,1.01
"eps[14, 0]",-0.128,0.113,-0.341,0.079,0.005,0.003,569.0,662.0,1.0
"eps[15, 0]",-0.136,0.063,-0.252,-0.022,0.002,0.002,691.0,764.0,1.0
"eps[16, 0]",-0.018,0.046,-0.098,0.067,0.002,0.001,588.0,765.0,1.0
"eps[17, 0]",-0.052,0.053,-0.148,0.049,0.002,0.001,937.0,884.0,1.0
"eps[18, 0]",-0.035,0.028,-0.086,0.018,0.001,0.001,553.0,671.0,1.0
"eps[19, 0]",-0.042,0.023,-0.084,0.004,0.001,0.001,576.0,629.0,1.01
"eps[20, 0]",0.124,0.029,0.072,0.177,0.001,0.001,543.0,765.0,1.0
