,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.839,0.064,0.72,0.955,0.004,0.003,286.0,363.0,1.01
Ds[0],33.738,0.054,33.637,33.833,0.003,0.002,257.0,347.0,1.01
RV[0],3.021,0.461,2.217,3.883,0.026,0.018,297.0,419.0,1.01
"eps[0, 0]",0.051,0.047,-0.036,0.138,0.002,0.001,575.0,703.0,1.01
"eps[1, 0]",-0.02,0.059,-0.13,0.091,0.002,0.002,751.0,537.0,1.01
"eps[2, 0]",0.038,0.046,-0.047,0.125,0.002,0.002,449.0,606.0,1.0
"eps[3, 0]",-0.1,0.039,-0.175,-0.029,0.002,0.001,404.0,586.0,1.01
"eps[4, 0]",0.021,0.041,-0.055,0.099,0.002,0.001,429.0,489.0,1.01
"eps[5, 0]",-0.093,0.185,-0.428,0.263,0.006,0.005,1088.0,876.0,1.0
"eps[6, 0]",0.103,0.068,-0.02,0.232,0.003,0.002,616.0,648.0,1.0
"eps[7, 0]",0.043,0.051,-0.047,0.141,0.003,0.002,338.0,617.0,1.01
"eps[8, 0]",0.068,0.065,-0.049,0.193,0.003,0.002,509.0,483.0,1.0
"eps[9, 0]",-0.048,0.038,-0.117,0.021,0.002,0.001,537.0,569.0,1.01
"eps[10, 0]",0.059,0.028,0.011,0.109,0.001,0.001,693.0,670.0,1.0
"eps[11, 0]",-0.021,0.022,-0.064,0.02,0.001,0.001,464.0,643.0,1.01
"eps[12, 0]",0.035,0.026,-0.012,0.085,0.001,0.001,375.0,574.0,1.01
"eps[13, 0]",-0.061,0.021,-0.106,-0.028,0.001,0.001,391.0,478.0,1.01
"eps[14, 0]",-0.044,0.151,-0.311,0.237,0.005,0.005,878.0,740.0,1.0
"eps[15, 0]",-0.118,0.053,-0.221,-0.027,0.002,0.002,544.0,772.0,1.01
"eps[16, 0]",0.074,0.042,0.004,0.159,0.002,0.002,325.0,490.0,1.01
"eps[17, 0]",0.074,0.046,-0.012,0.158,0.003,0.002,300.0,456.0,1.01
"eps[18, 0]",-0.066,0.035,-0.138,-0.008,0.002,0.001,401.0,553.0,1.02
"eps[19, 0]",0.116,0.037,0.041,0.178,0.001,0.001,961.0,843.0,1.0
"eps[20, 0]",-0.122,0.026,-0.178,-0.075,0.001,0.001,555.0,614.0,1.01
"eps[21, 0]",0.002,0.026,-0.049,0.049,0.001,0.001,367.0,520.0,1.0
"eps[22, 0]",-0.125,0.022,-0.166,-0.085,0.001,0.001,457.0,661.0,1.01
"eps[23, 0]",0.015,0.139,-0.24,0.255,0.004,0.004,1305.0,842.0,1.01
"eps[24, 0]",-0.15,0.051,-0.247,-0.058,0.002,0.002,477.0,599.0,1.0
"eps[25, 0]",-0.012,0.05,-0.115,0.074,0.003,0.002,392.0,624.0,1.01
"eps[26, 0]",0.073,0.05,-0.029,0.155,0.003,0.002,330.0,440.0,1.01
"eps[27, 0]",0.054,0.049,-0.031,0.15,0.002,0.002,460.0,781.0,1.01
"eps[28, 0]",0.25,0.048,0.156,0.336,0.002,0.001,600.0,739.0,1.01
"eps[29, 0]",-0.03,0.023,-0.075,0.013,0.001,0.001,603.0,891.0,1.0
"eps[30, 0]",0.015,0.026,-0.039,0.059,0.002,0.001,294.0,516.0,1.0
"eps[31, 0]",-0.156,0.029,-0.214,-0.107,0.001,0.001,384.0,732.0,1.01
"eps[32, 0]",-0.049,0.133,-0.315,0.187,0.004,0.004,1339.0,754.0,1.0
"eps[33, 0]",-0.219,0.063,-0.328,-0.089,0.003,0.002,368.0,637.0,1.0
"eps[34, 0]",-0.055,0.058,-0.156,0.055,0.003,0.002,389.0,778.0,1.0
"eps[35, 0]",-0.04,0.054,-0.135,0.06,0.002,0.002,482.0,601.0,1.0
