,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.021,0.016,0.0,0.053,0.001,0.001,243.0,73.0,1.02
Ds[0],34.508,0.022,34.458,34.544,0.002,0.001,226.0,64.0,1.02
RV[0],3.94,1.36,1.687,5.999,0.035,0.026,1319.0,665.0,1.02
"eps[0, 0]",-0.228,0.041,-0.299,-0.15,0.002,0.001,578.0,754.0,1.01
"eps[1, 0]",-0.249,0.105,-0.435,-0.058,0.005,0.004,398.0,592.0,1.01
"eps[2, 0]",-0.076,0.081,-0.219,0.066,0.004,0.003,327.0,611.0,1.01
"eps[3, 0]",0.051,0.067,-0.066,0.177,0.003,0.002,443.0,697.0,1.01
"eps[4, 0]",-0.143,0.061,-0.254,-0.026,0.003,0.002,382.0,612.0,1.01
"eps[5, 0]",0.178,0.175,-0.13,0.498,0.006,0.005,734.0,733.0,1.0
"eps[6, 0]",0.119,0.055,0.01,0.212,0.002,0.002,508.0,581.0,1.0
"eps[7, 0]",0.245,0.044,0.168,0.33,0.002,0.001,559.0,650.0,1.0
"eps[8, 0]",0.01,0.063,-0.115,0.127,0.002,0.002,925.0,753.0,1.0
"eps[9, 0]",0.014,0.015,-0.016,0.039,0.001,0.001,420.0,513.0,1.0
"eps[10, 0]",0.061,0.021,0.02,0.099,0.001,0.001,738.0,879.0,1.0
"eps[11, 0]",-0.034,0.02,-0.068,0.003,0.001,0.001,330.0,288.0,1.01
"eps[12, 0]",0.028,0.015,0.001,0.056,0.001,0.0,507.0,603.0,1.02
"eps[13, 0]",0.04,0.019,0.008,0.076,0.001,0.001,337.0,651.0,1.01
"eps[14, 0]",0.332,0.12,0.105,0.542,0.004,0.003,942.0,765.0,1.0
"eps[15, 0]",-0.102,0.041,-0.18,-0.032,0.002,0.002,303.0,793.0,1.01
"eps[16, 0]",0.037,0.025,-0.012,0.082,0.001,0.001,531.0,583.0,1.0
"eps[17, 0]",-0.012,0.033,-0.075,0.046,0.002,0.001,397.0,821.0,1.0
"eps[18, 0]",-0.152,0.019,-0.186,-0.114,0.001,0.001,503.0,535.0,1.01
"eps[19, 0]",-0.104,0.022,-0.143,-0.063,0.001,0.001,589.0,835.0,1.01
"eps[20, 0]",0.177,0.025,0.136,0.229,0.001,0.001,544.0,740.0,1.0
"eps[21, 0]",0.043,0.014,0.015,0.068,0.001,0.0,443.0,546.0,1.01
"eps[22, 0]",0.13,0.017,0.103,0.167,0.001,0.001,380.0,679.0,1.01
"eps[23, 0]",-0.327,0.121,-0.554,-0.112,0.005,0.003,691.0,592.0,1.0
"eps[24, 0]",0.453,0.058,0.348,0.562,0.002,0.002,584.0,639.0,1.01
"eps[25, 0]",0.123,0.036,0.061,0.191,0.002,0.001,423.0,717.0,1.01
"eps[26, 0]",0.234,0.033,0.173,0.295,0.002,0.001,402.0,554.0,1.01
"eps[27, 0]",-0.064,0.022,-0.101,-0.025,0.001,0.001,597.0,700.0,1.01
"eps[28, 0]",-0.217,0.033,-0.269,-0.15,0.001,0.001,519.0,671.0,1.03
"eps[29, 0]",0.089,0.022,0.048,0.13,0.001,0.001,637.0,728.0,1.0
"eps[30, 0]",0.027,0.015,0.0,0.058,0.001,0.001,396.0,575.0,1.01
"eps[31, 0]",0.066,0.024,0.022,0.111,0.001,0.001,321.0,108.0,1.01
"eps[32, 0]",0.027,0.121,-0.178,0.263,0.006,0.006,401.0,97.0,1.01
"eps[33, 0]",0.212,0.05,0.107,0.295,0.002,0.001,640.0,567.0,1.01
"eps[34, 0]",0.185,0.054,0.078,0.272,0.002,0.001,871.0,865.0,1.0
"eps[35, 0]",0.003,0.062,-0.112,0.111,0.003,0.003,338.0,70.0,1.02
"eps[36, 0]",-0.062,0.022,-0.104,-0.023,0.001,0.001,429.0,615.0,1.02
"eps[37, 0]",-0.065,0.031,-0.124,-0.011,0.001,0.001,530.0,637.0,1.02
"eps[38, 0]",-0.079,0.023,-0.12,-0.038,0.001,0.001,662.0,690.0,1.01
"eps[39, 0]",-0.123,0.023,-0.165,-0.077,0.001,0.001,635.0,797.0,1.01
"eps[40, 0]",-0.034,0.018,-0.071,-0.004,0.001,0.001,488.0,593.0,1.02
"eps[41, 0]",-0.01,0.099,-0.192,0.168,0.003,0.003,1003.0,758.0,1.0
"eps[42, 0]",-0.111,0.044,-0.201,-0.037,0.002,0.001,496.0,657.0,1.02
"eps[43, 0]",0.002,0.048,-0.086,0.091,0.002,0.001,993.0,848.0,1.0
"eps[44, 0]",-0.091,0.054,-0.191,0.009,0.002,0.001,1155.0,778.0,1.01
"eps[45, 0]",-0.053,0.035,-0.125,0.007,0.001,0.001,1168.0,837.0,1.0
"eps[46, 0]",-0.071,0.046,-0.151,0.018,0.002,0.001,777.0,667.0,1.01
"eps[47, 0]",-0.015,0.019,-0.052,0.018,0.001,0.001,1023.0,711.0,1.01
"eps[48, 0]",0.101,0.026,0.056,0.148,0.001,0.001,492.0,550.0,1.01
"eps[49, 0]",-0.058,0.022,-0.094,-0.012,0.001,0.001,763.0,665.0,1.01
"eps[50, 0]",0.052,0.085,-0.111,0.204,0.003,0.002,897.0,937.0,1.0
"eps[51, 0]",-0.086,0.067,-0.211,0.036,0.002,0.002,1172.0,877.0,1.01
"eps[52, 0]",0.06,0.066,-0.055,0.186,0.002,0.002,1156.0,774.0,1.01
"eps[53, 0]",-0.049,0.043,-0.126,0.036,0.001,0.001,1288.0,620.0,1.01
"eps_tform[0, 0]",-2.482,0.447,-3.253,-1.628,0.019,0.013,578.0,754.0,1.01
"eps_tform[0, 1]",-0.818,0.519,-1.779,0.104,0.026,0.019,408.0,588.0,1.01
"eps_tform[0, 2]",0.229,0.567,-0.778,1.256,0.032,0.026,310.0,172.0,1.01
"eps_tform[0, 3]",0.717,0.279,0.17,1.199,0.012,0.009,516.0,785.0,1.01
"eps_tform[0, 4]",-0.86,0.308,-1.425,-0.293,0.013,0.009,572.0,624.0,1.01
"eps_tform[0, 5]",0.928,0.83,-0.505,2.483,0.029,0.021,810.0,904.0,1.0
"eps_tform[0, 6]",0.873,0.234,0.455,1.311,0.011,0.008,482.0,603.0,1.0
"eps_tform[0, 7]",1.508,0.238,1.052,1.926,0.01,0.007,595.0,755.0,1.01
"eps_tform[0, 8]",0.051,0.403,-0.713,0.772,0.013,0.012,971.0,670.0,1.0
"eps_tform[0, 9]",0.269,0.305,-0.293,0.837,0.016,0.011,367.0,443.0,1.0
"eps_tform[0, 10]",1.127,0.371,0.422,1.777,0.013,0.009,803.0,840.0,1.01
"eps_tform[0, 11]",-0.028,0.349,-0.636,0.652,0.02,0.014,301.0,108.0,1.01
"eps_tform[0, 12]",0.323,0.312,-0.212,0.936,0.014,0.01,495.0,601.0,1.01
"eps_tform[0, 13]",0.282,0.301,-0.269,0.811,0.019,0.016,244.0,161.0,1.01
"eps_tform[0, 14]",2.036,0.758,0.607,3.359,0.024,0.019,979.0,867.0,1.0
"eps_tform[0, 15]",-0.649,0.347,-1.212,0.083,0.025,0.018,202.0,65.0,1.01
"eps_tform[0, 16]",0.228,0.258,-0.251,0.675,0.014,0.012,314.0,228.0,1.01
"eps_tform[0, 17]",-0.16,0.383,-0.874,0.56,0.019,0.013,419.0,828.0,1.01
"eps_tform[0, 18]",-2.343,0.328,-2.939,-1.671,0.014,0.01,574.0,660.0,1.01
"eps_tform[0, 19]",-0.56,0.273,-1.017,-0.013,0.011,0.008,622.0,776.0,1.01
"eps_tform[0, 20]",1.692,0.449,0.982,2.618,0.022,0.016,419.0,554.0,1.01
"eps_tform[0, 21]",0.368,0.33,-0.236,0.933,0.018,0.014,343.0,597.0,1.01
"eps_tform[0, 22]",0.164,0.24,-0.223,0.665,0.015,0.014,270.0,80.0,1.01
"eps_tform[0, 23]",-1.27,0.878,-2.865,0.393,0.035,0.027,621.0,638.0,1.0
"eps_tform[0, 24]",1.109,0.303,0.574,1.686,0.015,0.011,403.0,578.0,1.0
"eps_tform[0, 25]",0.34,0.304,-0.217,0.879,0.015,0.01,441.0,639.0,1.01
"eps_tform[0, 26]",0.861,0.317,0.249,1.406,0.018,0.014,327.0,596.0,1.01
"eps_tform[0, 27]",0.709,0.34,0.092,1.31,0.015,0.011,496.0,835.0,1.01
"eps_tform[0, 28]",-0.77,0.341,-1.423,-0.219,0.027,0.02,213.0,740.0,1.03
