,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.021,0.017,0.0,0.054,0.001,0.001,487.0,539.0,1.01
Ds[0],34.508,0.022,34.467,34.551,0.001,0.001,362.0,408.0,1.01
RV[0],3.898,1.401,1.512,5.994,0.043,0.03,1112.0,558.0,1.01
"eps[0, 0]",-0.229,0.042,-0.301,-0.15,0.001,0.001,891.0,778.0,1.0
"eps[1, 0]",-0.241,0.103,-0.42,-0.032,0.003,0.002,897.0,597.0,1.0
"eps[2, 0]",-0.086,0.078,-0.228,0.062,0.003,0.002,808.0,571.0,1.01
"eps[3, 0]",0.053,0.067,-0.068,0.168,0.002,0.002,777.0,598.0,1.0
"eps[4, 0]",-0.15,0.06,-0.258,-0.038,0.002,0.001,936.0,871.0,1.01
"eps[5, 0]",0.181,0.174,-0.161,0.497,0.006,0.004,833.0,765.0,1.0
"eps[6, 0]",0.114,0.052,0.017,0.209,0.002,0.001,691.0,540.0,1.01
"eps[7, 0]",0.243,0.046,0.163,0.332,0.002,0.001,787.0,630.0,1.01
"eps[8, 0]",0.005,0.064,-0.105,0.138,0.002,0.002,1012.0,695.0,1.0
"eps[9, 0]",0.015,0.015,-0.01,0.044,0.001,0.001,374.0,574.0,1.01
"eps[10, 0]",0.061,0.021,0.021,0.099,0.001,0.0,970.0,697.0,1.0
"eps[11, 0]",-0.035,0.02,-0.07,0.002,0.001,0.001,555.0,686.0,1.0
"eps[12, 0]",0.024,0.015,-0.002,0.053,0.001,0.0,591.0,769.0,1.0
"eps[13, 0]",0.038,0.019,0.001,0.072,0.001,0.001,482.0,562.0,1.0
"eps[14, 0]",0.332,0.123,0.094,0.553,0.004,0.003,984.0,755.0,1.0
"eps[15, 0]",-0.105,0.041,-0.18,-0.025,0.002,0.001,723.0,669.0,1.0
"eps[16, 0]",0.037,0.026,-0.011,0.088,0.001,0.001,734.0,822.0,1.0
"eps[17, 0]",-0.011,0.035,-0.075,0.054,0.001,0.001,668.0,572.0,1.0
"eps[18, 0]",-0.15,0.019,-0.186,-0.113,0.001,0.001,422.0,480.0,1.01
"eps[19, 0]",-0.103,0.021,-0.14,-0.062,0.001,0.001,791.0,763.0,1.0
"eps[20, 0]",0.177,0.026,0.134,0.23,0.001,0.001,531.0,659.0,1.0
"eps[21, 0]",0.04,0.014,0.014,0.066,0.001,0.0,476.0,684.0,1.0
"eps[22, 0]",0.128,0.018,0.096,0.164,0.001,0.001,501.0,682.0,1.0
"eps[23, 0]",-0.328,0.126,-0.54,-0.085,0.004,0.003,893.0,669.0,1.0
"eps[24, 0]",0.45,0.06,0.345,0.564,0.002,0.002,580.0,570.0,1.0
"eps[25, 0]",0.123,0.036,0.055,0.187,0.001,0.001,900.0,735.0,1.0
"eps[26, 0]",0.232,0.033,0.174,0.297,0.001,0.001,587.0,465.0,1.0
"eps[27, 0]",-0.061,0.022,-0.102,-0.021,0.001,0.001,586.0,697.0,1.01
"eps[28, 0]",-0.215,0.032,-0.276,-0.155,0.001,0.001,739.0,773.0,1.0
"eps[29, 0]",0.087,0.021,0.053,0.13,0.001,0.001,801.0,583.0,1.0
"eps[30, 0]",0.025,0.015,-0.003,0.052,0.001,0.0,456.0,780.0,1.0
"eps[31, 0]",0.062,0.024,0.019,0.107,0.001,0.001,523.0,724.0,1.0
"eps[32, 0]",0.022,0.119,-0.197,0.234,0.004,0.003,1057.0,724.0,1.0
"eps[33, 0]",0.21,0.051,0.122,0.314,0.002,0.001,702.0,787.0,1.0
"eps[34, 0]",0.185,0.057,0.082,0.285,0.002,0.001,895.0,952.0,1.01
"eps[35, 0]",0.007,0.059,-0.095,0.129,0.002,0.002,1568.0,710.0,1.0
"eps[36, 0]",-0.061,0.021,-0.1,-0.021,0.001,0.001,461.0,539.0,1.01
"eps[37, 0]",-0.064,0.031,-0.12,-0.008,0.001,0.001,738.0,988.0,1.01
"eps[38, 0]",-0.081,0.022,-0.12,-0.039,0.001,0.001,575.0,798.0,1.0
"eps[39, 0]",-0.124,0.023,-0.165,-0.081,0.001,0.001,645.0,734.0,1.0
"eps[40, 0]",-0.037,0.017,-0.068,-0.003,0.001,0.001,556.0,810.0,1.0
"eps[41, 0]",-0.007,0.108,-0.209,0.203,0.003,0.004,1094.0,595.0,1.0
"eps[42, 0]",-0.114,0.045,-0.202,-0.033,0.002,0.001,851.0,624.0,1.0
"eps[43, 0]",0.001,0.049,-0.086,0.103,0.001,0.002,1257.0,709.0,1.01
"eps[44, 0]",-0.089,0.053,-0.184,0.018,0.001,0.001,1796.0,774.0,1.0
"eps[45, 0]",-0.051,0.032,-0.105,0.016,0.001,0.001,975.0,900.0,1.0
"eps[46, 0]",-0.068,0.043,-0.143,0.014,0.002,0.001,753.0,775.0,1.0
"eps[47, 0]",-0.016,0.02,-0.055,0.018,0.001,0.001,905.0,754.0,1.0
"eps[48, 0]",0.096,0.025,0.051,0.144,0.001,0.001,723.0,736.0,1.0
"eps[49, 0]",-0.06,0.022,-0.101,-0.021,0.001,0.001,653.0,778.0,1.01
"eps[50, 0]",0.044,0.088,-0.118,0.212,0.003,0.003,1030.0,724.0,1.01
"eps[51, 0]",-0.088,0.067,-0.215,0.031,0.002,0.001,1591.0,846.0,1.01
"eps[52, 0]",0.059,0.07,-0.07,0.194,0.002,0.002,1796.0,740.0,1.0
"eps[53, 0]",-0.049,0.044,-0.138,0.031,0.001,0.001,1276.0,691.0,1.0
"eps_tform[0, 0]",-2.49,0.458,-3.271,-1.633,0.015,0.011,891.0,778.0,1.0
"eps_tform[0, 1]",-0.778,0.513,-1.694,0.243,0.017,0.012,919.0,685.0,1.01
"eps_tform[0, 2]",0.151,0.539,-0.864,1.164,0.018,0.013,915.0,750.0,1.0
"eps_tform[0, 3]",0.729,0.279,0.262,1.296,0.009,0.007,936.0,624.0,1.0
"eps_tform[0, 4]",-0.877,0.31,-1.45,-0.324,0.009,0.007,1111.0,948.0,1.0
"eps_tform[0, 5]",0.952,0.821,-0.573,2.459,0.028,0.021,850.0,805.0,1.0
"eps_tform[0, 6]",0.849,0.223,0.441,1.259,0.009,0.006,641.0,559.0,1.01
"eps_tform[0, 7]",1.496,0.249,1.026,1.95,0.009,0.006,859.0,544.0,1.01
"eps_tform[0, 8]",0.014,0.409,-0.753,0.785,0.013,0.011,1029.0,695.0,1.0
"eps_tform[0, 9]",0.286,0.294,-0.241,0.863,0.015,0.011,368.0,550.0,1.01
"eps_tform[0, 10]",1.135,0.365,0.369,1.736,0.01,0.007,1256.0,784.0,1.0
"eps_tform[0, 11]",-0.055,0.33,-0.741,0.502,0.017,0.012,387.0,636.0,1.01
"eps_tform[0, 12]",0.271,0.311,-0.347,0.817,0.012,0.008,670.0,741.0,1.0
"eps_tform[0, 13]",0.228,0.294,-0.367,0.705,0.014,0.011,457.0,439.0,1.0
"eps_tform[0, 14]",2.035,0.78,0.644,3.581,0.024,0.018,1050.0,782.0,1.0
"eps_tform[0, 15]",-0.689,0.34,-1.363,-0.084,0.014,0.01,587.0,627.0,1.0
"eps_tform[0, 16]",0.216,0.254,-0.261,0.687,0.011,0.009,527.0,754.0,1.0
"eps_tform[0, 17]",-0.151,0.4,-0.868,0.633,0.015,0.011,735.0,572.0,1.0
"eps_tform[0, 18]",-2.303,0.334,-2.892,-1.631,0.015,0.01,529.0,559.0,1.0
