,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.321,0.128,0.096,0.554,0.006,0.004,490.0,705.0,1.01
Ds[0],36.303,0.117,36.081,36.508,0.005,0.004,504.0,767.0,1.0
RV[0],3.605,1.438,1.41,6.0,0.06,0.043,554.0,421.0,1.01
"eps[0, 0]",-0.061,0.089,-0.226,0.11,0.003,0.002,977.0,775.0,1.0
"eps[1, 0]",0.203,0.185,-0.14,0.535,0.005,0.004,1375.0,706.0,1.0
"eps[2, 0]",0.077,0.118,-0.158,0.287,0.003,0.003,1589.0,648.0,1.0
"eps[3, 0]",0.264,0.172,-0.053,0.596,0.004,0.003,1812.0,731.0,1.0
"eps[4, 0]",0.162,0.18,-0.163,0.496,0.004,0.004,2085.0,735.0,1.01
"eps[5, 0]",-0.032,0.205,-0.414,0.348,0.004,0.006,2093.0,1000.0,1.0
"eps[6, 0]",0.055,0.188,-0.268,0.447,0.004,0.006,1975.0,697.0,1.01
"eps[7, 0]",-0.012,0.167,-0.319,0.295,0.004,0.005,1689.0,744.0,1.01
"eps[8, 0]",-0.033,0.141,-0.313,0.223,0.004,0.004,1530.0,807.0,1.0
"eps[9, 0]",0.107,0.041,0.031,0.185,0.002,0.001,566.0,754.0,1.0
"eps[10, 0]",0.123,0.04,0.05,0.2,0.001,0.001,746.0,616.0,1.0
"eps[11, 0]",-0.078,0.039,-0.157,-0.008,0.001,0.001,1116.0,752.0,1.0
"eps[12, 0]",0.013,0.037,-0.055,0.081,0.001,0.001,883.0,748.0,1.0
"eps[13, 0]",-0.008,0.043,-0.089,0.074,0.001,0.001,916.0,697.0,1.0
"eps[14, 0]",-0.018,0.141,-0.298,0.225,0.004,0.004,1103.0,826.0,1.0
"eps[15, 0]",0.063,0.086,-0.114,0.203,0.002,0.002,1448.0,793.0,1.0
"eps[16, 0]",0.028,0.093,-0.15,0.201,0.002,0.003,1647.0,810.0,1.0
"eps[17, 0]",-0.006,0.085,-0.148,0.165,0.002,0.003,2514.0,819.0,1.01
"eps[18, 0]",0.041,0.041,-0.038,0.114,0.002,0.001,652.0,757.0,1.0
"eps[19, 0]",0.312,0.044,0.229,0.395,0.001,0.001,1112.0,896.0,1.0
"eps[20, 0]",-0.173,0.04,-0.253,-0.102,0.001,0.001,753.0,846.0,1.0
"eps[21, 0]",0.083,0.04,0.007,0.152,0.001,0.001,1100.0,702.0,1.0
