,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.158,0.058,0.056,0.264,0.002,0.002,548.0,608.0,1.0
Ds[0],35.181,0.057,35.081,35.288,0.002,0.002,570.0,706.0,1.0
RV[0],3.748,1.407,1.385,5.914,0.041,0.029,1160.0,789.0,1.01
"eps[0, 0]",-0.235,0.058,-0.338,-0.12,0.002,0.002,718.0,769.0,1.0
"eps[1, 0]",-0.213,0.1,-0.402,-0.029,0.003,0.002,1070.0,782.0,1.0
"eps[2, 0]",-0.129,0.097,-0.313,0.048,0.004,0.003,727.0,897.0,1.01
"eps[3, 0]",0.195,0.093,-0.003,0.351,0.003,0.002,727.0,660.0,1.0
"eps[4, 0]",0.185,0.082,0.024,0.332,0.003,0.002,889.0,764.0,1.0
"eps[5, 0]",-0.189,0.188,-0.522,0.152,0.004,0.004,1755.0,998.0,1.0
"eps[6, 0]",-0.063,0.179,-0.402,0.26,0.004,0.006,1931.0,694.0,1.01
"eps[7, 0]",0.001,0.15,-0.25,0.307,0.003,0.005,2044.0,903.0,1.0
"eps[8, 0]",0.028,0.134,-0.212,0.278,0.003,0.004,1534.0,670.0,1.01
"eps[9, 0]",-0.05,0.029,-0.103,0.006,0.001,0.001,745.0,559.0,1.0
"eps[10, 0]",-0.036,0.024,-0.087,0.003,0.001,0.001,950.0,711.0,1.0
"eps[11, 0]",0.009,0.024,-0.039,0.051,0.001,0.001,1027.0,805.0,1.0
"eps[12, 0]",-0.051,0.019,-0.086,-0.017,0.001,0.0,1009.0,828.0,1.0
"eps[13, 0]",-0.091,0.024,-0.136,-0.046,0.001,0.001,766.0,798.0,1.0
"eps[14, 0]",-0.103,0.136,-0.343,0.161,0.003,0.003,1530.0,744.0,1.0
"eps[15, 0]",0.035,0.083,-0.124,0.186,0.002,0.003,1807.0,656.0,1.0
"eps[16, 0]",-0.035,0.086,-0.203,0.122,0.002,0.003,1267.0,749.0,1.01
"eps[17, 0]",0.048,0.076,-0.081,0.191,0.002,0.002,1951.0,900.0,1.01
"eps[18, 0]",-0.08,0.031,-0.136,-0.024,0.001,0.001,688.0,651.0,1.01
"eps[19, 0]",0.07,0.027,0.025,0.121,0.001,0.001,891.0,715.0,1.0
"eps[20, 0]",-0.054,0.034,-0.119,0.007,0.001,0.001,1033.0,932.0,1.0
"eps[21, 0]",0.072,0.025,0.027,0.119,0.001,0.001,871.0,693.0,1.0
"eps[22, 0]",-0.035,0.029,-0.091,0.018,0.001,0.001,754.0,918.0,1.0
"eps[23, 0]",0.107,0.122,-0.123,0.321,0.003,0.002,1797.0,894.0,1.01
"eps[24, 0]",0.106,0.097,-0.07,0.294,0.003,0.002,1133.0,599.0,1.0
"eps[25, 0]",0.116,0.086,-0.044,0.273,0.003,0.002,1060.0,730.0,1.01
"eps[26, 0]",0.059,0.077,-0.071,0.224,0.003,0.002,835.0,696.0,1.0
"eps[27, 0]",0.128,0.038,0.06,0.202,0.001,0.001,856.0,621.0,1.0
"eps[28, 0]",0.095,0.034,0.03,0.159,0.001,0.001,950.0,694.0,1.0
"eps[29, 0]",0.072,0.02,0.033,0.107,0.001,0.0,979.0,754.0,1.0
"eps[30, 0]",-0.008,0.016,-0.037,0.024,0.001,0.0,710.0,944.0,1.0
"eps[31, 0]",-0.113,0.031,-0.173,-0.055,0.001,0.001,928.0,813.0,1.0
"eps[32, 0]",0.071,0.133,-0.168,0.321,0.003,0.004,1520.0,835.0,1.0
"eps[33, 0]",-0.09,0.087,-0.243,0.092,0.002,0.002,1264.0,703.0,1.0
"eps[34, 0]",0.048,0.092,-0.134,0.214,0.003,0.003,1085.0,632.0,1.0
"eps[35, 0]",0.017,0.061,-0.097,0.138,0.002,0.002,1146.0,725.0,1.01
"eps[36, 0]",0.212,0.033,0.154,0.273,0.001,0.001,837.0,713.0,1.0
"eps[37, 0]",0.23,0.035,0.169,0.298,0.001,0.001,1096.0,832.0,1.0
"eps[38, 0]",0.114,0.024,0.063,0.156,0.001,0.001,1032.0,952.0,1.0
"eps[39, 0]",0.108,0.027,0.06,0.161,0.001,0.001,933.0,777.0,1.01
"eps[40, 0]",-0.084,0.025,-0.137,-0.043,0.001,0.001,708.0,649.0,1.0
"eps[41, 0]",-0.018,0.111,-0.236,0.186,0.002,0.004,2029.0,731.0,1.0
"eps[42, 0]",0.068,0.053,-0.03,0.169,0.002,0.001,791.0,772.0,1.0
"eps[43, 0]",-0.015,0.055,-0.128,0.077,0.002,0.002,632.0,752.0,1.0
"eps[44, 0]",-0.11,0.049,-0.197,-0.013,0.002,0.001,833.0,479.0,1.0
"eps[45, 0]",-0.005,0.043,-0.085,0.077,0.001,0.001,1633.0,673.0,1.01
"eps[46, 0]",0.238,0.075,0.108,0.391,0.002,0.002,1308.0,752.0,1.0
"eps[47, 0]",-0.022,0.026,-0.072,0.023,0.001,0.001,1754.0,751.0,1.0
"eps[48, 0]",0.11,0.038,0.03,0.175,0.001,0.001,823.0,855.0,1.0
"eps[49, 0]",0.112,0.042,0.035,0.193,0.001,0.001,1001.0,810.0,1.0
"eps[50, 0]",-0.16,0.099,-0.338,0.044,0.003,0.002,1311.0,819.0,1.0
"eps[51, 0]",0.081,0.072,-0.05,0.206,0.002,0.002,2141.0,898.0,1.01
"eps[52, 0]",-0.056,0.074,-0.191,0.09,0.001,0.002,2481.0,756.0,1.01
"eps[53, 0]",-0.104,0.05,-0.192,-0.014,0.001,0.001,1418.0,558.0,1.0
"eps_tform[0, 0]",-2.556,0.634,-3.672,-1.303,0.024,0.017,718.0,769.0,1.0
"eps_tform[0, 1]",-0.635,0.478,-1.532,0.243,0.014,0.011,1240.0,713.0,1.0
"eps_tform[0, 2]",-0.161,0.702,-1.645,1.022,0.023,0.019,889.0,779.0,1.01
"eps_tform[0, 3]",1.438,0.438,0.62,2.254,0.014,0.01,1027.0,834.0,1.0
"eps_tform[0, 4]",0.835,0.429,-0.018,1.622,0.012,0.009,1389.0,732.0,1.0
"eps_tform[0, 5]",-0.717,0.878,-2.281,0.964,0.021,0.021,1802.0,929.0,1.0
"eps_tform[0, 6]",-0.47,0.971,-2.288,1.345,0.022,0.03,1944.0,657.0,1.01
"eps_tform[0, 7]",0.181,0.925,-1.499,2.024,0.021,0.028,1986.0,891.0,1.0
"eps_tform[0, 8]",0.162,0.926,-1.616,1.791,0.023,0.03,1589.0,628.0,1.01
"eps_tform[0, 9]",-1.31,0.581,-2.376,-0.245,0.021,0.015,765.0,671.0,1.0
"eps_tform[0, 10]",-0.185,0.423,-0.918,0.644,0.014,0.01,864.0,634.0,1.0
"eps_tform[0, 11]",0.455,0.408,-0.238,1.254,0.014,0.01,898.0,626.0,1.0
"eps_tform[0, 12]",-0.326,0.429,-1.133,0.476,0.015,0.012,808.0,770.0,1.0
"eps_tform[0, 13]",-1.71,0.389,-2.45,-1.05,0.014,0.01,769.0,804.0,1.0
"eps_tform[0, 14]",-0.137,0.876,-1.894,1.411,0.02,0.03,1845.0,690.0,1.0
"eps_tform[0, 15]",0.469,0.936,-1.176,2.305,0.022,0.029,1850.0,761.0,1.0
"eps_tform[0, 16]",-0.183,0.932,-1.861,1.626,0.025,0.031,1404.0,694.0,1.01
"eps_tform[0, 17]",0.615,0.899,-1.255,2.051,0.02,0.02,1982.0,800.0,1.01
"eps_tform[0, 18]",-0.043,0.509,-0.968,0.973,0.018,0.015,816.0,691.0,1.0
"eps_tform[0, 19]",1.112,0.32,0.515,1.702,0.009,0.007,1304.0,874.0,1.0
"eps_tform[0, 20]",-0.914,0.545,-1.803,0.18,0.017,0.012,1081.0,895.0,1.0
"eps_tform[0, 21]",0.447,0.534,-0.503,1.412,0.018,0.014,925.0,689.0,1.0
"eps_tform[0, 22]",-0.425,0.309,-0.977,0.172,0.011,0.008,842.0,780.0,1.0
"eps_tform[0, 23]",0.478,0.902,-1.186,2.128,0.022,0.022,1743.0,873.0,1.01
"eps_tform[0, 24]",0.304,0.736,-1.061,1.648,0.022,0.023,1101.0,744.0,1.01
