,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],2.537,0.038,2.467,2.609,0.002,0.001,471.0,630.0,1.0
Ds[0],30.772,0.037,30.707,30.844,0.002,0.001,482.0,622.0,1.0
RV[0],2.106,0.062,1.979,2.217,0.002,0.002,624.0,588.0,1.01
"eps[0, 0]",0.278,0.046,0.202,0.37,0.002,0.001,678.0,739.0,1.01
"eps[1, 0]",0.058,0.052,-0.039,0.152,0.002,0.001,874.0,711.0,1.0
"eps[2, 0]",0.235,0.036,0.166,0.304,0.001,0.001,748.0,619.0,1.0
"eps[3, 0]",-0.1,0.035,-0.162,-0.034,0.001,0.001,651.0,658.0,1.0
"eps[4, 0]",0.512,0.037,0.444,0.584,0.001,0.001,683.0,640.0,1.0
"eps[5, 0]",0.042,0.236,-0.359,0.519,0.009,0.007,752.0,712.0,1.01
"eps[6, 0]",0.087,0.049,-0.002,0.184,0.002,0.001,635.0,615.0,1.01
"eps[7, 0]",0.03,0.038,-0.037,0.11,0.002,0.001,608.0,693.0,1.0
"eps[8, 0]",0.155,0.041,0.077,0.229,0.002,0.001,545.0,738.0,1.0
"eps[9, 0]",0.031,0.031,-0.023,0.093,0.001,0.001,820.0,786.0,1.0
"eps[10, 0]",0.146,0.021,0.108,0.186,0.001,0.0,935.0,697.0,1.0
"eps[11, 0]",-0.131,0.016,-0.16,-0.099,0.001,0.0,645.0,721.0,1.0
"eps[12, 0]",0.056,0.019,0.024,0.096,0.001,0.001,598.0,705.0,1.01
"eps[13, 0]",0.131,0.02,0.098,0.173,0.001,0.001,563.0,712.0,1.01
"eps[14, 0]",-0.171,0.099,-0.373,-0.003,0.004,0.003,789.0,733.0,1.01
"eps[15, 0]",-0.001,0.026,-0.045,0.053,0.001,0.001,564.0,881.0,1.0
"eps[16, 0]",0.041,0.027,-0.015,0.086,0.001,0.001,534.0,792.0,1.0
"eps[17, 0]",0.161,0.031,0.098,0.214,0.001,0.001,492.0,650.0,1.0
"eps[18, 0]",0.183,0.03,0.127,0.239,0.001,0.001,872.0,670.0,1.0
"eps[19, 0]",0.095,0.025,0.049,0.142,0.001,0.001,801.0,838.0,1.0
"eps[20, 0]",-0.181,0.015,-0.209,-0.15,0.001,0.0,655.0,805.0,1.01
