,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.038,0.024,0.0,0.08,0.001,0.001,284.0,431.0,1.01
Ds[0],34.327,0.027,34.277,34.376,0.002,0.001,245.0,378.0,1.01
RV[0],3.692,1.403,1.409,5.966,0.038,0.028,1340.0,631.0,1.0
"eps[0, 0]",0.029,0.034,-0.031,0.093,0.001,0.001,589.0,518.0,1.0
"eps[1, 0]",0.065,0.052,-0.042,0.159,0.002,0.001,873.0,625.0,1.0
"eps[2, 0]",-0.013,0.04,-0.092,0.054,0.002,0.001,578.0,700.0,1.01
"eps[3, 0]",0.01,0.031,-0.054,0.065,0.001,0.001,634.0,593.0,1.0
"eps[4, 0]",-0.028,0.033,-0.087,0.035,0.002,0.001,432.0,558.0,1.01
"eps[5, 0]",-0.161,0.177,-0.474,0.172,0.007,0.005,572.0,760.0,1.01
"eps[6, 0]",0.046,0.058,-0.047,0.167,0.003,0.002,416.0,580.0,1.01
"eps[7, 0]",-0.006,0.034,-0.07,0.06,0.002,0.001,376.0,631.0,1.01
"eps[8, 0]",0.038,0.071,-0.1,0.17,0.002,0.002,1051.0,810.0,1.0
"eps[9, 0]",-0.043,0.022,-0.084,-0.006,0.001,0.001,342.0,517.0,1.0
"eps[10, 0]",0.034,0.029,-0.019,0.089,0.001,0.001,662.0,669.0,1.0
"eps[11, 0]",-0.019,0.021,-0.059,0.02,0.001,0.001,428.0,487.0,1.0
"eps[12, 0]",0.02,0.019,-0.011,0.057,0.001,0.001,390.0,574.0,1.01
"eps[13, 0]",-0.109,0.02,-0.146,-0.071,0.001,0.001,322.0,404.0,1.01
"eps[14, 0]",-0.088,0.112,-0.299,0.111,0.004,0.003,933.0,806.0,1.01
"eps[15, 0]",-0.065,0.041,-0.139,0.016,0.002,0.001,653.0,762.0,1.0
"eps[16, 0]",-0.019,0.022,-0.059,0.021,0.001,0.001,332.0,459.0,1.0
"eps[17, 0]",-0.022,0.027,-0.07,0.032,0.001,0.001,433.0,504.0,1.0
"eps[18, 0]",-0.058,0.022,-0.102,-0.019,0.001,0.001,505.0,557.0,1.0
"eps[19, 0]",0.052,0.022,0.012,0.094,0.001,0.001,688.0,777.0,1.0
"eps[20, 0]",-0.024,0.018,-0.058,0.008,0.001,0.001,523.0,650.0,1.0
"eps[21, 0]",0.084,0.015,0.058,0.113,0.001,0.0,461.0,636.0,1.0
"eps[22, 0]",-0.006,0.016,-0.033,0.025,0.001,0.001,376.0,592.0,1.01
