,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.038,0.025,0.0,0.081,0.001,0.001,398.0,469.0,1.01
Ds[0],34.331,0.028,34.278,34.382,0.002,0.001,283.0,432.0,1.0
RV[0],3.729,1.388,1.48,5.987,0.038,0.027,1279.0,587.0,1.01
"eps[0, 0]",0.029,0.034,-0.037,0.089,0.001,0.001,592.0,691.0,1.0
"eps[1, 0]",0.066,0.053,-0.023,0.172,0.002,0.002,748.0,726.0,1.0
"eps[2, 0]",-0.015,0.04,-0.09,0.059,0.002,0.001,602.0,563.0,1.01
"eps[3, 0]",0.01,0.032,-0.048,0.07,0.001,0.001,724.0,587.0,1.0
"eps[4, 0]",-0.027,0.034,-0.091,0.035,0.001,0.001,522.0,601.0,1.01
"eps[5, 0]",-0.161,0.186,-0.509,0.173,0.009,0.007,398.0,499.0,1.0
"eps[6, 0]",0.05,0.059,-0.059,0.155,0.003,0.002,369.0,535.0,1.01
"eps[7, 0]",-0.007,0.035,-0.072,0.057,0.002,0.001,446.0,586.0,1.0
"eps[8, 0]",0.036,0.071,-0.095,0.162,0.003,0.002,809.0,776.0,1.0
"eps[9, 0]",-0.043,0.021,-0.085,-0.008,0.001,0.001,351.0,621.0,1.0
"eps[10, 0]",0.033,0.029,-0.022,0.086,0.001,0.001,675.0,587.0,1.0
"eps[11, 0]",-0.02,0.021,-0.058,0.023,0.001,0.001,476.0,515.0,1.0
"eps[12, 0]",0.02,0.018,-0.013,0.053,0.001,0.001,433.0,650.0,1.0
"eps[13, 0]",-0.109,0.02,-0.145,-0.07,0.001,0.001,351.0,474.0,1.0
"eps[14, 0]",-0.084,0.111,-0.278,0.124,0.004,0.003,739.0,758.0,1.0
"eps[15, 0]",-0.063,0.04,-0.143,0.006,0.002,0.001,622.0,673.0,1.0
"eps[16, 0]",-0.02,0.022,-0.06,0.021,0.001,0.001,363.0,415.0,1.01
