,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.04,0.026,0.0,0.083,0.002,0.002,156.0,110.0,1.02
Ds[0],33.299,0.026,33.252,33.347,0.002,0.002,159.0,94.0,1.02
RV[0],3.723,1.386,1.49,5.991,0.042,0.03,1201.0,770.0,1.0
"eps[0, 0]",0.106,0.035,0.044,0.173,0.001,0.001,746.0,671.0,1.0
"eps[1, 0]",-0.287,0.07,-0.415,-0.156,0.003,0.002,746.0,683.0,1.0
"eps[2, 0]",-0.016,0.051,-0.105,0.082,0.002,0.002,730.0,617.0,1.01
"eps[3, 0]",0.025,0.052,-0.071,0.118,0.002,0.001,847.0,821.0,1.0
"eps[4, 0]",-0.019,0.051,-0.125,0.067,0.002,0.002,534.0,653.0,1.01
"eps[5, 0]",-0.002,0.196,-0.339,0.391,0.011,0.008,307.0,245.0,1.02
"eps[6, 0]",-0.124,0.078,-0.272,0.011,0.003,0.002,577.0,647.0,1.01
"eps[7, 0]",-0.145,0.095,-0.325,0.041,0.003,0.003,798.0,403.0,1.0
"eps[8, 0]",-0.084,0.103,-0.263,0.119,0.005,0.004,454.0,216.0,1.01
"eps[9, 0]",-0.017,0.019,-0.05,0.019,0.001,0.001,269.0,430.0,1.02
"eps[10, 0]",0.028,0.02,-0.011,0.064,0.001,0.001,516.0,717.0,1.0
"eps[11, 0]",-0.011,0.016,-0.043,0.019,0.001,0.001,365.0,530.0,1.01
"eps[12, 0]",-0.021,0.013,-0.048,0.003,0.001,0.001,288.0,554.0,1.01
"eps[13, 0]",0.004,0.016,-0.025,0.032,0.001,0.001,243.0,430.0,1.01
"eps[14, 0]",-0.049,0.117,-0.282,0.162,0.004,0.003,784.0,811.0,1.0
"eps[15, 0]",-0.062,0.04,-0.122,0.025,0.003,0.002,240.0,100.0,1.02
"eps[16, 0]",0.045,0.037,-0.03,0.105,0.002,0.001,341.0,576.0,1.01
"eps[17, 0]",-0.026,0.038,-0.096,0.045,0.002,0.001,471.0,687.0,1.01
"eps[18, 0]",-0.088,0.021,-0.125,-0.051,0.001,0.001,313.0,481.0,1.0
"eps[19, 0]",-0.021,0.02,-0.057,0.018,0.001,0.001,465.0,701.0,1.01
"eps[20, 0]",0.019,0.017,-0.01,0.056,0.001,0.001,404.0,743.0,1.01
"eps[21, 0]",0.064,0.013,0.038,0.086,0.001,0.001,262.0,419.0,1.01
"eps[22, 0]",0.002,0.014,-0.026,0.027,0.001,0.001,160.0,111.0,1.02
"eps[23, 0]",0.091,0.108,-0.122,0.269,0.004,0.003,648.0,754.0,1.01
"eps[24, 0]",0.026,0.028,-0.026,0.077,0.002,0.001,312.0,461.0,1.01
"eps[25, 0]",0.07,0.024,0.025,0.115,0.002,0.002,196.0,111.0,1.02
"eps[26, 0]",0.044,0.027,0.001,0.102,0.002,0.002,184.0,105.0,1.02
"eps[27, 0]",-0.097,0.023,-0.142,-0.058,0.001,0.001,405.0,628.0,1.0
"eps[28, 0]",-0.085,0.028,-0.14,-0.036,0.001,0.001,640.0,619.0,1.0
"eps[29, 0]",0.019,0.016,-0.011,0.051,0.001,0.001,414.0,579.0,1.0
"eps[30, 0]",0.045,0.012,0.021,0.067,0.001,0.001,233.0,414.0,1.02
"eps[31, 0]",-0.001,0.02,-0.042,0.033,0.001,0.001,270.0,555.0,1.01
"eps[32, 0]",0.107,0.115,-0.102,0.337,0.007,0.008,329.0,78.0,1.03
"eps[33, 0]",0.051,0.037,-0.019,0.119,0.002,0.001,409.0,509.0,1.0
"eps[34, 0]",0.098,0.038,0.033,0.178,0.002,0.002,253.0,93.0,1.02
"eps[35, 0]",0.002,0.028,-0.047,0.052,0.002,0.001,295.0,406.0,1.01
"eps[36, 0]",0.011,0.022,-0.03,0.053,0.001,0.001,334.0,489.0,1.01
"eps[37, 0]",-0.025,0.026,-0.068,0.029,0.001,0.001,654.0,668.0,1.0
"eps[38, 0]",0.004,0.018,-0.029,0.038,0.001,0.001,503.0,573.0,1.01
"eps[39, 0]",-0.055,0.02,-0.093,-0.015,0.001,0.001,460.0,519.0,1.01
"eps[40, 0]",0.007,0.016,-0.023,0.034,0.001,0.001,249.0,444.0,1.01
