,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.041,0.024,0.0,0.081,0.001,0.001,347.0,497.0,1.01
Ds[0],33.298,0.026,33.252,33.343,0.001,0.001,303.0,331.0,1.01
RV[0],3.752,1.402,1.463,5.998,0.043,0.031,994.0,613.0,1.0
"eps[0, 0]",0.107,0.035,0.044,0.171,0.001,0.001,801.0,737.0,1.0
"eps[1, 0]",-0.285,0.07,-0.411,-0.153,0.003,0.002,785.0,589.0,1.0
"eps[2, 0]",-0.018,0.05,-0.11,0.072,0.002,0.001,728.0,620.0,1.02
"eps[3, 0]",0.024,0.054,-0.075,0.126,0.002,0.001,1077.0,789.0,1.0
"eps[4, 0]",-0.022,0.051,-0.106,0.084,0.002,0.001,831.0,635.0,1.0
"eps[5, 0]",0.011,0.198,-0.338,0.379,0.008,0.006,599.0,666.0,1.0
"eps[6, 0]",-0.131,0.08,-0.274,0.021,0.003,0.002,751.0,735.0,1.0
"eps[7, 0]",-0.146,0.095,-0.325,0.04,0.003,0.002,859.0,636.0,1.0
"eps[8, 0]",-0.089,0.096,-0.253,0.114,0.004,0.003,671.0,458.0,1.0
"eps[9, 0]",-0.015,0.017,-0.048,0.016,0.001,0.001,335.0,566.0,1.02
"eps[10, 0]",0.029,0.02,-0.008,0.065,0.001,0.001,761.0,598.0,1.0
"eps[11, 0]",-0.012,0.017,-0.042,0.019,0.001,0.001,466.0,640.0,1.01
"eps[12, 0]",-0.023,0.013,-0.049,-0.0,0.001,0.0,358.0,554.0,1.01
"eps[13, 0]",0.002,0.017,-0.03,0.031,0.001,0.001,320.0,410.0,1.01
"eps[14, 0]",-0.04,0.118,-0.273,0.163,0.004,0.003,866.0,585.0,1.0
"eps[15, 0]",-0.065,0.038,-0.133,0.002,0.001,0.001,634.0,622.0,1.0
"eps[16, 0]",0.046,0.037,-0.02,0.12,0.002,0.001,522.0,651.0,1.01
"eps[17, 0]",-0.026,0.038,-0.101,0.047,0.002,0.001,392.0,519.0,1.01
"eps[18, 0]",-0.085,0.019,-0.123,-0.053,0.001,0.001,363.0,627.0,1.02
"eps[19, 0]",-0.02,0.02,-0.061,0.015,0.001,0.001,738.0,831.0,1.0
"eps[20, 0]",0.019,0.018,-0.013,0.053,0.001,0.001,494.0,673.0,1.01
"eps[21, 0]",0.062,0.012,0.04,0.084,0.001,0.0,353.0,541.0,1.01
"eps[22, 0]",-0.001,0.014,-0.025,0.027,0.001,0.001,261.0,211.0,1.01
"eps[23, 0]",0.078,0.111,-0.126,0.272,0.004,0.003,755.0,812.0,1.0
"eps[24, 0]",0.027,0.03,-0.036,0.078,0.001,0.001,481.0,657.0,1.01
"eps[25, 0]",0.067,0.022,0.024,0.105,0.001,0.001,400.0,575.0,1.0
"eps[26, 0]",0.045,0.026,-0.004,0.093,0.001,0.001,382.0,555.0,1.01
"eps[27, 0]",-0.094,0.021,-0.133,-0.056,0.001,0.001,405.0,698.0,1.01
"eps[28, 0]",-0.084,0.028,-0.136,-0.033,0.001,0.001,467.0,518.0,1.01
"eps[29, 0]",0.019,0.016,-0.011,0.049,0.001,0.0,517.0,755.0,1.01
"eps[30, 0]",0.043,0.012,0.021,0.068,0.001,0.0,347.0,549.0,1.01
"eps[31, 0]",-0.004,0.02,-0.04,0.038,0.001,0.001,342.0,359.0,1.01
"eps[32, 0]",0.103,0.109,-0.091,0.315,0.004,0.003,925.0,778.0,1.01
"eps[33, 0]",0.05,0.04,-0.019,0.126,0.002,0.001,358.0,345.0,1.01
"eps[34, 0]",0.097,0.035,0.026,0.158,0.002,0.001,520.0,597.0,1.01
"eps[35, 0]",0.002,0.028,-0.049,0.056,0.002,0.001,321.0,585.0,1.01
"eps[36, 0]",0.014,0.021,-0.025,0.053,0.001,0.001,429.0,679.0,1.02
"eps[37, 0]",-0.025,0.026,-0.071,0.026,0.001,0.001,574.0,749.0,1.0
"eps[38, 0]",0.004,0.017,-0.028,0.037,0.001,0.001,437.0,520.0,1.01
"eps[39, 0]",-0.057,0.02,-0.094,-0.023,0.001,0.001,387.0,344.0,1.01
"eps[40, 0]",0.004,0.015,-0.023,0.034,0.001,0.001,364.0,554.0,1.0
"eps[41, 0]",0.087,0.097,-0.104,0.262,0.003,0.002,1244.0,872.0,1.0
"eps[42, 0]",-0.061,0.031,-0.119,-0.005,0.001,0.001,636.0,829.0,1.0
"eps[43, 0]",0.064,0.026,0.02,0.116,0.001,0.001,555.0,765.0,1.0
"eps[44, 0]",-0.035,0.027,-0.084,0.016,0.001,0.001,479.0,531.0,1.01
"eps[45, 0]",0.002,0.033,-0.06,0.063,0.001,0.001,1230.0,867.0,1.0
"eps[46, 0]",0.098,0.041,0.017,0.166,0.001,0.001,939.0,782.0,1.0
"eps[47, 0]",-0.027,0.016,-0.056,0.003,0.001,0.0,710.0,700.0,1.0
"eps[48, 0]",0.06,0.018,0.028,0.093,0.001,0.0,703.0,782.0,1.0
"eps[49, 0]",-0.009,0.018,-0.039,0.028,0.001,0.001,550.0,718.0,1.0
"eps[50, 0]",-0.017,0.089,-0.173,0.15,0.003,0.003,1012.0,792.0,1.01
"eps[51, 0]",0.114,0.048,0.028,0.197,0.002,0.001,923.0,882.0,1.01
"eps[52, 0]",0.07,0.058,-0.041,0.17,0.002,0.001,1192.0,729.0,1.01
"eps[53, 0]",0.001,0.038,-0.076,0.068,0.001,0.001,1146.0,607.0,1.0
"eps_tform[0, 0]",1.165,0.381,0.48,1.857,0.013,0.01,801.0,737.0,1.0
"eps_tform[0, 1]",-1.507,0.347,-2.115,-0.82,0.012,0.009,798.0,597.0,1.0
"eps_tform[0, 2]",-0.734,0.305,-1.34,-0.18,0.012,0.008,643.0,638.0,1.01
"eps_tform[0, 3]",0.859,0.254,0.369,1.335,0.008,0.006,1136.0,663.0,1.0
"eps_tform[0, 4]",0.23,0.285,-0.262,0.775,0.009,0.008,898.0,653.0,1.0
"eps_tform[0, 5]",-0.316,0.927,-1.996,1.376,0.038,0.027,593.0,685.0,1.0
"eps_tform[0, 6]",-0.603,0.388,-1.34,0.138,0.013,0.01,880.0,759.0,1.0
"eps_tform[0, 7]",-0.672,0.587,-1.756,0.483,0.02,0.015,881.0,675.0,1.0
"eps_tform[0, 8]",-0.319,0.654,-1.562,0.879,0.024,0.019,752.0,641.0,1.0
"eps_tform[0, 9]",-0.204,0.35,-0.878,0.418,0.02,0.014,317.0,458.0,1.02
"eps_tform[0, 10]",0.639,0.333,0.046,1.244,0.011,0.008,958.0,731.0,1.0
"eps_tform[0, 11]",-0.201,0.278,-0.765,0.282,0.016,0.011,319.0,503.0,1.02
"eps_tform[0, 12]",-0.308,0.293,-0.863,0.242,0.015,0.011,382.0,548.0,1.01
"eps_tform[0, 13]",-0.15,0.259,-0.624,0.326,0.015,0.011,299.0,518.0,1.01
"eps_tform[0, 14]",0.174,0.776,-1.211,1.671,0.025,0.024,970.0,733.0,1.0
"eps_tform[0, 15]",-0.721,0.336,-1.344,-0.111,0.015,0.011,487.0,554.0,1.0
"eps_tform[0, 16]",0.162,0.374,-0.549,0.835,0.017,0.013,472.0,625.0,1.01
"eps_tform[0, 17]",-0.498,0.454,-1.346,0.361,0.023,0.016,380.0,551.0,1.01
