,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],1.861,0.168,1.573,2.22,0.01,0.007,291.0,213.0,1.01
Ds[0],35.228,0.143,34.934,35.48,0.008,0.006,319.0,438.0,1.01
RV[0],1.819,0.223,1.415,2.25,0.012,0.009,313.0,274.0,1.01
"eps[0, 0]",-0.004,0.085,-0.158,0.169,0.003,0.002,1031.0,709.0,1.0
"eps[1, 0]",0.073,0.202,-0.322,0.427,0.007,0.005,950.0,578.0,1.01
"eps[2, 0]",0.112,0.124,-0.117,0.343,0.003,0.003,2015.0,625.0,1.01
"eps[3, 0]",0.433,0.201,0.031,0.795,0.005,0.004,1334.0,820.0,1.0
"eps[4, 0]",0.498,0.204,0.11,0.881,0.005,0.004,1453.0,626.0,1.01
"eps[5, 0]",0.038,0.21,-0.346,0.412,0.005,0.006,1588.0,937.0,1.01
"eps[6, 0]",0.085,0.187,-0.259,0.456,0.005,0.006,1501.0,833.0,1.01
"eps[7, 0]",0.075,0.159,-0.26,0.354,0.004,0.004,2050.0,689.0,1.0
"eps[8, 0]",-0.104,0.138,-0.368,0.138,0.003,0.003,1601.0,781.0,1.0
"eps[9, 0]",0.016,0.05,-0.075,0.108,0.002,0.002,1059.0,804.0,1.0
"eps[10, 0]",0.035,0.056,-0.083,0.129,0.001,0.001,2086.0,930.0,1.0
"eps[11, 0]",-0.056,0.045,-0.138,0.028,0.001,0.001,1098.0,837.0,1.0
"eps[12, 0]",-0.096,0.038,-0.168,-0.029,0.001,0.001,926.0,683.0,1.0
"eps[13, 0]",-0.125,0.055,-0.232,-0.026,0.002,0.001,900.0,900.0,1.0
"eps[14, 0]",-0.158,0.146,-0.427,0.106,0.004,0.003,1480.0,772.0,1.0
"eps[15, 0]",-0.104,0.088,-0.256,0.073,0.002,0.002,1341.0,537.0,1.0
"eps[16, 0]",-0.017,0.076,-0.171,0.123,0.002,0.002,1010.0,756.0,1.0
"eps[17, 0]",-0.008,0.075,-0.139,0.135,0.002,0.002,1424.0,757.0,1.0
"eps[18, 0]",-0.035,0.055,-0.133,0.07,0.002,0.001,839.0,793.0,1.0
"eps[19, 0]",0.145,0.051,0.045,0.232,0.002,0.001,1033.0,732.0,1.0
"eps[20, 0]",-0.059,0.039,-0.133,0.013,0.001,0.001,695.0,785.0,1.0
"eps[21, 0]",0.099,0.03,0.046,0.159,0.001,0.001,590.0,685.0,1.0
"eps[22, 0]",0.187,0.041,0.1,0.255,0.001,0.001,977.0,895.0,1.0
