,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],1.668,0.204,1.255,2.05,0.013,0.009,237.0,283.0,1.03
Ds[0],35.48,0.178,35.188,35.849,0.011,0.008,248.0,363.0,1.02
RV[0],1.644,0.26,1.132,2.089,0.016,0.012,246.0,248.0,1.02
"eps[0, 0]",-0.004,0.085,-0.167,0.155,0.002,0.002,1171.0,884.0,1.0
"eps[1, 0]",0.136,0.201,-0.243,0.482,0.007,0.005,884.0,701.0,1.01
"eps[2, 0]",0.109,0.126,-0.117,0.353,0.003,0.003,2484.0,855.0,1.01
"eps[3, 0]",0.498,0.196,0.127,0.863,0.005,0.004,1415.0,881.0,1.0
"eps[4, 0]",0.563,0.202,0.215,0.986,0.005,0.004,1384.0,606.0,1.01
"eps[5, 0]",0.011,0.21,-0.351,0.422,0.006,0.006,1251.0,759.0,1.0
"eps[6, 0]",0.118,0.181,-0.233,0.441,0.005,0.005,1194.0,850.0,1.01
"eps[7, 0]",0.099,0.157,-0.211,0.384,0.004,0.004,1434.0,651.0,1.01
"eps[8, 0]",-0.1,0.14,-0.352,0.168,0.004,0.004,1143.0,653.0,1.0
"eps[9, 0]",0.024,0.048,-0.063,0.113,0.002,0.001,918.0,792.0,1.0
"eps[10, 0]",0.037,0.056,-0.077,0.135,0.001,0.001,1726.0,904.0,1.0
"eps[11, 0]",-0.065,0.046,-0.152,0.014,0.001,0.001,1174.0,711.0,1.0
"eps[12, 0]",-0.111,0.039,-0.177,-0.026,0.001,0.001,777.0,466.0,1.01
"eps[13, 0]",-0.121,0.055,-0.224,-0.015,0.002,0.001,1117.0,996.0,1.0
"eps[14, 0]",-0.155,0.144,-0.417,0.115,0.004,0.003,1349.0,687.0,1.0
"eps[15, 0]",-0.095,0.086,-0.27,0.053,0.002,0.002,1547.0,736.0,1.0
"eps[16, 0]",-0.032,0.078,-0.179,0.108,0.003,0.002,834.0,830.0,1.01
"eps[17, 0]",-0.026,0.074,-0.162,0.114,0.002,0.002,1309.0,865.0,1.0
"eps[18, 0]",-0.019,0.055,-0.117,0.084,0.002,0.002,711.0,653.0,1.01
"eps[19, 0]",0.149,0.052,0.038,0.24,0.002,0.001,1076.0,824.0,1.0
"eps[20, 0]",-0.082,0.038,-0.147,-0.003,0.001,0.001,671.0,761.0,1.01
"eps[21, 0]",0.077,0.029,0.025,0.132,0.001,0.001,610.0,712.0,1.0
"eps[22, 0]",0.214,0.043,0.13,0.287,0.002,0.001,679.0,761.0,1.01
"eps[23, 0]",0.189,0.132,-0.087,0.437,0.003,0.003,1714.0,691.0,1.01
"eps[24, 0]",0.077,0.091,-0.081,0.253,0.003,0.002,1218.0,785.0,1.01
"eps[25, 0]",0.048,0.088,-0.127,0.209,0.004,0.003,524.0,682.0,1.01
"eps[26, 0]",0.009,0.13,-0.226,0.263,0.005,0.004,560.0,571.0,1.01
"eps[27, 0]",-0.006,0.066,-0.134,0.114,0.002,0.002,975.0,706.0,1.0
"eps[28, 0]",0.101,0.08,-0.044,0.258,0.002,0.002,1310.0,748.0,1.0
"eps[29, 0]",-0.112,0.042,-0.195,-0.039,0.001,0.001,1122.0,935.0,1.01
"eps[30, 0]",-0.048,0.034,-0.106,0.02,0.001,0.001,530.0,766.0,1.01
"eps[31, 0]",0.01,0.061,-0.106,0.121,0.002,0.002,670.0,758.0,1.0
"eps[32, 0]",-0.001,0.148,-0.259,0.294,0.004,0.005,1421.0,674.0,1.0
"eps[33, 0]",0.126,0.116,-0.079,0.352,0.003,0.003,1280.0,725.0,1.0
"eps[34, 0]",0.086,0.12,-0.138,0.297,0.004,0.004,875.0,670.0,1.0
"eps[35, 0]",-0.031,0.079,-0.168,0.121,0.003,0.002,950.0,754.0,1.01
"eps[36, 0]",0.169,0.089,-0.002,0.341,0.002,0.002,1387.0,767.0,1.0
"eps[37, 0]",0.079,0.09,-0.072,0.265,0.002,0.002,1504.0,647.0,1.0
"eps[38, 0]",0.051,0.064,-0.062,0.175,0.002,0.002,998.0,665.0,1.0
"eps[39, 0]",-0.006,0.058,-0.112,0.103,0.002,0.001,1004.0,864.0,1.0
"eps[40, 0]",0.026,0.065,-0.093,0.141,0.002,0.002,1078.0,854.0,1.01
"eps[41, 0]",0.051,0.117,-0.161,0.28,0.003,0.003,1487.0,593.0,1.0
"eps[42, 0]",-0.103,0.107,-0.304,0.092,0.002,0.002,1918.0,924.0,1.0
"eps[43, 0]",-0.013,0.087,-0.168,0.152,0.002,0.003,1292.0,759.0,1.01
"eps[44, 0]",-0.028,0.066,-0.163,0.088,0.002,0.002,1228.0,758.0,1.0
"eps[45, 0]",-0.098,0.055,-0.206,0.001,0.001,0.001,1936.0,995.0,1.0
"eps[46, 0]",0.124,0.112,-0.093,0.317,0.003,0.003,1715.0,495.0,1.0
"eps[47, 0]",-0.019,0.033,-0.083,0.037,0.001,0.001,1066.0,588.0,1.0
"eps[48, 0]",0.038,0.081,-0.112,0.194,0.003,0.002,584.0,723.0,1.01
"eps[49, 0]",0.233,0.077,0.099,0.38,0.003,0.002,579.0,720.0,1.01
"eps[50, 0]",-0.052,0.119,-0.256,0.194,0.004,0.003,1094.0,876.0,1.0
"eps[51, 0]",0.24,0.098,0.063,0.421,0.003,0.002,1357.0,711.0,1.0
"eps[52, 0]",0.093,0.094,-0.097,0.254,0.003,0.003,814.0,702.0,1.0
"eps[53, 0]",-0.05,0.071,-0.171,0.093,0.002,0.002,1252.0,735.0,1.01
"eps_tform[0, 0]",-0.04,0.927,-1.818,1.686,0.027,0.025,1171.0,884.0,1.0
"eps_tform[0, 1]",0.647,0.939,-1.023,2.434,0.031,0.024,914.0,772.0,1.01
"eps_tform[0, 2]",0.968,0.972,-0.927,2.723,0.021,0.021,2066.0,937.0,1.0
"eps_tform[0, 3]",2.045,0.89,0.373,3.71,0.023,0.017,1446.0,849.0,1.0
"eps_tform[0, 4]",1.528,0.908,-0.068,3.392,0.024,0.021,1460.0,735.0,1.01
"eps_tform[0, 5]",-0.359,0.928,-2.102,1.256,0.025,0.026,1330.0,791.0,1.0
"eps_tform[0, 6]",0.375,0.983,-1.553,2.119,0.029,0.026,1180.0,755.0,1.01
"eps_tform[0, 7]",0.248,0.955,-1.68,1.955,0.024,0.031,1571.0,740.0,1.01
"eps_tform[0, 8]",-0.997,0.92,-2.528,0.914,0.027,0.022,1176.0,785.0,1.0
"eps_tform[0, 9]",0.044,0.937,-1.682,1.822,0.031,0.03,939.0,821.0,1.0
"eps_tform[0, 10]",0.28,0.975,-1.712,1.922,0.024,0.027,1744.0,806.0,1.0
"eps_tform[0, 11]",-0.975,0.798,-2.486,0.505,0.025,0.02,1040.0,755.0,1.01
"eps_tform[0, 12]",-2.225,0.86,-3.792,-0.687,0.031,0.025,760.0,635.0,1.01
"eps_tform[0, 13]",-1.49,0.865,-3.24,0.074,0.025,0.018,1251.0,604.0,1.01
"eps_tform[0, 14]",-0.513,0.948,-2.296,1.237,0.025,0.029,1381.0,740.0,1.01
"eps_tform[0, 15]",-0.891,0.922,-2.507,0.841,0.023,0.021,1616.0,809.0,1.0
"eps_tform[0, 16]",-0.013,0.852,-1.428,1.75,0.028,0.024,908.0,842.0,1.0
"eps_tform[0, 17]",-0.053,0.838,-1.558,1.415,0.026,0.022,1074.0,824.0,1.0
"eps_tform[0, 18]",0.33,0.896,-1.613,1.857,0.029,0.029,971.0,589.0,1.01
"eps_tform[0, 19]",1.689,0.65,0.441,2.863,0.02,0.014,1108.0,864.0,1.0
"eps_tform[0, 20]",-0.064,0.612,-1.143,1.153,0.021,0.016,861.0,596.0,1.01
"eps_tform[0, 21]",0.714,0.536,-0.385,1.648,0.02,0.014,713.0,916.0,1.0
"eps_tform[0, 22]",1.593,0.497,0.678,2.49,0.02,0.014,643.0,366.0,1.01
"eps_tform[0, 23]",-0.0,0.993,-1.998,1.738,0.023,0.037,1892.0,706.0,1.0
"eps_tform[0, 24]",-0.413,0.636,-1.539,0.758,0.022,0.021,846.0,517.0,1.0
"eps_tform[0, 25]",-0.428,0.64,-1.576,0.833,0.026,0.019,589.0,784.0,1.01
"eps_tform[0, 26]",-0.115,0.951,-1.941,1.499,0.034,0.033,777.0,650.0,1.01
"eps_tform[0, 27]",-0.281,0.869,-1.934,1.245,0.023,0.025,1425.0,814.0,1.0
"eps_tform[0, 28]",1.849,0.805,0.37,3.348,0.023,0.018,1188.0,768.0,1.0
"eps_tform[0, 29]",-0.36,0.707,-1.772,0.857,0.018,0.018,1548.0,783.0,1.0
"eps_tform[0, 30]",0.041,0.754,-1.36,1.396,0.025,0.021,912.0,701.0,1.0
"eps_tform[0, 31]",0.486,0.589,-0.665,1.511,0.019,0.015,944.0,842.0,1.01
"eps_tform[0, 32]",0.031,0.971,-1.944,1.803,0.026,0.031,1378.0,784.0,1.0
"eps_tform[0, 33]",1.262,0.737,-0.046,2.738,0.019,0.014,1527.0,841.0,1.0
"eps_tform[0, 34]",0.743,0.902,-0.916,2.382,0.023,0.023,1511.0,760.0,1.0
"eps_tform[0, 35]",-0.284,0.89,-1.998,1.274,0.022,0.025,1641.0,913.0,1.0
"eps_tform[0, 36]",0.137,0.973,-1.588,2.16,0.026,0.031,1366.0,587.0,1.0
"eps_tform[0, 37]",-0.311,0.949,-2.284,1.288,0.025,0.027,1445.0,812.0,1.0
"eps_tform[0, 38]",0.409,0.933,-1.304,2.01,0.024,0.026,1474.0,735.0,1.0
"eps_tform[0, 39]",-0.111,0.919,-1.728,1.688,0.021,0.027,2021.0,977.0,1.0
"eps_tform[0, 40]",0.329,1.014,-1.47,2.277,0.027,0.034,1392.0,665.0,1.0
"eps_tform[0, 41]",0.253,0.983,-1.548,2.162,0.024,0.03,1777.0,731.0,1.0
"eps_tform[0, 42]",-0.242,1.016,-2.245,1.598,0.022,0.031,2308.0,832.0,1.01
"eps_tform[0, 43]",-0.034,0.947,-1.731,1.88,0.025,0.031,1383.0,684.0,1.0
"eps_tform[0, 44]",-0.039,0.99,-2.027,1.684,0.026,0.032,1437.0,808.0,1.0
"eps_tform[0, 45]",-0.173,1.023,-1.96,1.897,0.023,0.032,1984.0,889.0,1.02
"eps_tform[0, 46]",0.072,0.957,-1.765,1.786,0.018,0.041,2887.0,728.0,1.01
"eps_tform[0, 47]",0.094,1.031,-1.848,2.015,0.023,0.033,1926.0,652.0,1.0
"eps_tform[0, 48]",-0.478,0.919,-2.228,1.195,0.025,0.028,1304.0,642.0,1.0
"eps_tform[0, 49]",1.258,0.891,-0.222,3.025,0.027,0.02,1086.0,752.0,1.0
"eps_tform[0, 50]",-0.023,1.046,-2.029,1.908,0.025,0.037,1797.0,785.0,1.01
"eps_tform[0, 51]",0.032,1.03,-1.852,1.982,0.02,0.04,2732.0,791.0,1.0
"eps_tform[0, 52]",-0.006,0.96,-1.751,1.794,0.021,0.03,2039.0,811.0,1.0
"eps_tform[0, 53]",0.003,0.979,-1.788,1.799,0.019,0.036,2702.0,616.0,1.0
theta[0],0.714,0.284,0.203,1.238,0.013,0.01,478.0,606.0,1.01
tmax[0],0.043,0.35,-0.683,0.647,0.017,0.012,438.0,527.0,1.0
peak_MJD[0],53852.284,0.358,53851.54,53852.903,0.018,0.012,438.0,527.0,1.0
mu[0],35.482,0.205,35.05,35.828,0.012,0.009,284.0,432.0,1.02
delM[0],-0.002,0.098,-0.181,0.186,0.003,0.002,988.0,831.0,1.0
