,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.11,0.056,0.012,0.213,0.003,0.002,457.0,288.0,1.01
Ds[0],34.642,0.061,34.529,34.756,0.003,0.002,522.0,573.0,1.01
RV[0],4.021,1.311,1.826,5.997,0.037,0.027,1094.0,508.0,1.01
"eps[0, 0]",-0.07,0.077,-0.209,0.078,0.002,0.002,1005.0,870.0,1.0
"eps[1, 0]",-0.155,0.182,-0.491,0.2,0.005,0.005,1385.0,692.0,1.0
"eps[2, 0]",-0.027,0.116,-0.229,0.205,0.003,0.004,1270.0,838.0,1.0
"eps[3, 0]",0.043,0.206,-0.329,0.422,0.005,0.006,1534.0,883.0,1.0
"eps[4, 0]",0.014,0.197,-0.382,0.339,0.006,0.006,1091.0,809.0,1.0
"eps[5, 0]",-0.052,0.204,-0.418,0.332,0.005,0.006,1699.0,735.0,1.0
"eps[6, 0]",0.063,0.177,-0.263,0.376,0.004,0.006,1672.0,802.0,1.01
"eps[7, 0]",0.095,0.154,-0.21,0.388,0.004,0.004,1647.0,677.0,1.0
"eps[8, 0]",-0.053,0.142,-0.341,0.203,0.004,0.004,1336.0,896.0,1.0
"eps[9, 0]",0.017,0.028,-0.034,0.072,0.001,0.001,651.0,788.0,1.0
"eps[10, 0]",-0.003,0.039,-0.07,0.073,0.001,0.001,1183.0,898.0,1.0
"eps[11, 0]",-0.022,0.032,-0.078,0.04,0.001,0.001,1096.0,947.0,1.0
"eps[12, 0]",-0.01,0.037,-0.077,0.061,0.001,0.001,826.0,666.0,1.01
"eps[13, 0]",0.047,0.051,-0.047,0.142,0.002,0.001,1097.0,753.0,1.0
"eps[14, 0]",0.01,0.148,-0.255,0.3,0.003,0.006,2050.0,565.0,1.0
"eps[15, 0]",-0.052,0.089,-0.216,0.117,0.002,0.002,1922.0,898.0,1.0
"eps[16, 0]",-0.075,0.07,-0.215,0.05,0.002,0.002,938.0,808.0,1.0
"eps[17, 0]",0.07,0.065,-0.057,0.182,0.002,0.002,1246.0,789.0,1.01
"eps[18, 0]",-0.033,0.038,-0.109,0.035,0.001,0.001,734.0,712.0,1.0
"eps[19, 0]",0.054,0.041,-0.017,0.138,0.001,0.001,1046.0,810.0,1.0
"eps[20, 0]",0.014,0.037,-0.053,0.084,0.001,0.001,1097.0,859.0,1.0
"eps[21, 0]",0.035,0.026,-0.013,0.084,0.001,0.001,1054.0,821.0,1.0
"eps[22, 0]",0.114,0.033,0.055,0.18,0.001,0.001,766.0,802.0,1.0
"eps[23, 0]",0.028,0.127,-0.207,0.254,0.003,0.004,1920.0,754.0,1.0
"eps[24, 0]",0.086,0.129,-0.142,0.329,0.003,0.003,1876.0,829.0,1.01
"eps[25, 0]",-0.087,0.123,-0.31,0.15,0.003,0.004,1230.0,860.0,1.01
"eps[26, 0]",0.106,0.108,-0.097,0.308,0.003,0.003,1102.0,805.0,1.0
"eps[27, 0]",0.002,0.036,-0.066,0.066,0.001,0.001,729.0,829.0,1.0
"eps[28, 0]",-0.023,0.053,-0.12,0.079,0.002,0.001,791.0,797.0,1.01
"eps[29, 0]",-0.0,0.026,-0.048,0.044,0.001,0.001,943.0,942.0,1.0
"eps[30, 0]",0.066,0.046,-0.014,0.155,0.001,0.001,1179.0,828.0,1.01
"eps[31, 0]",-0.035,0.049,-0.135,0.051,0.002,0.001,626.0,758.0,1.0
"eps[32, 0]",0.093,0.142,-0.176,0.345,0.004,0.003,1105.0,779.0,1.0
"eps[33, 0]",-0.146,0.083,-0.293,0.012,0.003,0.002,702.0,661.0,1.01
"eps[34, 0]",-0.111,0.068,-0.233,0.02,0.003,0.002,728.0,771.0,1.0
"eps[35, 0]",-0.01,0.061,-0.125,0.096,0.002,0.001,842.0,693.0,1.0
"eps[36, 0]",0.033,0.038,-0.046,0.1,0.001,0.001,788.0,655.0,1.0
"eps[37, 0]",0.014,0.047,-0.07,0.107,0.002,0.002,860.0,743.0,1.01
"eps[38, 0]",0.013,0.035,-0.05,0.078,0.001,0.001,855.0,724.0,1.0
"eps[39, 0]",-0.11,0.04,-0.175,-0.03,0.001,0.001,783.0,675.0,1.01
"eps[40, 0]",0.076,0.031,0.017,0.129,0.001,0.001,763.0,556.0,1.01
"eps[41, 0]",-0.016,0.111,-0.218,0.18,0.003,0.004,1092.0,497.0,1.0
"eps[42, 0]",-0.01,0.103,-0.199,0.19,0.002,0.004,1911.0,675.0,1.02
"eps[43, 0]",-0.096,0.086,-0.247,0.073,0.003,0.002,905.0,756.0,1.0
"eps[44, 0]",0.008,0.063,-0.11,0.125,0.002,0.002,1573.0,913.0,1.01
"eps[45, 0]",-0.028,0.048,-0.118,0.06,0.001,0.001,2564.0,755.0,1.01
"eps[46, 0]",-0.036,0.07,-0.169,0.095,0.002,0.002,1064.0,861.0,1.0
"eps[47, 0]",-0.02,0.027,-0.074,0.024,0.001,0.001,1385.0,935.0,1.0
"eps[48, 0]",0.014,0.045,-0.066,0.1,0.002,0.001,745.0,800.0,1.0
"eps[49, 0]",-0.002,0.044,-0.07,0.092,0.001,0.001,1060.0,898.0,1.0
"eps[50, 0]",0.017,0.105,-0.18,0.208,0.003,0.003,1680.0,822.0,1.01
"eps[51, 0]",0.141,0.082,-0.012,0.281,0.002,0.002,1505.0,814.0,1.0
"eps[52, 0]",0.008,0.085,-0.157,0.161,0.002,0.003,1495.0,820.0,1.01
"eps[53, 0]",0.017,0.067,-0.115,0.137,0.002,0.002,1291.0,869.0,1.0
"eps_tform[0, 0]",-0.756,0.841,-2.273,0.846,0.026,0.02,1005.0,870.0,1.0
"eps_tform[0, 1]",-0.619,0.856,-2.192,1.002,0.023,0.024,1434.0,734.0,1.0
"eps_tform[0, 2]",0.001,0.909,-1.514,1.798,0.027,0.027,1168.0,805.0,1.0
"eps_tform[0, 3]",0.535,0.934,-1.311,2.269,0.024,0.024,1546.0,786.0,1.0
"eps_tform[0, 4]",0.062,0.829,-1.424,1.607,0.025,0.023,1129.0,850.0,1.0
"eps_tform[0, 5]",-0.275,0.925,-2.153,1.225,0.022,0.028,1775.0,660.0,1.0
"eps_tform[0, 6]",0.349,0.953,-1.415,2.042,0.023,0.03,1710.0,812.0,1.01
"eps_tform[0, 7]",0.604,0.933,-1.456,2.15,0.022,0.025,1754.0,554.0,1.0
"eps_tform[0, 8]",-0.404,0.944,-2.335,1.312,0.026,0.025,1310.0,843.0,1.0
"eps_tform[0, 9]",0.341,0.582,-0.694,1.46,0.023,0.017,654.0,733.0,1.0
"eps_tform[0, 10]",-0.052,0.697,-1.352,1.242,0.02,0.019,1181.0,838.0,1.0
"eps_tform[0, 11]",-0.415,0.58,-1.424,0.714,0.019,0.013,959.0,804.0,1.0
"eps_tform[0, 12]",-0.023,0.815,-1.592,1.522,0.027,0.023,856.0,729.0,1.01
"eps_tform[0, 13]",0.8,0.79,-0.594,2.351,0.023,0.017,1161.0,685.0,1.0
"eps_tform[0, 14]",-0.013,0.983,-1.535,2.154,0.021,0.038,2140.0,542.0,1.0
"eps_tform[0, 15]",-0.609,0.921,-2.406,1.032,0.021,0.024,1886.0,863.0,1.0
