,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.115,0.059,0.012,0.225,0.002,0.002,581.0,654.0,1.0
Ds[0],34.64,0.062,34.515,34.749,0.003,0.002,586.0,722.0,1.0
RV[0],4.078,1.297,1.842,5.996,0.034,0.024,1338.0,718.0,1.0
"eps[0, 0]",-0.07,0.075,-0.217,0.07,0.002,0.002,998.0,775.0,1.0
"eps[1, 0]",-0.157,0.181,-0.485,0.179,0.006,0.005,1015.0,779.0,1.01
"eps[2, 0]",-0.027,0.111,-0.227,0.193,0.003,0.003,1027.0,655.0,1.0
"eps[3, 0]",0.042,0.206,-0.347,0.42,0.006,0.006,1390.0,733.0,1.01
"eps[4, 0]",0.018,0.195,-0.357,0.385,0.006,0.006,1060.0,743.0,1.0
"eps[5, 0]",-0.048,0.198,-0.417,0.298,0.005,0.006,1578.0,813.0,1.01
"eps[6, 0]",0.065,0.177,-0.24,0.408,0.005,0.005,1465.0,785.0,1.01
"eps[7, 0]",0.092,0.155,-0.223,0.362,0.004,0.004,1775.0,781.0,1.0
"eps[8, 0]",-0.061,0.136,-0.318,0.193,0.004,0.004,1140.0,670.0,1.0
"eps[9, 0]",0.017,0.028,-0.036,0.068,0.001,0.001,641.0,719.0,1.0
"eps[10, 0]",-0.002,0.039,-0.073,0.07,0.001,0.001,1057.0,928.0,1.0
"eps[11, 0]",-0.023,0.033,-0.081,0.037,0.001,0.001,833.0,880.0,1.0
"eps[12, 0]",-0.009,0.037,-0.076,0.063,0.001,0.001,829.0,776.0,1.01
"eps[13, 0]",0.05,0.052,-0.048,0.141,0.002,0.001,1001.0,877.0,1.0
"eps[14, 0]",0.008,0.145,-0.277,0.265,0.003,0.005,1875.0,867.0,1.0
"eps[15, 0]",-0.053,0.094,-0.247,0.103,0.003,0.003,1316.0,808.0,1.01
"eps[16, 0]",-0.071,0.068,-0.193,0.066,0.002,0.001,1040.0,736.0,1.0
"eps[17, 0]",0.068,0.065,-0.055,0.194,0.002,0.002,1023.0,762.0,1.0
"eps[18, 0]",-0.034,0.036,-0.103,0.028,0.002,0.001,566.0,607.0,1.01
"eps[19, 0]",0.052,0.042,-0.029,0.131,0.002,0.001,758.0,653.0,1.0
"eps[20, 0]",0.015,0.038,-0.054,0.087,0.001,0.001,846.0,989.0,1.0
"eps[21, 0]",0.034,0.026,-0.014,0.081,0.001,0.001,805.0,625.0,1.0
"eps[22, 0]",0.117,0.034,0.052,0.177,0.001,0.001,750.0,774.0,1.0
"eps[23, 0]",0.03,0.127,-0.2,0.263,0.004,0.005,1209.0,615.0,1.0
"eps[24, 0]",0.084,0.133,-0.161,0.322,0.003,0.003,1570.0,808.0,1.01
"eps[25, 0]",-0.092,0.117,-0.304,0.113,0.004,0.003,966.0,694.0,1.0
"eps[26, 0]",0.104,0.11,-0.097,0.303,0.003,0.003,1649.0,867.0,1.01
"eps[27, 0]",0.001,0.036,-0.069,0.064,0.001,0.001,591.0,751.0,1.01
"eps[28, 0]",-0.025,0.052,-0.117,0.069,0.002,0.001,671.0,714.0,1.0
"eps[29, 0]",-0.002,0.025,-0.046,0.048,0.001,0.001,701.0,877.0,1.0
"eps[30, 0]",0.067,0.045,-0.021,0.152,0.001,0.001,968.0,738.0,1.0
"eps[31, 0]",-0.033,0.05,-0.124,0.058,0.002,0.002,527.0,416.0,1.01
"eps[32, 0]",0.101,0.144,-0.161,0.372,0.004,0.004,1213.0,845.0,1.0
"eps[33, 0]",-0.139,0.082,-0.281,0.023,0.003,0.002,631.0,752.0,1.0
"eps[34, 0]",-0.108,0.068,-0.243,0.015,0.002,0.002,792.0,922.0,1.0
"eps[35, 0]",-0.011,0.061,-0.136,0.092,0.002,0.002,984.0,729.0,1.0
"eps[36, 0]",0.031,0.038,-0.038,0.102,0.001,0.001,717.0,741.0,1.0
"eps[37, 0]",0.012,0.046,-0.072,0.098,0.002,0.001,835.0,874.0,1.0
"eps[38, 0]",0.01,0.035,-0.05,0.08,0.001,0.001,750.0,804.0,1.0
"eps[39, 0]",-0.11,0.037,-0.177,-0.04,0.001,0.001,648.0,638.0,1.01
"eps[40, 0]",0.076,0.031,0.022,0.138,0.001,0.001,827.0,806.0,1.0
"eps[41, 0]",-0.011,0.114,-0.211,0.206,0.003,0.004,1142.0,603.0,1.01
"eps[42, 0]",-0.015,0.098,-0.201,0.162,0.003,0.003,1332.0,616.0,1.01
"eps[43, 0]",-0.097,0.089,-0.264,0.077,0.003,0.002,1171.0,748.0,1.0
"eps[44, 0]",0.009,0.062,-0.104,0.125,0.002,0.002,1430.0,930.0,1.0
"eps[45, 0]",-0.026,0.05,-0.122,0.065,0.001,0.001,1772.0,756.0,1.0
"eps[46, 0]",-0.04,0.073,-0.176,0.096,0.002,0.002,1000.0,705.0,1.0
"eps[47, 0]",-0.019,0.028,-0.068,0.033,0.001,0.001,1255.0,799.0,1.01
"eps[48, 0]",0.013,0.044,-0.066,0.094,0.002,0.001,778.0,867.0,1.01
"eps[49, 0]",0.0,0.045,-0.083,0.083,0.001,0.001,1049.0,816.0,1.0
"eps[50, 0]",0.015,0.108,-0.171,0.232,0.003,0.004,1322.0,778.0,1.01
"eps[51, 0]",0.138,0.081,-0.022,0.28,0.002,0.002,1475.0,894.0,1.0
"eps[52, 0]",0.007,0.08,-0.155,0.146,0.002,0.002,1509.0,842.0,1.0
"eps[53, 0]",0.019,0.069,-0.111,0.148,0.002,0.002,1023.0,641.0,1.01
"eps_tform[0, 0]",-0.762,0.819,-2.361,0.76,0.026,0.02,998.0,775.0,1.0
"eps_tform[0, 1]",-0.63,0.844,-2.175,0.95,0.026,0.022,1081.0,771.0,1.01
