,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.42,0.043,0.339,0.502,0.002,0.002,381.0,462.0,1.01
Ds[0],34.712,0.042,34.643,34.795,0.002,0.002,369.0,517.0,1.01
RV[0],2.038,0.406,1.307,2.818,0.02,0.015,396.0,419.0,1.0
"eps[0, 0]",0.005,0.044,-0.089,0.077,0.002,0.002,667.0,466.0,1.0
"eps[1, 0]",-0.028,0.062,-0.144,0.086,0.002,0.002,1056.0,848.0,1.0
"eps[2, 0]",-0.108,0.051,-0.199,-0.005,0.002,0.001,710.0,694.0,1.0
"eps[3, 0]",0.028,0.041,-0.047,0.102,0.002,0.001,750.0,774.0,1.0
"eps[4, 0]",-0.055,0.041,-0.131,0.021,0.002,0.001,597.0,686.0,1.0
"eps[5, 0]",-0.105,0.178,-0.44,0.22,0.006,0.005,870.0,719.0,1.0
"eps[6, 0]",0.102,0.076,-0.04,0.236,0.003,0.002,840.0,742.0,1.0
"eps[7, 0]",-0.009,0.053,-0.103,0.091,0.002,0.001,682.0,835.0,1.0
"eps[8, 0]",-0.097,0.062,-0.209,0.022,0.002,0.002,648.0,689.0,1.0
"eps[9, 0]",0.018,0.035,-0.053,0.079,0.001,0.001,610.0,667.0,1.01
"eps[10, 0]",0.062,0.025,0.017,0.109,0.001,0.001,840.0,597.0,1.0
"eps[11, 0]",-0.015,0.021,-0.054,0.025,0.001,0.001,782.0,713.0,1.0
"eps[12, 0]",0.053,0.025,0.005,0.097,0.001,0.001,428.0,491.0,1.0
"eps[13, 0]",-0.045,0.021,-0.085,-0.006,0.001,0.001,494.0,461.0,1.01
"eps[14, 0]",-0.048,0.125,-0.269,0.188,0.004,0.004,880.0,684.0,1.0
"eps[15, 0]",-0.001,0.053,-0.1,0.095,0.002,0.001,913.0,836.0,1.0
"eps[16, 0]",0.051,0.037,-0.011,0.126,0.002,0.001,438.0,597.0,1.0
"eps[17, 0]",-0.016,0.037,-0.089,0.048,0.002,0.001,568.0,727.0,1.0
"eps[18, 0]",0.036,0.031,-0.023,0.092,0.001,0.001,556.0,683.0,1.01
"eps[19, 0]",0.111,0.025,0.063,0.156,0.001,0.001,1057.0,915.0,1.0
"eps[20, 0]",-0.07,0.022,-0.11,-0.026,0.001,0.001,565.0,584.0,1.0
"eps[21, 0]",0.0,0.025,-0.045,0.047,0.001,0.001,457.0,475.0,1.0
"eps[22, 0]",-0.107,0.02,-0.143,-0.069,0.001,0.001,480.0,679.0,1.0
"eps[23, 0]",-0.059,0.117,-0.265,0.174,0.003,0.003,1115.0,897.0,1.0
"eps[24, 0]",-0.132,0.057,-0.239,-0.023,0.002,0.002,683.0,809.0,1.0
"eps[25, 0]",-0.103,0.038,-0.174,-0.037,0.001,0.001,743.0,852.0,1.0
"eps[26, 0]",0.094,0.044,0.012,0.175,0.002,0.001,504.0,550.0,1.0
"eps[27, 0]",0.004,0.038,-0.065,0.077,0.002,0.001,619.0,800.0,1.0
"eps[28, 0]",0.089,0.037,0.018,0.156,0.001,0.001,774.0,830.0,1.0
"eps[29, 0]",-0.013,0.021,-0.053,0.027,0.001,0.001,839.0,824.0,1.0
"eps[30, 0]",0.012,0.025,-0.036,0.058,0.001,0.001,401.0,526.0,1.0
"eps[31, 0]",-0.124,0.027,-0.174,-0.073,0.001,0.001,598.0,686.0,1.0
"eps[32, 0]",0.097,0.128,-0.16,0.312,0.004,0.003,1019.0,804.0,1.0
"eps[33, 0]",-0.348,0.06,-0.452,-0.224,0.003,0.002,522.0,543.0,1.01
"eps[34, 0]",0.005,0.057,-0.105,0.107,0.002,0.002,701.0,695.0,1.0
"eps[35, 0]",0.135,0.045,0.057,0.222,0.002,0.001,620.0,883.0,1.01
"eps[36, 0]",-0.085,0.033,-0.146,-0.02,0.001,0.001,579.0,527.0,1.01
"eps[37, 0]",0.143,0.027,0.098,0.195,0.001,0.001,678.0,830.0,1.0
"eps[38, 0]",-0.062,0.022,-0.102,-0.023,0.001,0.001,494.0,743.0,1.01
