,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.326,0.065,0.216,0.439,0.003,0.002,386.0,468.0,1.0
Ds[0],34.796,0.063,34.677,34.906,0.003,0.002,359.0,513.0,1.0
RV[0],1.57,0.463,1.004,2.437,0.024,0.017,375.0,578.0,1.0
"eps[0, 0]",0.016,0.043,-0.065,0.097,0.002,0.001,523.0,564.0,1.01
"eps[1, 0]",-0.018,0.056,-0.12,0.093,0.002,0.002,625.0,816.0,1.0
"eps[2, 0]",-0.112,0.05,-0.199,-0.018,0.002,0.002,535.0,577.0,1.01
"eps[3, 0]",-0.006,0.036,-0.075,0.061,0.001,0.001,615.0,619.0,1.0
"eps[4, 0]",-0.06,0.042,-0.141,0.014,0.002,0.002,393.0,468.0,1.01
"eps[5, 0]",-0.119,0.177,-0.445,0.223,0.007,0.005,616.0,789.0,1.0
"eps[6, 0]",0.149,0.075,0.007,0.281,0.003,0.002,562.0,805.0,1.0
"eps[7, 0]",0.006,0.051,-0.099,0.092,0.002,0.001,805.0,793.0,1.0
"eps[8, 0]",-0.093,0.061,-0.206,0.023,0.002,0.002,636.0,802.0,1.0
"eps[9, 0]",0.034,0.03,-0.025,0.086,0.001,0.001,440.0,571.0,1.0
"eps[10, 0]",0.071,0.025,0.025,0.116,0.001,0.001,678.0,786.0,1.0
"eps[11, 0]",-0.015,0.022,-0.053,0.023,0.001,0.001,529.0,599.0,1.0
"eps[12, 0]",0.023,0.019,-0.008,0.063,0.001,0.001,440.0,664.0,1.01
"eps[13, 0]",-0.042,0.021,-0.081,-0.004,0.001,0.001,436.0,671.0,1.0
"eps[14, 0]",0.014,0.124,-0.229,0.238,0.004,0.004,812.0,860.0,1.01
"eps[15, 0]",0.018,0.053,-0.077,0.116,0.002,0.001,700.0,640.0,1.0
"eps[16, 0]",0.078,0.03,0.023,0.133,0.001,0.001,468.0,705.0,1.0
"eps[17, 0]",-0.023,0.037,-0.085,0.05,0.002,0.001,513.0,692.0,1.0
"eps[18, 0]",0.049,0.027,-0.004,0.099,0.001,0.001,434.0,521.0,1.01
"eps[19, 0]",0.119,0.025,0.071,0.164,0.001,0.001,699.0,756.0,1.01
"eps[20, 0]",-0.069,0.021,-0.114,-0.033,0.001,0.001,512.0,509.0,1.0
"eps[21, 0]",-0.032,0.018,-0.069,-0.003,0.001,0.001,580.0,858.0,1.0
"eps[22, 0]",-0.108,0.02,-0.145,-0.071,0.001,0.001,343.0,454.0,1.0
"eps[23, 0]",-0.059,0.12,-0.274,0.17,0.004,0.004,834.0,656.0,1.0
"eps[24, 0]",-0.088,0.055,-0.192,0.014,0.002,0.002,624.0,690.0,1.01
"eps[25, 0]",-0.084,0.037,-0.15,-0.01,0.001,0.001,673.0,754.0,1.0
"eps[26, 0]",0.097,0.042,0.011,0.165,0.002,0.001,424.0,717.0,1.0
"eps[27, 0]",0.014,0.036,-0.058,0.077,0.002,0.001,499.0,625.0,1.0
"eps[28, 0]",0.095,0.036,0.026,0.159,0.001,0.001,636.0,605.0,1.0
"eps[29, 0]",-0.015,0.021,-0.055,0.022,0.001,0.001,837.0,809.0,1.0
"eps[30, 0]",-0.021,0.018,-0.054,0.013,0.001,0.001,418.0,515.0,1.01
"eps[31, 0]",-0.125,0.028,-0.183,-0.079,0.001,0.001,402.0,670.0,1.0
"eps[32, 0]",0.078,0.126,-0.145,0.31,0.004,0.003,877.0,730.0,1.01
"eps[33, 0]",-0.298,0.054,-0.394,-0.196,0.002,0.002,640.0,825.0,1.0
"eps[34, 0]",0.025,0.058,-0.08,0.131,0.002,0.002,605.0,763.0,1.01
"eps[35, 0]",0.137,0.042,0.059,0.213,0.002,0.001,532.0,797.0,1.0
"eps[36, 0]",-0.072,0.029,-0.124,-0.019,0.001,0.001,444.0,664.0,1.0
"eps[37, 0]",0.148,0.027,0.097,0.195,0.001,0.001,634.0,689.0,1.0
"eps[38, 0]",-0.066,0.02,-0.107,-0.031,0.001,0.001,494.0,647.0,1.01
"eps[39, 0]",0.049,0.024,0.002,0.094,0.001,0.001,495.0,547.0,1.01
"eps[40, 0]",-0.073,0.022,-0.113,-0.031,0.001,0.001,380.0,617.0,1.01
"eps[41, 0]",-0.014,0.106,-0.197,0.202,0.003,0.003,1058.0,640.0,1.0
"eps[42, 0]",0.171,0.047,0.088,0.261,0.002,0.001,677.0,822.0,1.0
"eps[43, 0]",0.137,0.039,0.071,0.208,0.001,0.001,688.0,850.0,1.01
"eps[44, 0]",0.068,0.038,0.002,0.147,0.001,0.001,668.0,749.0,1.0
"eps[45, 0]",-0.002,0.04,-0.074,0.071,0.001,0.001,1129.0,664.0,1.0
"eps[46, 0]",0.012,0.054,-0.088,0.115,0.002,0.001,984.0,782.0,1.0
"eps[47, 0]",-0.002,0.023,-0.04,0.046,0.001,0.001,1144.0,556.0,1.01
"eps[48, 0]",-0.136,0.027,-0.186,-0.086,0.001,0.001,609.0,704.0,1.0
"eps[49, 0]",-0.068,0.028,-0.125,-0.019,0.001,0.001,762.0,610.0,1.0
"eps[50, 0]",-0.136,0.087,-0.297,0.027,0.003,0.002,925.0,757.0,1.0
"eps[51, 0]",-0.141,0.055,-0.243,-0.046,0.002,0.001,704.0,687.0,1.0
"eps[52, 0]",-0.153,0.051,-0.242,-0.049,0.002,0.001,1089.0,896.0,1.0
"eps[53, 0]",-0.044,0.039,-0.116,0.027,0.001,0.001,1385.0,866.0,1.0
"eps_tform[0, 0]",0.172,0.468,-0.712,1.055,0.021,0.015,523.0,564.0,1.01
"eps_tform[0, 1]",-0.108,0.259,-0.593,0.368,0.01,0.007,670.0,667.0,1.0
"eps_tform[0, 2]",-0.993,0.291,-1.575,-0.514,0.013,0.009,523.0,538.0,1.0
"eps_tform[0, 3]",0.192,0.12,-0.037,0.401,0.004,0.003,982.0,758.0,1.0
"eps_tform[0, 4]",0.128,0.149,-0.146,0.413,0.007,0.005,463.0,668.0,1.01
"eps_tform[0, 5]",-0.476,0.83,-2.015,1.098,0.033,0.024,620.0,817.0,1.0
"eps_tform[0, 6]",0.801,0.343,0.175,1.403,0.014,0.01,562.0,762.0,1.0
"eps_tform[0, 7]",-0.065,0.314,-0.626,0.571,0.01,0.008,930.0,863.0,1.0
"eps_tform[0, 8]",-0.784,0.386,-1.523,-0.096,0.015,0.01,709.0,836.0,1.0
"eps_tform[0, 9]",0.649,0.6,-0.538,1.656,0.029,0.02,441.0,517.0,1.0
"eps_tform[0, 10]",1.293,0.415,0.515,2.054,0.015,0.01,790.0,786.0,1.0
"eps_tform[0, 11]",-0.07,0.382,-0.731,0.678,0.019,0.014,382.0,463.0,1.01
"eps_tform[0, 12]",0.593,0.358,-0.054,1.285,0.017,0.013,424.0,602.0,1.0
"eps_tform[0, 13]",-0.857,0.311,-1.448,-0.304,0.016,0.011,397.0,616.0,1.01
"eps_tform[0, 14]",0.031,0.812,-1.282,1.786,0.028,0.025,823.0,829.0,1.01
"eps_tform[0, 15]",0.069,0.479,-0.866,0.953,0.02,0.014,592.0,593.0,1.0
"eps_tform[0, 16]",0.716,0.313,0.168,1.326,0.016,0.011,378.0,600.0,1.01
"eps_tform[0, 17]",-0.877,0.397,-1.591,-0.157,0.017,0.012,538.0,697.0,1.0
"eps_tform[0, 18]",0.771,0.431,-0.102,1.545,0.021,0.015,439.0,508.0,1.01
"eps_tform[0, 19]",1.147,0.3,0.574,1.663,0.01,0.007,881.0,807.0,1.0
"eps_tform[0, 20]",-0.387,0.389,-1.134,0.314,0.018,0.013,447.0,694.0,1.0
"eps_tform[0, 21]",-1.062,0.355,-1.699,-0.434,0.015,0.011,525.0,656.0,1.0
"eps_tform[0, 22]",-0.412,0.261,-0.927,0.056,0.014,0.01,332.0,486.0,1.01
"eps_tform[0, 23]",-0.569,0.891,-2.265,1.11,0.031,0.025,843.0,721.0,1.0
"eps_tform[0, 24]",-0.572,0.305,-1.112,0.023,0.017,0.012,337.0,527.0,1.01
"eps_tform[0, 25]",-0.296,0.296,-0.861,0.264,0.012,0.009,580.0,726.0,1.0
"eps_tform[0, 26]",0.909,0.299,0.357,1.479,0.013,0.009,566.0,735.0,1.0
"eps_tform[0, 27]",-0.67,0.45,-1.428,0.256,0.019,0.013,578.0,757.0,1.0
"eps_tform[0, 28]",0.582,0.404,-0.178,1.308,0.016,0.012,594.0,735.0,1.0
"eps_tform[0, 29]",0.674,0.371,-0.038,1.305,0.013,0.009,807.0,931.0,1.0
"eps_tform[0, 30]",-0.305,0.385,-1.015,0.413,0.017,0.013,486.0,494.0,1.01
"eps_tform[0, 31]",-0.255,0.34,-0.987,0.31,0.013,0.01,650.0,607.0,1.0
"eps_tform[0, 32]",0.481,0.884,-1.047,2.136,0.03,0.026,881.0,581.0,1.01
"eps_tform[0, 33]",-2.031,0.386,-2.798,-1.342,0.016,0.012,544.0,714.0,1.0
"eps_tform[0, 34]",0.495,0.439,-0.277,1.274,0.016,0.012,771.0,837.0,1.01
"eps_tform[0, 35]",1.44,0.506,0.493,2.337,0.017,0.012,903.0,936.0,1.0
"eps_tform[0, 36]",-0.777,0.366,-1.507,-0.173,0.017,0.012,464.0,620.0,1.0
"eps_tform[0, 37]",1.2,0.369,0.541,1.909,0.014,0.01,652.0,814.0,1.0
"eps_tform[0, 38]",-0.713,0.4,-1.412,0.022,0.017,0.012,530.0,626.0,1.01
"eps_tform[0, 39]",1.068,0.459,0.213,1.913,0.02,0.014,535.0,393.0,1.01
"eps_tform[0, 40]",-0.835,0.341,-1.467,-0.161,0.012,0.009,778.0,894.0,1.0
"eps_tform[0, 41]",-0.175,0.945,-1.878,1.697,0.024,0.032,1514.0,729.0,1.02
"eps_tform[0, 42]",1.304,0.397,0.521,2.011,0.015,0.01,723.0,739.0,1.0
"eps_tform[0, 43]",2.38,0.481,1.587,3.32,0.017,0.012,766.0,965.0,1.0
"eps_tform[0, 44]",-0.067,0.555,-1.086,0.982,0.019,0.014,885.0,837.0,1.0
"eps_tform[0, 45]",-0.527,0.848,-1.964,1.202,0.022,0.028,1517.0,649.0,1.0
"eps_tform[0, 46]",0.079,0.594,-0.963,1.254,0.019,0.016,968.0,702.0,1.0
"eps_tform[0, 47]",0.233,0.862,-1.232,2.018,0.025,0.027,1231.0,752.0,1.0
"eps_tform[0, 48]",-0.976,0.596,-2.109,0.052,0.024,0.018,649.0,590.0,1.01
"eps_tform[0, 49]",-0.592,0.555,-1.687,0.37,0.016,0.014,1116.0,883.0,1.0
"eps_tform[0, 50]",0.003,0.969,-1.869,1.667,0.024,0.029,1667.0,787.0,1.01
"eps_tform[0, 51]",-0.024,0.802,-1.439,1.455,0.025,0.024,1052.0,852.0,1.01
"eps_tform[0, 52]",0.113,0.816,-1.343,1.649,0.02,0.025,1598.0,755.0,1.0
"eps_tform[0, 53]",-0.188,0.939,-1.863,1.801,0.02,0.034,2160.0,748.0,1.0
theta[0],-0.836,0.095,-1.01,-0.664,0.004,0.003,476.0,687.0,1.0
tmax[0],-0.007,0.152,-0.275,0.28,0.007,0.005,455.0,556.0,1.01
peak_MJD[0],53994.334,0.155,53994.06,53994.628,0.007,0.005,455.0,556.0,1.01
mu[0],34.796,0.112,34.588,35.004,0.004,0.003,643.0,781.0,1.0
delM[0],0.0,0.094,-0.167,0.186,0.003,0.002,933.0,914.0,1.0
