,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],1.176,0.068,1.05,1.304,0.003,0.002,431.0,472.0,1.01
Ds[0],35.117,0.066,35.003,35.245,0.003,0.002,454.0,549.0,1.01
RV[0],3.616,0.461,2.774,4.493,0.022,0.016,462.0,576.0,1.01
"eps[0, 0]",0.132,0.079,-0.017,0.274,0.002,0.002,1249.0,748.0,1.0
"eps[1, 0]",0.283,0.151,-0.002,0.543,0.004,0.003,1228.0,991.0,1.0
"eps[2, 0]",0.09,0.115,-0.106,0.326,0.003,0.003,1277.0,822.0,1.0
"eps[3, 0]",0.484,0.126,0.268,0.726,0.004,0.003,1220.0,851.0,1.0
"eps[4, 0]",0.259,0.137,-0.001,0.511,0.004,0.003,1055.0,813.0,1.0
"eps[5, 0]",-0.054,0.207,-0.438,0.332,0.005,0.007,1651.0,665.0,1.0
"eps[6, 0]",0.041,0.18,-0.297,0.37,0.005,0.005,1580.0,832.0,1.01
"eps[7, 0]",0.199,0.149,-0.108,0.475,0.004,0.003,1629.0,620.0,1.01
"eps[8, 0]",0.185,0.141,-0.055,0.466,0.004,0.003,1365.0,612.0,1.0
"eps[9, 0]",-0.039,0.036,-0.11,0.023,0.001,0.001,807.0,620.0,1.0
"eps[10, 0]",0.045,0.03,-0.008,0.102,0.001,0.001,1237.0,800.0,1.0
"eps[11, 0]",-0.04,0.029,-0.094,0.014,0.001,0.001,1221.0,903.0,1.0
"eps[12, 0]",0.04,0.028,-0.005,0.099,0.001,0.001,658.0,814.0,1.01
"eps[13, 0]",-0.052,0.028,-0.103,-0.001,0.001,0.001,821.0,865.0,1.0
"eps[14, 0]",-0.222,0.14,-0.494,0.044,0.004,0.003,1241.0,673.0,1.01
"eps[15, 0]",-0.177,0.072,-0.313,-0.047,0.002,0.002,1105.0,565.0,1.0
"eps[16, 0]",-0.057,0.071,-0.204,0.066,0.002,0.002,946.0,925.0,1.01
"eps[17, 0]",0.004,0.064,-0.109,0.125,0.002,0.002,1514.0,910.0,1.0
"eps[18, 0]",-0.005,0.044,-0.085,0.078,0.001,0.001,978.0,682.0,1.0
"eps[19, 0]",0.039,0.042,-0.04,0.116,0.001,0.001,1187.0,822.0,1.0
"eps[20, 0]",-0.104,0.039,-0.173,-0.027,0.001,0.001,1044.0,734.0,1.0
"eps[21, 0]",-0.088,0.031,-0.144,-0.026,0.001,0.001,601.0,877.0,1.01
"eps[22, 0]",-0.16,0.03,-0.216,-0.103,0.001,0.001,1153.0,711.0,1.01
"eps[23, 0]",0.063,0.13,-0.188,0.286,0.004,0.004,1016.0,604.0,1.0
"eps[24, 0]",-0.144,0.075,-0.272,-0.001,0.003,0.002,656.0,584.0,1.0
"eps[25, 0]",-0.158,0.084,-0.309,0.002,0.003,0.002,841.0,692.0,1.0
"eps[26, 0]",0.205,0.084,0.055,0.353,0.003,0.002,848.0,855.0,1.0
"eps[27, 0]",0.132,0.066,0.02,0.267,0.002,0.002,883.0,736.0,1.0
"eps[28, 0]",0.171,0.077,0.026,0.318,0.002,0.002,958.0,730.0,1.0
"eps[29, 0]",0.014,0.046,-0.075,0.096,0.001,0.001,1308.0,757.0,1.0
"eps[30, 0]",-0.036,0.042,-0.127,0.028,0.001,0.001,1078.0,672.0,1.0
"eps[31, 0]",-0.092,0.059,-0.202,0.018,0.002,0.001,979.0,797.0,1.01
"eps[32, 0]",0.014,0.145,-0.255,0.28,0.004,0.004,1359.0,788.0,1.0
"eps[33, 0]",0.025,0.078,-0.123,0.164,0.003,0.002,722.0,723.0,1.0
"eps[34, 0]",-0.003,0.104,-0.193,0.188,0.003,0.003,1248.0,751.0,1.01
"eps[35, 0]",0.176,0.078,0.027,0.321,0.002,0.002,1323.0,827.0,1.0
"eps[36, 0]",-0.137,0.071,-0.258,0.02,0.002,0.002,1315.0,617.0,1.0
"eps[37, 0]",0.081,0.069,-0.052,0.203,0.002,0.002,992.0,782.0,1.0
"eps[38, 0]",-0.088,0.047,-0.174,0.01,0.001,0.001,1105.0,637.0,1.0
"eps[39, 0]",0.046,0.046,-0.037,0.13,0.002,0.001,738.0,800.0,1.0
"eps[40, 0]",0.057,0.039,-0.014,0.133,0.001,0.001,1072.0,833.0,1.0
"eps[41, 0]",0.052,0.106,-0.125,0.261,0.003,0.003,1114.0,615.0,1.0
"eps[42, 0]",0.159,0.062,0.049,0.281,0.002,0.001,1111.0,916.0,1.0
"eps[43, 0]",0.118,0.065,-0.004,0.234,0.002,0.001,1093.0,837.0,1.0
"eps[44, 0]",0.077,0.065,-0.046,0.193,0.002,0.002,1093.0,876.0,1.0
"eps[45, 0]",0.064,0.051,-0.036,0.152,0.001,0.001,1511.0,713.0,1.01
"eps[46, 0]",-0.031,0.082,-0.183,0.122,0.002,0.002,1195.0,683.0,1.0
"eps[47, 0]",-0.025,0.025,-0.074,0.02,0.001,0.001,1413.0,836.0,1.0
"eps[48, 0]",0.019,0.048,-0.074,0.107,0.002,0.001,950.0,732.0,1.0
"eps[49, 0]",0.014,0.043,-0.065,0.092,0.001,0.001,1355.0,1017.0,1.01
"eps[50, 0]",-0.036,0.106,-0.231,0.151,0.003,0.003,1321.0,641.0,1.01
"eps[51, 0]",-0.299,0.066,-0.43,-0.179,0.002,0.002,899.0,735.0,1.0
"eps[52, 0]",-0.202,0.088,-0.357,-0.028,0.002,0.002,1284.0,810.0,1.0
"eps[53, 0]",0.046,0.056,-0.059,0.152,0.002,0.002,1277.0,781.0,1.0
"eps_tform[0, 0]",1.431,0.863,-0.184,2.982,0.024,0.018,1249.0,748.0,1.0
"eps_tform[0, 1]",1.128,0.727,-0.304,2.349,0.02,0.015,1264.0,938.0,1.0
"eps_tform[0, 2]",0.31,0.874,-1.331,1.919,0.024,0.024,1303.0,688.0,1.0
"eps_tform[0, 3]",1.797,0.613,0.766,3.032,0.017,0.012,1399.0,864.0,1.01
"eps_tform[0, 4]",0.023,0.702,-1.294,1.299,0.019,0.022,1296.0,708.0,1.0
"eps_tform[0, 5]",-0.875,0.942,-2.602,0.94,0.022,0.024,1791.0,765.0,1.0
"eps_tform[0, 6]",0.079,0.976,-1.578,2.009,0.024,0.029,1715.0,894.0,1.01
"eps_tform[0, 7]",1.005,0.917,-0.854,2.728,0.022,0.02,1757.0,590.0,1.0
"eps_tform[0, 8]",0.891,0.94,-0.807,2.72,0.025,0.02,1449.0,758.0,1.0
"eps_tform[0, 9]",-0.962,0.678,-2.312,0.203,0.024,0.017,794.0,703.0,1.0
"eps_tform[0, 10]",0.427,0.521,-0.491,1.364,0.015,0.013,1167.0,707.0,1.0
"eps_tform[0, 11]",-0.222,0.539,-1.172,0.814,0.017,0.016,1035.0,864.0,1.0
"eps_tform[0, 12]",1.054,0.631,-0.169,2.149,0.024,0.017,698.0,943.0,1.01
"eps_tform[0, 13]",-0.595,0.476,-1.425,0.274,0.015,0.011,974.0,851.0,1.0
"eps_tform[0, 14]",-1.097,0.886,-2.702,0.645,0.025,0.02,1269.0,722.0,1.01
"eps_tform[0, 15]",-1.749,0.727,-3.044,-0.366,0.021,0.015,1173.0,628.0,1.01
"eps_tform[0, 16]",0.226,0.746,-1.251,1.533,0.022,0.021,1141.0,795.0,1.0
"eps_tform[0, 17]",0.468,0.777,-0.927,1.962,0.019,0.02,1742.0,864.0,1.0
"eps_tform[0, 18]",-0.226,0.718,-1.572,1.128,0.021,0.027,1139.0,668.0,1.0
"eps_tform[0, 19]",0.589,0.525,-0.365,1.625,0.015,0.014,1233.0,790.0,1.0
"eps_tform[0, 20]",-0.779,0.627,-2.012,0.301,0.018,0.014,1169.0,774.0,1.0
"eps_tform[0, 21]",-1.57,0.563,-2.588,-0.533,0.02,0.014,832.0,948.0,1.0
"eps_tform[0, 22]",-0.849,0.381,-1.567,-0.174,0.012,0.009,962.0,889.0,1.0
"eps_tform[0, 23]",-0.032,0.934,-1.687,1.838,0.029,0.031,1093.0,598.0,1.01
"eps_tform[0, 24]",0.409,0.509,-0.541,1.382,0.019,0.014,701.0,837.0,1.0
"eps_tform[0, 25]",-0.94,0.638,-2.14,0.241,0.02,0.017,1009.0,593.0,1.0
"eps_tform[0, 26]",1.234,0.659,0.064,2.482,0.017,0.013,1574.0,695.0,1.0
"eps_tform[0, 27]",1.492,0.859,-0.074,3.079,0.025,0.021,1152.0,713.0,1.0
"eps_tform[0, 28]",0.57,0.773,-0.855,2.065,0.023,0.019,1089.0,796.0,1.0
"eps_tform[0, 29]",0.787,0.894,-0.858,2.568,0.023,0.023,1546.0,570.0,1.0
"eps_tform[0, 30]",-1.129,0.788,-2.548,0.413,0.02,0.016,1569.0,942.0,1.0
"eps_tform[0, 31]",-0.099,0.699,-1.503,1.099,0.023,0.026,949.0,500.0,1.0
