,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],1.091,0.15,0.821,1.376,0.007,0.005,457.0,558.0,1.01
Ds[0],35.18,0.14,34.905,35.421,0.007,0.005,459.0,572.0,1.01
RV[0],2.872,0.596,1.731,3.967,0.028,0.02,450.0,647.0,1.01
"eps[0, 0]",0.124,0.077,-0.022,0.267,0.002,0.002,1191.0,793.0,1.01
"eps[1, 0]",0.258,0.153,-0.011,0.569,0.004,0.003,1327.0,732.0,1.01
"eps[2, 0]",0.107,0.109,-0.08,0.322,0.003,0.002,1214.0,853.0,1.0
"eps[3, 0]",0.472,0.128,0.246,0.709,0.004,0.003,1080.0,740.0,1.0
"eps[4, 0]",0.262,0.13,0.05,0.532,0.004,0.003,1285.0,804.0,1.0
"eps[5, 0]",-0.041,0.197,-0.383,0.34,0.006,0.006,1191.0,876.0,1.01
"eps[6, 0]",0.053,0.177,-0.301,0.365,0.004,0.005,1696.0,798.0,1.0
"eps[7, 0]",0.207,0.155,-0.129,0.467,0.003,0.003,1962.0,759.0,1.0
"eps[8, 0]",0.18,0.136,-0.045,0.466,0.004,0.003,1405.0,730.0,1.0
"eps[9, 0]",-0.059,0.035,-0.118,0.012,0.001,0.001,844.0,791.0,1.0
"eps[10, 0]",0.052,0.033,-0.008,0.116,0.001,0.001,2111.0,833.0,1.01
"eps[11, 0]",-0.032,0.029,-0.092,0.016,0.001,0.001,1195.0,866.0,1.0
"eps[12, 0]",0.048,0.024,0.003,0.09,0.001,0.001,949.0,868.0,1.0
"eps[13, 0]",-0.05,0.029,-0.103,0.003,0.001,0.001,829.0,825.0,1.01
"eps[14, 0]",-0.231,0.132,-0.487,-0.001,0.003,0.003,1442.0,756.0,1.0
"eps[15, 0]",-0.177,0.068,-0.303,-0.046,0.002,0.002,1224.0,668.0,1.0
"eps[16, 0]",-0.076,0.071,-0.214,0.057,0.002,0.002,1030.0,784.0,1.0
"eps[17, 0]",-0.005,0.065,-0.119,0.129,0.002,0.002,1126.0,835.0,1.0
"eps[18, 0]",-0.021,0.042,-0.102,0.054,0.001,0.001,983.0,867.0,1.0
"eps[19, 0]",0.045,0.042,-0.031,0.123,0.001,0.001,961.0,730.0,1.0
"eps[20, 0]",-0.092,0.037,-0.16,-0.022,0.001,0.001,1114.0,894.0,1.0
"eps[21, 0]",-0.079,0.027,-0.126,-0.026,0.001,0.001,677.0,753.0,1.0
"eps[22, 0]",-0.158,0.032,-0.212,-0.096,0.001,0.001,857.0,738.0,1.0
"eps[23, 0]",0.053,0.128,-0.178,0.302,0.004,0.003,1328.0,783.0,1.0
