,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.524,0.075,0.39,0.668,0.004,0.003,380.0,527.0,1.01
Ds[0],36.079,0.068,35.966,36.22,0.004,0.002,373.0,616.0,1.0
RV[0],3.961,0.977,2.587,5.991,0.053,0.038,324.0,287.0,1.01
"eps[0, 0]",-0.053,0.068,-0.166,0.083,0.003,0.002,690.0,866.0,1.0
"eps[1, 0]",-0.326,0.088,-0.5,-0.172,0.003,0.002,680.0,813.0,1.0
"eps[2, 0]",-0.322,0.087,-0.477,-0.149,0.003,0.002,630.0,795.0,1.0
"eps[3, 0]",0.37,0.109,0.177,0.59,0.004,0.003,635.0,730.0,1.0
"eps[4, 0]",-0.58,0.085,-0.743,-0.429,0.003,0.002,694.0,804.0,1.0
"eps[5, 0]",0.029,0.173,-0.307,0.334,0.007,0.005,682.0,756.0,1.01
"eps[6, 0]",0.092,0.089,-0.058,0.274,0.004,0.002,637.0,788.0,1.0
"eps[7, 0]",0.216,0.092,0.05,0.39,0.004,0.003,547.0,564.0,1.0
"eps[8, 0]",-0.088,0.09,-0.264,0.072,0.004,0.003,575.0,882.0,1.0
"eps[9, 0]",0.127,0.034,0.064,0.191,0.001,0.001,541.0,624.0,1.01
"eps[10, 0]",0.068,0.038,-0.005,0.134,0.001,0.001,782.0,758.0,1.0
"eps[11, 0]",0.078,0.038,0.007,0.147,0.001,0.001,855.0,826.0,1.0
"eps[12, 0]",0.021,0.038,-0.058,0.084,0.001,0.001,727.0,594.0,1.01
"eps[13, 0]",-0.043,0.049,-0.138,0.04,0.001,0.001,1407.0,808.0,1.0
"eps[14, 0]",-0.005,0.138,-0.264,0.233,0.004,0.004,1229.0,734.0,1.0
"eps[15, 0]",0.076,0.085,-0.079,0.223,0.002,0.002,1931.0,896.0,1.0
"eps[16, 0]",0.028,0.088,-0.13,0.197,0.002,0.002,1509.0,782.0,1.0
"eps[17, 0]",0.125,0.076,-0.03,0.263,0.002,0.001,1801.0,915.0,1.0
"eps[18, 0]",-0.043,0.037,-0.109,0.026,0.002,0.001,592.0,683.0,1.01
"eps[19, 0]",0.123,0.041,0.042,0.192,0.001,0.001,1030.0,804.0,1.0
"eps[20, 0]",-0.141,0.043,-0.218,-0.062,0.002,0.001,721.0,780.0,1.0
"eps[21, 0]",0.093,0.04,0.017,0.165,0.002,0.001,635.0,727.0,1.0
"eps[22, 0]",-0.238,0.054,-0.331,-0.129,0.002,0.001,910.0,910.0,1.0
"eps[23, 0]",0.032,0.118,-0.196,0.245,0.004,0.004,1123.0,839.0,1.0
"eps[24, 0]",0.156,0.097,-0.019,0.338,0.003,0.003,788.0,802.0,1.0
"eps[25, 0]",0.061,0.087,-0.095,0.225,0.003,0.002,929.0,839.0,1.0
"eps[26, 0]",0.247,0.082,0.115,0.42,0.003,0.002,740.0,693.0,1.0
"eps[27, 0]",0.008,0.053,-0.086,0.108,0.002,0.001,680.0,840.0,1.0
"eps[28, 0]",0.031,0.06,-0.075,0.146,0.002,0.002,646.0,544.0,1.0
"eps[29, 0]",0.009,0.043,-0.068,0.09,0.001,0.001,977.0,747.0,1.0
