,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.434,0.122,0.227,0.65,0.006,0.004,451.0,688.0,1.0
Ds[0],36.162,0.114,35.955,36.362,0.005,0.004,470.0,668.0,1.0
RV[0],2.571,1.084,1.007,4.577,0.052,0.037,457.0,635.0,1.0
"eps[0, 0]",-0.052,0.071,-0.177,0.087,0.003,0.002,648.0,766.0,1.0
"eps[1, 0]",-0.329,0.094,-0.501,-0.153,0.004,0.003,648.0,735.0,1.0
"eps[2, 0]",-0.284,0.094,-0.474,-0.123,0.004,0.003,604.0,693.0,1.0
"eps[3, 0]",0.376,0.106,0.18,0.575,0.004,0.003,556.0,769.0,1.0
"eps[4, 0]",-0.551,0.09,-0.709,-0.374,0.004,0.003,658.0,684.0,1.0
"eps[5, 0]",0.032,0.175,-0.303,0.352,0.006,0.005,746.0,600.0,1.0
"eps[6, 0]",0.095,0.094,-0.077,0.265,0.003,0.002,746.0,745.0,1.0
"eps[7, 0]",0.187,0.087,0.016,0.346,0.003,0.002,654.0,724.0,1.01
"eps[8, 0]",-0.115,0.1,-0.273,0.081,0.003,0.002,856.0,948.0,1.0
"eps[9, 0]",0.103,0.037,0.029,0.168,0.001,0.001,672.0,798.0,1.01
"eps[10, 0]",0.074,0.041,-0.005,0.148,0.001,0.001,890.0,898.0,1.0
"eps[11, 0]",0.079,0.041,0.005,0.157,0.001,0.001,1049.0,722.0,1.0
"eps[12, 0]",0.033,0.037,-0.042,0.096,0.001,0.001,1068.0,639.0,1.01
"eps[13, 0]",-0.043,0.053,-0.148,0.053,0.001,0.001,1386.0,700.0,1.0
"eps[14, 0]",-0.036,0.136,-0.289,0.215,0.004,0.004,1463.0,803.0,1.01
"eps[15, 0]",0.073,0.091,-0.11,0.235,0.002,0.002,2063.0,714.0,1.01
"eps[16, 0]",0.005,0.093,-0.157,0.194,0.003,0.003,1364.0,635.0,1.0
"eps[17, 0]",0.112,0.074,-0.033,0.241,0.002,0.002,1522.0,794.0,1.0
"eps[18, 0]",-0.064,0.039,-0.132,0.01,0.002,0.001,659.0,809.0,1.0
"eps[19, 0]",0.122,0.042,0.044,0.202,0.001,0.001,1222.0,859.0,1.0
"eps[20, 0]",-0.134,0.042,-0.218,-0.061,0.002,0.001,740.0,792.0,1.0
"eps[21, 0]",0.108,0.039,0.042,0.186,0.001,0.001,1229.0,881.0,1.0
"eps[22, 0]",-0.239,0.054,-0.34,-0.144,0.002,0.001,801.0,897.0,1.0
"eps[23, 0]",0.024,0.119,-0.201,0.246,0.003,0.004,1804.0,919.0,1.01
"eps[24, 0]",0.139,0.094,-0.043,0.304,0.003,0.002,1110.0,672.0,1.0
"eps[25, 0]",0.048,0.09,-0.136,0.201,0.003,0.002,1147.0,694.0,1.0
"eps[26, 0]",0.217,0.078,0.08,0.366,0.003,0.002,743.0,652.0,1.01
"eps[27, 0]",-0.014,0.051,-0.109,0.079,0.002,0.001,772.0,838.0,1.0
"eps[28, 0]",0.045,0.061,-0.072,0.154,0.002,0.002,767.0,668.0,1.0
"eps[29, 0]",0.009,0.043,-0.071,0.093,0.001,0.001,1063.0,833.0,1.0
"eps[30, 0]",0.004,0.039,-0.064,0.077,0.001,0.001,1105.0,811.0,1.0
"eps[31, 0]",-0.048,0.064,-0.166,0.064,0.002,0.002,762.0,896.0,1.0
"eps[32, 0]",0.126,0.124,-0.094,0.368,0.003,0.003,1362.0,754.0,1.0
"eps[33, 0]",0.046,0.099,-0.15,0.217,0.003,0.003,911.0,785.0,1.0
"eps[34, 0]",0.009,0.093,-0.154,0.192,0.003,0.003,906.0,870.0,1.0
"eps[35, 0]",0.033,0.065,-0.073,0.168,0.002,0.002,785.0,735.0,1.0
"eps[36, 0]",0.118,0.063,-0.002,0.235,0.002,0.002,919.0,694.0,1.0
"eps[37, 0]",-0.003,0.061,-0.13,0.1,0.002,0.002,1297.0,686.0,1.02
"eps[38, 0]",-0.025,0.053,-0.117,0.073,0.002,0.002,953.0,670.0,1.0
"eps[39, 0]",0.001,0.049,-0.089,0.092,0.002,0.001,1019.0,883.0,1.0
"eps[40, 0]",-0.138,0.046,-0.224,-0.054,0.002,0.001,841.0,789.0,1.01
"eps[41, 0]",0.028,0.111,-0.209,0.206,0.003,0.004,1756.0,645.0,1.0
"eps[42, 0]",-0.07,0.085,-0.221,0.102,0.003,0.002,956.0,623.0,1.0
"eps[43, 0]",-0.008,0.083,-0.152,0.147,0.002,0.003,1232.0,847.0,1.01
"eps[44, 0]",-0.129,0.058,-0.246,-0.029,0.002,0.001,1082.0,675.0,1.0
"eps[45, 0]",-0.052,0.054,-0.15,0.048,0.001,0.001,1952.0,772.0,1.0
"eps[46, 0]",-0.01,0.087,-0.166,0.156,0.002,0.003,1824.0,705.0,1.0
"eps[47, 0]",-0.071,0.029,-0.125,-0.017,0.001,0.001,1389.0,648.0,1.0
"eps[48, 0]",0.016,0.061,-0.084,0.139,0.002,0.002,1303.0,973.0,1.0
"eps[49, 0]",-0.046,0.059,-0.149,0.077,0.002,0.001,1496.0,937.0,1.01
"eps[50, 0]",-0.003,0.103,-0.18,0.201,0.003,0.003,1396.0,889.0,1.01
"eps[51, 0]",-0.108,0.096,-0.264,0.085,0.003,0.003,1301.0,809.0,1.0
"eps[52, 0]",-0.129,0.08,-0.276,0.016,0.002,0.001,1856.0,775.0,1.0
"eps[53, 0]",-0.019,0.068,-0.142,0.115,0.002,0.002,1398.0,692.0,1.0
"eps_tform[0, 0]",-0.56,0.777,-1.927,0.95,0.031,0.022,648.0,766.0,1.0
"eps_tform[0, 1]",-1.468,0.415,-2.243,-0.694,0.016,0.011,683.0,803.0,1.0
"eps_tform[0, 2]",-2.261,0.608,-3.419,-1.171,0.024,0.017,656.0,706.0,1.0
"eps_tform[0, 3]",2.991,0.446,2.252,3.914,0.017,0.012,706.0,779.0,1.0
"eps_tform[0, 4]",-2.84,0.442,-3.615,-2.001,0.014,0.01,941.0,638.0,1.0
"eps_tform[0, 5]",-0.46,0.804,-1.978,0.996,0.028,0.021,825.0,656.0,1.0
"eps_tform[0, 6]",1.033,0.456,0.242,1.881,0.017,0.012,745.0,724.0,1.01
"eps_tform[0, 7]",1.347,0.522,0.335,2.256,0.02,0.014,721.0,669.0,1.01
"eps_tform[0, 8]",-0.877,0.631,-1.876,0.384,0.021,0.015,888.0,868.0,1.0
"eps_tform[0, 9]",2.082,0.715,0.492,3.237,0.027,0.019,695.0,825.0,1.01
"eps_tform[0, 10]",1.073,0.675,-0.074,2.437,0.021,0.016,1007.0,806.0,1.0
"eps_tform[0, 11]",1.482,0.653,0.259,2.681,0.023,0.016,838.0,666.0,1.0
