,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.01,0.009,0.0,0.026,0.0,0.0,1423.0,599.0,1.01
Ds[0],35.619,0.024,35.572,35.66,0.001,0.001,525.0,587.0,1.0
RV[0],3.832,1.413,1.465,5.993,0.04,0.028,1543.0,727.0,1.02
"eps[0, 0]",-0.013,0.068,-0.133,0.118,0.002,0.002,1132.0,737.0,1.0
"eps[1, 0]",0.071,0.128,-0.148,0.329,0.004,0.004,1046.0,759.0,1.0
"eps[2, 0]",-0.063,0.105,-0.271,0.12,0.004,0.003,755.0,807.0,1.01
"eps[3, 0]",-0.172,0.157,-0.474,0.108,0.004,0.004,1253.0,611.0,1.01
"eps[4, 0]",-0.381,0.147,-0.66,-0.123,0.005,0.004,923.0,814.0,1.0
"eps[5, 0]",-0.158,0.181,-0.525,0.157,0.004,0.004,1634.0,776.0,1.02
"eps[6, 0]",0.229,0.161,-0.061,0.53,0.004,0.003,1449.0,840.0,1.0
"eps[7, 0]",0.033,0.147,-0.241,0.313,0.004,0.005,1476.0,581.0,1.01
"eps[8, 0]",0.106,0.135,-0.149,0.349,0.003,0.003,1626.0,555.0,1.0
"eps[9, 0]",0.007,0.016,-0.022,0.039,0.001,0.0,587.0,569.0,1.0
"eps[10, 0]",-0.064,0.028,-0.11,-0.011,0.001,0.001,878.0,719.0,1.0
"eps[11, 0]",-0.145,0.025,-0.19,-0.099,0.001,0.001,905.0,847.0,1.0
"eps[12, 0]",-0.095,0.024,-0.147,-0.053,0.001,0.001,936.0,781.0,1.0
"eps[13, 0]",0.04,0.027,-0.009,0.09,0.001,0.001,947.0,827.0,1.0
"eps[14, 0]",0.348,0.107,0.151,0.552,0.003,0.002,1517.0,840.0,1.0
"eps[15, 0]",0.23,0.058,0.121,0.332,0.002,0.001,1253.0,815.0,1.0
"eps[16, 0]",0.12,0.043,0.039,0.201,0.001,0.001,1219.0,710.0,1.0
