,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.245,0.044,0.16,0.325,0.002,0.002,385.0,562.0,1.01
Ds[0],34.626,0.042,34.549,34.705,0.002,0.002,345.0,549.0,1.01
RV[0],3.629,1.174,1.901,5.999,0.056,0.04,429.0,694.0,1.0
"eps[0, 0]",0.283,0.052,0.185,0.372,0.002,0.001,793.0,879.0,1.0
"eps[1, 0]",0.011,0.095,-0.167,0.194,0.003,0.003,941.0,631.0,1.0
"eps[2, 0]",0.203,0.072,0.072,0.343,0.002,0.002,892.0,840.0,1.01
"eps[3, 0]",0.079,0.057,-0.026,0.191,0.002,0.001,908.0,755.0,1.0
"eps[4, 0]",0.031,0.055,-0.072,0.13,0.002,0.001,849.0,791.0,1.0
"eps[5, 0]",0.121,0.18,-0.199,0.482,0.006,0.005,979.0,788.0,1.0
"eps[6, 0]",-0.009,0.098,-0.172,0.194,0.003,0.002,983.0,951.0,1.0
"eps[7, 0]",0.227,0.08,0.085,0.379,0.003,0.002,1020.0,777.0,1.0
"eps[8, 0]",0.058,0.111,-0.135,0.278,0.003,0.003,1371.0,751.0,1.01
"eps[9, 0]",-0.051,0.028,-0.102,-0.0,0.001,0.001,501.0,530.0,1.01
"eps[10, 0]",0.08,0.025,0.035,0.127,0.001,0.001,846.0,821.0,1.0
"eps[11, 0]",-0.023,0.021,-0.062,0.017,0.001,0.001,698.0,842.0,1.0
"eps[12, 0]",0.049,0.021,0.013,0.088,0.001,0.001,487.0,620.0,1.0
"eps[13, 0]",-0.029,0.02,-0.068,0.007,0.001,0.001,473.0,724.0,1.0
"eps[14, 0]",-0.406,0.109,-0.625,-0.222,0.003,0.002,1049.0,909.0,1.0
"eps[15, 0]",-0.03,0.045,-0.12,0.048,0.002,0.001,563.0,816.0,1.0
"eps[16, 0]",-0.062,0.035,-0.133,-0.003,0.002,0.001,482.0,713.0,1.0
"eps[17, 0]",0.039,0.042,-0.042,0.117,0.002,0.001,496.0,717.0,1.0
"eps[18, 0]",-0.118,0.032,-0.175,-0.058,0.001,0.001,559.0,519.0,1.01
"eps[19, 0]",-0.082,0.028,-0.132,-0.031,0.001,0.001,886.0,670.0,1.01
"eps[20, 0]",-0.033,0.027,-0.089,0.011,0.001,0.001,709.0,673.0,1.0
"eps[21, 0]",-0.042,0.019,-0.074,-0.005,0.001,0.001,484.0,551.0,1.0
"eps[22, 0]",-0.037,0.02,-0.072,0.003,0.001,0.001,537.0,658.0,1.0
"eps[23, 0]",-0.067,0.111,-0.273,0.136,0.003,0.003,1190.0,694.0,1.0
"eps[24, 0]",-0.02,0.05,-0.111,0.07,0.002,0.002,688.0,737.0,1.0
"eps[25, 0]",-0.089,0.037,-0.158,-0.024,0.002,0.001,528.0,729.0,1.01
"eps[26, 0]",-0.015,0.062,-0.127,0.106,0.002,0.002,689.0,562.0,1.0
"eps[27, 0]",0.034,0.036,-0.03,0.105,0.001,0.001,587.0,624.0,1.0
"eps[28, 0]",0.032,0.038,-0.04,0.1,0.001,0.001,653.0,731.0,1.0
"eps[29, 0]",-0.009,0.022,-0.05,0.034,0.001,0.001,946.0,724.0,1.0
"eps[30, 0]",0.043,0.02,0.003,0.077,0.001,0.001,478.0,538.0,1.0
"eps[31, 0]",0.024,0.028,-0.025,0.079,0.001,0.001,483.0,664.0,1.0
"eps[32, 0]",0.049,0.124,-0.174,0.301,0.004,0.003,1148.0,727.0,1.0
"eps[33, 0]",0.03,0.056,-0.076,0.135,0.002,0.002,596.0,762.0,1.01
"eps[34, 0]",0.085,0.061,-0.017,0.207,0.002,0.002,633.0,815.0,1.0
"eps[35, 0]",0.003,0.057,-0.095,0.112,0.002,0.002,1122.0,784.0,1.0
"eps[36, 0]",-0.139,0.043,-0.223,-0.06,0.002,0.001,654.0,659.0,1.0
"eps[37, 0]",0.004,0.048,-0.087,0.09,0.001,0.001,1248.0,819.0,1.0
"eps[38, 0]",-0.038,0.031,-0.092,0.026,0.001,0.001,651.0,555.0,1.0
"eps[39, 0]",0.057,0.031,-0.002,0.113,0.001,0.001,574.0,599.0,1.0
"eps[40, 0]",0.071,0.025,0.023,0.116,0.001,0.001,585.0,687.0,1.0
"eps[41, 0]",-0.107,0.101,-0.302,0.076,0.003,0.002,1476.0,865.0,1.0
"eps[42, 0]",0.021,0.044,-0.065,0.101,0.002,0.001,745.0,714.0,1.0
"eps[43, 0]",-0.034,0.051,-0.135,0.053,0.002,0.001,1014.0,916.0,1.0
"eps[44, 0]",0.016,0.047,-0.063,0.115,0.001,0.001,1091.0,780.0,1.01
"eps[45, 0]",0.035,0.047,-0.052,0.124,0.001,0.001,1346.0,811.0,1.0
"eps[46, 0]",-0.048,0.058,-0.158,0.061,0.002,0.001,1406.0,954.0,1.0
"eps[47, 0]",-0.014,0.023,-0.057,0.027,0.001,0.001,1057.0,836.0,1.0
"eps[48, 0]",0.114,0.033,0.057,0.176,0.001,0.001,926.0,888.0,1.0
"eps[49, 0]",0.002,0.03,-0.059,0.056,0.001,0.001,1023.0,1056.0,1.0
"eps[50, 0]",0.209,0.088,0.057,0.389,0.002,0.002,1349.0,837.0,1.0
