,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.073,0.055,0.0,0.177,0.011,0.009,44.0,12.0,1.06
Ds[0],36.854,0.056,36.731,36.937,0.009,0.006,59.0,25.0,1.05
RV[0],3.86,1.404,1.506,5.993,0.079,0.07,437.0,511.0,1.02
"eps[0, 0]",-0.041,0.075,-0.188,0.091,0.002,0.002,1325.0,843.0,1.0
"eps[1, 0]",0.014,0.19,-0.296,0.383,0.006,0.007,1093.0,831.0,1.01
"eps[2, 0]",-0.029,0.115,-0.231,0.189,0.004,0.004,739.0,695.0,1.01
"eps[3, 0]",0.082,0.196,-0.274,0.439,0.018,0.012,147.0,607.0,1.02
"eps[4, 0]",-0.105,0.18,-0.403,0.278,0.005,0.006,1238.0,664.0,1.0
"eps[5, 0]",-0.073,0.191,-0.423,0.285,0.005,0.006,1429.0,786.0,1.02
"eps[6, 0]",0.02,0.176,-0.291,0.367,0.006,0.006,951.0,553.0,1.01
"eps[7, 0]",0.047,0.166,-0.256,0.324,0.015,0.014,123.0,164.0,1.04
"eps[8, 0]",0.012,0.14,-0.284,0.231,0.005,0.005,943.0,695.0,1.0
"eps[9, 0]",0.018,0.033,-0.042,0.075,0.003,0.002,118.0,154.0,1.02
"eps[10, 0]",0.014,0.036,-0.05,0.083,0.001,0.001,954.0,659.0,1.03
"eps[11, 0]",-0.04,0.042,-0.141,0.021,0.006,0.006,59.0,12.0,1.05
"eps[12, 0]",-0.004,0.035,-0.065,0.071,0.001,0.001,941.0,629.0,1.03
"eps[13, 0]",-0.021,0.047,-0.099,0.07,0.003,0.002,303.0,568.0,1.01
"eps[14, 0]",0.013,0.131,-0.234,0.261,0.005,0.005,776.0,734.0,1.01
"eps[15, 0]",0.061,0.09,-0.13,0.209,0.004,0.003,509.0,216.0,1.01
"eps[16, 0]",-0.029,0.084,-0.177,0.147,0.003,0.002,755.0,237.0,1.01
"eps[17, 0]",0.071,0.081,-0.094,0.205,0.003,0.002,1038.0,818.0,1.0
"eps[18, 0]",-0.045,0.03,-0.101,0.01,0.002,0.001,418.0,596.0,1.01
"eps[19, 0]",0.022,0.033,-0.035,0.09,0.001,0.001,842.0,718.0,1.02
