,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.064,0.047,0.0,0.146,0.002,0.002,343.0,474.0,1.02
Ds[0],36.867,0.053,36.763,36.957,0.003,0.002,345.0,186.0,1.01
RV[0],3.778,1.365,1.495,6.0,0.036,0.026,1330.0,726.0,1.02
"eps[0, 0]",-0.045,0.08,-0.186,0.117,0.002,0.002,1052.0,713.0,1.0
"eps[1, 0]",0.029,0.177,-0.321,0.318,0.006,0.005,848.0,779.0,1.0
"eps[2, 0]",-0.036,0.113,-0.262,0.164,0.004,0.003,1019.0,802.0,1.01
"eps[3, 0]",0.099,0.18,-0.236,0.436,0.005,0.005,1166.0,638.0,1.0
"eps[4, 0]",-0.116,0.172,-0.459,0.165,0.007,0.005,674.0,877.0,1.01
"eps[5, 0]",-0.064,0.215,-0.462,0.325,0.012,0.009,342.0,140.0,1.01
"eps[6, 0]",0.028,0.179,-0.288,0.379,0.005,0.006,1079.0,844.0,1.0
"eps[7, 0]",0.042,0.161,-0.276,0.315,0.004,0.005,1389.0,679.0,1.01
"eps[8, 0]",-0.005,0.139,-0.26,0.255,0.006,0.004,623.0,866.0,1.01
"eps[9, 0]",0.024,0.03,-0.04,0.075,0.001,0.001,504.0,521.0,1.0
"eps[10, 0]",0.014,0.037,-0.052,0.087,0.001,0.001,839.0,776.0,1.0
"eps[11, 0]",-0.032,0.037,-0.101,0.038,0.002,0.001,552.0,189.0,1.02
"eps[12, 0]",-0.006,0.035,-0.064,0.061,0.001,0.001,748.0,670.0,1.0
"eps[13, 0]",-0.014,0.046,-0.094,0.074,0.002,0.001,708.0,660.0,1.01
"eps[14, 0]",0.011,0.132,-0.233,0.249,0.004,0.005,1231.0,650.0,1.01
"eps[15, 0]",0.062,0.085,-0.108,0.207,0.003,0.002,980.0,810.0,1.0
"eps[16, 0]",-0.033,0.086,-0.202,0.123,0.003,0.003,1006.0,734.0,1.0
"eps[17, 0]",0.073,0.081,-0.074,0.229,0.003,0.002,991.0,733.0,1.0
"eps[18, 0]",-0.046,0.032,-0.103,0.021,0.002,0.001,456.0,647.0,1.01
"eps[19, 0]",0.023,0.032,-0.04,0.078,0.001,0.001,807.0,833.0,1.0
"eps[20, 0]",-0.061,0.037,-0.131,0.008,0.001,0.001,642.0,697.0,1.0
"eps[21, 0]",0.079,0.034,0.011,0.139,0.001,0.001,735.0,531.0,1.01
"eps[22, 0]",-0.102,0.055,-0.203,0.003,0.002,0.002,543.0,578.0,1.0
"eps[23, 0]",0.023,0.12,-0.183,0.251,0.004,0.004,1174.0,546.0,1.0
"eps[24, 0]",0.121,0.1,-0.064,0.298,0.004,0.003,743.0,733.0,1.01
"eps[25, 0]",0.123,0.13,-0.132,0.351,0.004,0.003,909.0,575.0,1.0
"eps[26, 0]",0.08,0.126,-0.151,0.325,0.004,0.003,1106.0,502.0,1.0
"eps[27, 0]",0.127,0.044,0.042,0.204,0.002,0.001,453.0,643.0,1.01
"eps[28, 0]",0.025,0.04,-0.049,0.099,0.001,0.001,805.0,693.0,1.01
"eps[29, 0]",0.037,0.031,-0.02,0.095,0.001,0.001,1033.0,661.0,1.01
"eps[30, 0]",-0.008,0.034,-0.068,0.055,0.001,0.001,771.0,765.0,1.01
"eps[31, 0]",-0.022,0.057,-0.128,0.093,0.002,0.002,570.0,589.0,1.0
"eps[32, 0]",-0.094,0.131,-0.336,0.15,0.004,0.004,1133.0,733.0,1.01
"eps[33, 0]",-0.123,0.123,-0.362,0.101,0.004,0.003,1124.0,734.0,1.0
"eps[34, 0]",-0.093,0.131,-0.35,0.133,0.004,0.004,1197.0,690.0,1.0
"eps[35, 0]",0.004,0.087,-0.147,0.182,0.003,0.003,1155.0,581.0,1.0
"eps[36, 0]",0.17,0.032,0.101,0.228,0.001,0.001,649.0,805.0,1.01
"eps[37, 0]",-0.038,0.044,-0.119,0.044,0.002,0.001,675.0,730.0,1.01
"eps[38, 0]",0.064,0.039,-0.009,0.14,0.001,0.001,962.0,718.0,1.03
"eps[39, 0]",0.002,0.041,-0.074,0.073,0.002,0.001,532.0,619.0,1.0
"eps[40, 0]",0.058,0.041,-0.016,0.13,0.001,0.001,974.0,770.0,1.0
"eps[41, 0]",0.046,0.116,-0.165,0.265,0.004,0.004,780.0,616.0,1.0
"eps[42, 0]",0.014,0.107,-0.205,0.192,0.003,0.004,1128.0,632.0,1.01
"eps[43, 0]",-0.023,0.086,-0.186,0.129,0.003,0.003,927.0,729.0,1.0
"eps[44, 0]",-0.028,0.065,-0.144,0.094,0.002,0.003,1096.0,535.0,1.0
"eps[45, 0]",-0.12,0.052,-0.217,-0.027,0.002,0.002,678.0,809.0,1.01
"eps[46, 0]",-0.113,0.075,-0.253,0.02,0.003,0.002,675.0,634.0,1.01
"eps[47, 0]",-0.041,0.027,-0.09,0.011,0.001,0.001,1298.0,847.0,1.0
"eps[48, 0]",0.054,0.053,-0.04,0.15,0.002,0.002,594.0,253.0,1.01
"eps[49, 0]",-0.007,0.049,-0.093,0.088,0.002,0.001,1048.0,855.0,1.01
"eps[50, 0]",-0.003,0.106,-0.204,0.186,0.004,0.003,875.0,757.0,1.01
"eps[51, 0]",0.054,0.093,-0.106,0.249,0.003,0.003,1071.0,780.0,1.0
"eps[52, 0]",-0.021,0.084,-0.186,0.122,0.002,0.002,1235.0,769.0,1.0
"eps[53, 0]",0.009,0.07,-0.116,0.151,0.002,0.002,1145.0,836.0,1.0
"eps_tform[0, 0]",-0.488,0.874,-2.026,1.277,0.027,0.022,1052.0,713.0,1.0
"eps_tform[0, 1]",0.207,0.831,-1.514,1.548,0.029,0.021,844.0,879.0,1.0
"eps_tform[0, 2]",-0.092,0.862,-1.641,1.498,0.029,0.025,871.0,667.0,1.01
"eps_tform[0, 3]",0.452,0.822,-1.194,1.855,0.025,0.023,1108.0,743.0,1.01
"eps_tform[0, 4]",-0.851,0.77,-2.312,0.566,0.028,0.021,773.0,725.0,1.01
"eps_tform[0, 5]",-0.377,0.964,-2.208,1.374,0.054,0.038,337.0,140.0,1.02
"eps_tform[0, 6]",0.195,0.982,-1.587,1.982,0.031,0.031,1010.0,782.0,1.0
"eps_tform[0, 7]",0.277,0.971,-1.634,1.992,0.027,0.031,1322.0,635.0,1.01
