,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.368,0.075,0.226,0.507,0.005,0.003,254.0,415.0,1.02
Ds[0],36.952,0.07,36.835,37.088,0.004,0.003,343.0,508.0,1.02
RV[0],3.808,1.163,1.932,5.92,0.053,0.037,482.0,529.0,1.01
"eps[0, 0]",0.137,0.074,0.007,0.289,0.003,0.002,787.0,775.0,1.01
"eps[1, 0]",0.049,0.128,-0.186,0.289,0.004,0.004,968.0,792.0,1.0
"eps[2, 0]",0.114,0.114,-0.1,0.315,0.003,0.003,1091.0,819.0,1.0
"eps[3, 0]",0.293,0.144,0.052,0.588,0.006,0.004,633.0,694.0,1.01
"eps[4, 0]",0.289,0.157,-0.013,0.573,0.005,0.004,1083.0,717.0,1.0
"eps[5, 0]",0.046,0.2,-0.325,0.412,0.005,0.006,1315.0,804.0,1.0
"eps[6, 0]",0.025,0.18,-0.33,0.35,0.005,0.006,1212.0,631.0,1.0
"eps[7, 0]",0.108,0.157,-0.198,0.382,0.004,0.004,1382.0,721.0,1.01
"eps[8, 0]",0.035,0.144,-0.215,0.306,0.004,0.004,1276.0,779.0,1.01
"eps[9, 0]",-0.086,0.032,-0.147,-0.026,0.001,0.001,563.0,914.0,1.02
"eps[10, 0]",-0.074,0.026,-0.125,-0.026,0.001,0.001,792.0,732.0,1.01
"eps[11, 0]",0.006,0.037,-0.063,0.075,0.001,0.001,650.0,592.0,1.01
"eps[12, 0]",-0.047,0.035,-0.115,0.014,0.001,0.001,865.0,719.0,1.0
"eps[13, 0]",-0.1,0.043,-0.189,-0.026,0.001,0.001,840.0,704.0,1.0
"eps[14, 0]",-0.084,0.105,-0.277,0.11,0.003,0.003,975.0,952.0,1.0
"eps[15, 0]",-0.055,0.08,-0.208,0.09,0.002,0.002,1174.0,861.0,1.0
"eps[16, 0]",-0.158,0.081,-0.307,-0.005,0.003,0.002,884.0,746.0,1.0
"eps[17, 0]",0.04,0.071,-0.098,0.164,0.002,0.002,1475.0,893.0,1.0
"eps[18, 0]",-0.052,0.05,-0.148,0.036,0.002,0.001,616.0,787.0,1.01
"eps[19, 0]",-0.054,0.041,-0.122,0.026,0.001,0.001,1076.0,810.0,1.0
"eps[20, 0]",-0.109,0.044,-0.186,-0.023,0.002,0.001,713.0,664.0,1.01
"eps[21, 0]",-0.1,0.039,-0.178,-0.029,0.001,0.001,783.0,798.0,1.0
"eps[22, 0]",-0.04,0.05,-0.127,0.055,0.002,0.001,698.0,897.0,1.01
"eps[23, 0]",-0.083,0.122,-0.297,0.152,0.004,0.003,972.0,719.0,1.01
"eps[24, 0]",-0.204,0.116,-0.43,0.003,0.004,0.003,1033.0,652.0,1.0
"eps[25, 0]",-0.089,0.117,-0.306,0.139,0.004,0.003,963.0,792.0,1.0
"eps[26, 0]",-0.037,0.12,-0.266,0.172,0.003,0.003,1374.0,818.0,1.01
"eps[27, 0]",0.232,0.052,0.133,0.327,0.002,0.001,862.0,945.0,1.0
"eps[28, 0]",0.072,0.059,-0.032,0.187,0.002,0.001,834.0,848.0,1.01
"eps[29, 0]",0.059,0.041,-0.018,0.133,0.001,0.001,803.0,862.0,1.0
"eps[30, 0]",-0.041,0.039,-0.106,0.038,0.001,0.001,851.0,843.0,1.01
"eps[31, 0]",-0.116,0.057,-0.229,-0.012,0.002,0.002,688.0,740.0,1.01
"eps[32, 0]",-0.234,0.117,-0.448,-0.009,0.004,0.003,1079.0,822.0,1.0
"eps[33, 0]",-0.198,0.11,-0.406,0.009,0.003,0.002,1135.0,850.0,1.0
"eps[34, 0]",-0.091,0.13,-0.329,0.142,0.003,0.004,1459.0,844.0,1.0
"eps[35, 0]",0.042,0.085,-0.114,0.2,0.002,0.002,1403.0,831.0,1.0
"eps[36, 0]",0.04,0.074,-0.087,0.184,0.002,0.002,1241.0,785.0,1.0
"eps[37, 0]",0.102,0.072,-0.025,0.236,0.002,0.002,1371.0,838.0,1.0
"eps[38, 0]",0.155,0.05,0.063,0.248,0.002,0.001,1084.0,767.0,1.0
"eps[39, 0]",0.182,0.047,0.095,0.272,0.001,0.001,1124.0,796.0,1.0
