,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.877,0.07,0.733,0.997,0.004,0.003,389.0,592.0,1.01
Ds[0],35.589,0.064,35.467,35.703,0.003,0.002,346.0,498.0,1.01
RV[0],2.454,0.355,1.807,3.098,0.018,0.013,381.0,613.0,1.01
"eps[0, 0]",0.05,0.083,-0.092,0.214,0.002,0.002,1568.0,846.0,1.0
"eps[1, 0]",0.188,0.173,-0.108,0.537,0.005,0.004,1261.0,745.0,1.0
"eps[2, 0]",0.136,0.108,-0.046,0.361,0.003,0.002,1302.0,832.0,1.01
"eps[3, 0]",0.346,0.151,0.058,0.622,0.004,0.003,1485.0,914.0,1.0
"eps[4, 0]",0.255,0.154,-0.031,0.545,0.004,0.003,1608.0,834.0,1.0
"eps[5, 0]",0.161,0.192,-0.205,0.49,0.005,0.004,1782.0,894.0,1.01
"eps[6, 0]",-0.042,0.168,-0.359,0.252,0.004,0.005,2182.0,905.0,1.01
"eps[7, 0]",-0.03,0.154,-0.322,0.245,0.004,0.006,1666.0,616.0,1.01
"eps[8, 0]",0.019,0.135,-0.254,0.259,0.004,0.004,1484.0,806.0,1.0
"eps[9, 0]",0.022,0.038,-0.049,0.096,0.001,0.001,667.0,596.0,1.01
"eps[10, 0]",0.075,0.033,0.007,0.132,0.001,0.001,1129.0,803.0,1.0
"eps[11, 0]",0.051,0.028,0.003,0.105,0.001,0.001,1225.0,832.0,1.0
"eps[12, 0]",0.031,0.031,-0.025,0.088,0.001,0.001,750.0,796.0,1.0
"eps[13, 0]",0.035,0.029,-0.02,0.088,0.001,0.001,938.0,852.0,1.0
"eps[14, 0]",-0.051,0.117,-0.271,0.165,0.003,0.003,1404.0,930.0,1.0
"eps[15, 0]",0.031,0.059,-0.079,0.143,0.002,0.002,837.0,562.0,1.0
"eps[16, 0]",-0.011,0.054,-0.109,0.094,0.002,0.002,517.0,665.0,1.0
"eps[17, 0]",-0.005,0.061,-0.112,0.104,0.002,0.002,1017.0,777.0,1.0
"eps[18, 0]",0.003,0.04,-0.07,0.072,0.001,0.001,1033.0,768.0,1.0
"eps[19, 0]",0.164,0.045,0.082,0.248,0.001,0.001,1224.0,850.0,1.01
"eps[20, 0]",-0.092,0.036,-0.156,-0.018,0.001,0.001,1092.0,766.0,1.0
"eps[21, 0]",-0.013,0.033,-0.072,0.052,0.001,0.001,577.0,793.0,1.0
"eps[22, 0]",-0.148,0.033,-0.209,-0.084,0.001,0.001,929.0,848.0,1.0
"eps[23, 0]",-0.058,0.124,-0.276,0.193,0.003,0.003,1633.0,807.0,1.01
"eps[24, 0]",-0.103,0.074,-0.24,0.026,0.003,0.002,611.0,773.0,1.0
"eps[25, 0]",0.02,0.061,-0.107,0.123,0.002,0.002,742.0,833.0,1.0
"eps[26, 0]",0.025,0.075,-0.113,0.157,0.003,0.002,654.0,657.0,1.01
"eps[27, 0]",0.059,0.049,-0.027,0.154,0.002,0.001,938.0,845.0,1.0
"eps[28, 0]",0.196,0.052,0.091,0.284,0.002,0.001,1137.0,861.0,1.0
"eps[29, 0]",-0.08,0.028,-0.13,-0.025,0.001,0.001,977.0,843.0,1.01
"eps[30, 0]",-0.051,0.031,-0.107,0.007,0.001,0.001,640.0,818.0,1.01
"eps[31, 0]",-0.162,0.043,-0.247,-0.088,0.002,0.001,751.0,783.0,1.0
"eps[32, 0]",-0.026,0.125,-0.257,0.202,0.003,0.003,1313.0,720.0,1.0
"eps[33, 0]",-0.305,0.081,-0.459,-0.155,0.003,0.002,575.0,809.0,1.0
"eps[34, 0]",-0.184,0.118,-0.385,0.06,0.003,0.003,1438.0,755.0,1.0
"eps[35, 0]",-0.054,0.079,-0.204,0.092,0.002,0.002,1923.0,746.0,1.01
"eps[36, 0]",0.139,0.066,0.019,0.273,0.002,0.001,1316.0,835.0,1.0
"eps[37, 0]",0.153,0.061,0.028,0.253,0.002,0.001,1509.0,882.0,1.01
"eps[38, 0]",-0.007,0.047,-0.093,0.084,0.001,0.002,1023.0,553.0,1.01
"eps[39, 0]",0.006,0.043,-0.074,0.081,0.002,0.001,573.0,745.0,1.0
"eps[40, 0]",-0.106,0.041,-0.185,-0.032,0.001,0.001,1229.0,851.0,1.0
"eps[41, 0]",-0.152,0.109,-0.341,0.049,0.003,0.002,1545.0,781.0,1.01
"eps[42, 0]",-0.068,0.068,-0.198,0.059,0.002,0.002,832.0,753.0,1.0
"eps[43, 0]",-0.152,0.08,-0.298,-0.0,0.002,0.002,1860.0,731.0,1.01
"eps[44, 0]",-0.005,0.06,-0.11,0.11,0.001,0.002,2004.0,754.0,1.0
"eps[45, 0]",-0.066,0.05,-0.159,0.026,0.001,0.001,2193.0,747.0,1.0
"eps[46, 0]",0.036,0.085,-0.13,0.189,0.002,0.002,1346.0,829.0,1.0
"eps[47, 0]",-0.027,0.027,-0.077,0.024,0.001,0.001,1103.0,903.0,1.01
"eps[48, 0]",0.025,0.047,-0.064,0.111,0.001,0.001,1025.0,913.0,1.0
"eps[49, 0]",-0.015,0.036,-0.076,0.055,0.001,0.001,991.0,953.0,1.0
"eps[50, 0]",0.078,0.107,-0.126,0.27,0.003,0.003,1624.0,634.0,1.01
"eps[51, 0]",-0.013,0.07,-0.153,0.111,0.002,0.002,983.0,852.0,1.0
