,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.644,0.13,0.427,0.871,0.007,0.005,367.0,546.0,1.01
Ds[0],35.798,0.122,35.572,36.011,0.006,0.004,380.0,545.0,1.01
RV[0],1.633,0.433,1.005,2.382,0.023,0.016,361.0,435.0,1.01
"eps[0, 0]",0.049,0.08,-0.113,0.179,0.002,0.002,1190.0,783.0,1.0
"eps[1, 0]",0.186,0.169,-0.142,0.494,0.005,0.004,1131.0,513.0,1.01
"eps[2, 0]",0.128,0.111,-0.084,0.329,0.004,0.003,980.0,831.0,1.0
"eps[3, 0]",0.379,0.148,0.11,0.653,0.004,0.003,1180.0,643.0,1.01
"eps[4, 0]",0.282,0.152,0.011,0.574,0.005,0.004,1020.0,768.0,1.01
"eps[5, 0]",0.172,0.195,-0.194,0.538,0.005,0.004,1312.0,897.0,1.01
"eps[6, 0]",0.0,0.166,-0.331,0.289,0.004,0.006,1444.0,737.0,1.0
"eps[7, 0]",-0.037,0.147,-0.317,0.243,0.004,0.005,1607.0,697.0,1.0
"eps[8, 0]",0.048,0.13,-0.188,0.292,0.003,0.003,1462.0,933.0,1.01
"eps[9, 0]",0.027,0.035,-0.038,0.092,0.001,0.001,610.0,580.0,1.0
"eps[10, 0]",0.093,0.034,0.028,0.15,0.001,0.001,868.0,872.0,1.0
"eps[11, 0]",0.063,0.029,0.012,0.118,0.001,0.001,939.0,928.0,1.0
"eps[12, 0]",0.002,0.025,-0.047,0.049,0.001,0.001,765.0,762.0,1.0
"eps[13, 0]",0.043,0.029,-0.005,0.103,0.001,0.001,799.0,884.0,1.0
"eps[14, 0]",-0.016,0.119,-0.28,0.172,0.004,0.003,910.0,804.0,1.0
"eps[15, 0]",0.052,0.061,-0.056,0.174,0.002,0.002,781.0,467.0,1.01
"eps[16, 0]",-0.015,0.054,-0.115,0.092,0.002,0.002,536.0,649.0,1.0
