,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.696,0.074,0.553,0.832,0.005,0.004,206.0,388.0,1.02
Ds[0],34.194,0.063,34.085,34.326,0.004,0.003,197.0,409.0,1.02
RV[0],3.137,0.642,1.899,4.252,0.042,0.03,234.0,410.0,1.01
"eps[0, 0]",0.128,0.062,0.007,0.236,0.003,0.002,603.0,744.0,1.0
"eps[1, 0]",0.598,0.12,0.383,0.829,0.005,0.003,651.0,733.0,1.01
"eps[2, 0]",-0.049,0.08,-0.194,0.101,0.003,0.002,668.0,717.0,1.01
"eps[3, 0]",0.118,0.063,-0.014,0.222,0.002,0.002,683.0,687.0,1.01
"eps[4, 0]",0.004,0.055,-0.104,0.106,0.002,0.001,694.0,811.0,1.01
"eps[5, 0]",-0.098,0.197,-0.441,0.279,0.006,0.005,998.0,861.0,1.0
"eps[6, 0]",0.107,0.087,-0.046,0.274,0.004,0.003,478.0,671.0,1.01
"eps[7, 0]",0.111,0.085,-0.051,0.266,0.004,0.003,456.0,629.0,1.01
"eps[8, 0]",0.06,0.135,-0.191,0.31,0.004,0.004,1075.0,785.0,1.01
"eps[9, 0]",-0.009,0.041,-0.085,0.073,0.002,0.001,443.0,376.0,1.01
"eps[10, 0]",0.025,0.032,-0.029,0.088,0.001,0.001,768.0,765.0,1.0
"eps[11, 0]",-0.037,0.026,-0.085,0.01,0.001,0.001,559.0,822.0,1.0
"eps[12, 0]",0.043,0.029,-0.015,0.09,0.002,0.001,362.0,615.0,1.01
"eps[13, 0]",-0.113,0.025,-0.159,-0.07,0.001,0.001,380.0,495.0,1.01
"eps[14, 0]",-0.033,0.144,-0.283,0.247,0.005,0.004,798.0,694.0,1.0
"eps[15, 0]",-0.089,0.058,-0.192,0.029,0.003,0.002,495.0,669.0,1.01
"eps[16, 0]",-0.017,0.056,-0.119,0.093,0.003,0.002,275.0,523.0,1.01
"eps[17, 0]",0.059,0.059,-0.049,0.172,0.003,0.002,283.0,600.0,1.01
"eps[18, 0]",-0.021,0.038,-0.099,0.043,0.002,0.001,469.0,528.0,1.01
"eps[19, 0]",0.053,0.053,-0.043,0.152,0.002,0.001,772.0,801.0,1.01
"eps[20, 0]",-0.083,0.033,-0.14,-0.021,0.001,0.001,554.0,622.0,1.01
"eps[21, 0]",0.03,0.03,-0.025,0.09,0.002,0.001,330.0,539.0,1.0
"eps[22, 0]",-0.037,0.027,-0.091,0.011,0.001,0.001,349.0,490.0,1.02
"eps[23, 0]",0.147,0.131,-0.12,0.376,0.004,0.003,1171.0,613.0,1.0
"eps[24, 0]",0.07,0.065,-0.054,0.187,0.003,0.002,445.0,721.0,1.01
"eps[25, 0]",0.048,0.066,-0.07,0.176,0.004,0.003,277.0,520.0,1.01
"eps[26, 0]",0.122,0.111,-0.098,0.318,0.004,0.003,905.0,674.0,1.0
"eps[27, 0]",-0.024,0.062,-0.147,0.082,0.003,0.002,556.0,494.0,1.01
"eps[28, 0]",-0.025,0.066,-0.152,0.094,0.002,0.002,1011.0,743.0,1.0
"eps[29, 0]",0.03,0.036,-0.034,0.098,0.001,0.001,726.0,691.0,1.0
"eps[30, 0]",0.041,0.03,-0.011,0.104,0.002,0.001,389.0,637.0,1.01
"eps[31, 0]",0.016,0.037,-0.054,0.079,0.002,0.001,509.0,509.0,1.0
"eps[32, 0]",-0.025,0.141,-0.281,0.245,0.004,0.005,1361.0,808.0,1.0
"eps[33, 0]",0.025,0.081,-0.12,0.176,0.003,0.002,636.0,891.0,1.0
"eps[34, 0]",0.067,0.12,-0.158,0.298,0.003,0.004,1320.0,578.0,1.0
"eps[35, 0]",0.063,0.081,-0.072,0.237,0.002,0.002,1623.0,810.0,1.0
"eps[36, 0]",-0.028,0.085,-0.186,0.131,0.002,0.004,1225.0,587.0,1.01
"eps[37, 0]",0.041,0.081,-0.103,0.195,0.002,0.002,1123.0,756.0,1.01
"eps[38, 0]",-0.067,0.053,-0.16,0.04,0.002,0.001,1064.0,655.0,1.01
"eps[39, 0]",-0.069,0.05,-0.163,0.023,0.002,0.001,757.0,884.0,1.0
"eps[40, 0]",-0.145,0.055,-0.249,-0.044,0.001,0.001,1571.0,944.0,1.0
"eps[41, 0]",0.071,0.117,-0.138,0.299,0.003,0.003,1128.0,613.0,1.01
"eps[42, 0]",-0.023,0.101,-0.223,0.151,0.003,0.003,1495.0,774.0,1.0
"eps[43, 0]",0.032,0.078,-0.108,0.182,0.002,0.002,1413.0,744.0,1.0
"eps[44, 0]",-0.006,0.063,-0.128,0.106,0.002,0.002,1291.0,662.0,1.0
"eps[45, 0]",-0.035,0.053,-0.129,0.067,0.001,0.001,1687.0,898.0,1.01
"eps[46, 0]",-0.085,0.104,-0.259,0.115,0.003,0.003,1583.0,663.0,1.0
"eps[47, 0]",-0.004,0.031,-0.056,0.056,0.001,0.001,1655.0,975.0,1.0
"eps[48, 0]",0.063,0.079,-0.082,0.207,0.003,0.002,939.0,749.0,1.01
"eps[49, 0]",0.038,0.074,-0.093,0.183,0.002,0.002,1457.0,883.0,1.01
"eps[50, 0]",-0.079,0.107,-0.278,0.13,0.003,0.003,1025.0,802.0,1.02
"eps[51, 0]",-0.049,0.09,-0.227,0.109,0.003,0.003,1008.0,611.0,1.0
"eps[52, 0]",-0.011,0.082,-0.16,0.14,0.003,0.003,962.0,718.0,1.0
"eps[53, 0]",0.105,0.057,-0.007,0.206,0.002,0.001,1405.0,754.0,1.0
"eps_tform[0, 0]",1.391,0.671,0.078,2.561,0.027,0.019,603.0,744.0,1.0
"eps_tform[0, 1]",2.613,0.578,1.554,3.696,0.022,0.016,705.0,763.0,1.01
"eps_tform[0, 2]",-0.666,0.544,-1.744,0.324,0.019,0.014,816.0,798.0,1.01
"eps_tform[0, 3]",-0.524,0.264,-1.026,-0.039,0.009,0.007,874.0,660.0,1.01
"eps_tform[0, 4]",-0.237,0.293,-0.853,0.276,0.011,0.008,713.0,834.0,1.0
"eps_tform[0, 5]",-0.313,0.891,-1.846,1.375,0.027,0.022,1062.0,815.0,1.0
"eps_tform[0, 6]",0.426,0.412,-0.304,1.215,0.02,0.014,428.0,721.0,1.01
"eps_tform[0, 7]",0.372,0.491,-0.483,1.335,0.021,0.015,553.0,688.0,1.01
"eps_tform[0, 8]",-0.073,0.915,-1.825,1.509,0.027,0.027,1159.0,871.0,1.01
"eps_tform[0, 9]",-0.29,0.805,-1.63,1.499,0.039,0.027,444.0,365.0,1.01
"eps_tform[0, 10]",0.229,0.515,-0.765,1.15,0.018,0.013,797.0,882.0,1.0
"eps_tform[0, 11]",-0.636,0.469,-1.551,0.21,0.025,0.017,365.0,620.0,1.0
"eps_tform[0, 12]",0.939,0.607,-0.162,2.134,0.035,0.024,309.0,614.0,1.0
"eps_tform[0, 13]",-1.529,0.366,-2.224,-0.882,0.02,0.014,343.0,431.0,1.01
"eps_tform[0, 14]",-0.407,0.934,-1.958,1.461,0.031,0.028,944.0,725.0,1.01
"eps_tform[0, 15]",-0.998,0.531,-2.057,-0.055,0.03,0.021,326.0,489.0,1.02
"eps_tform[0, 16]",0.332,0.605,-0.857,1.433,0.036,0.026,279.0,510.0,1.01
"eps_tform[0, 17]",0.651,0.628,-0.522,1.885,0.035,0.025,321.0,531.0,1.01
