,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.899,0.072,0.763,1.026,0.004,0.003,315.0,507.0,1.01
Ds[0],33.787,0.068,33.666,33.916,0.004,0.003,285.0,463.0,1.01
RV[0],1.879,0.25,1.449,2.36,0.014,0.01,313.0,453.0,1.01
"eps[0, 0]",0.106,0.05,0.009,0.194,0.002,0.001,612.0,819.0,1.01
"eps[1, 0]",-0.133,0.075,-0.282,0.001,0.003,0.002,739.0,777.0,1.0
"eps[2, 0]",0.07,0.046,-0.015,0.157,0.002,0.001,753.0,774.0,1.0
"eps[3, 0]",-0.099,0.036,-0.163,-0.029,0.001,0.001,768.0,827.0,1.0
"eps[4, 0]",0.06,0.033,-0.0,0.12,0.001,0.001,493.0,735.0,1.01
"eps[5, 0]",-0.07,0.151,-0.358,0.199,0.005,0.004,802.0,705.0,1.0
"eps[6, 0]",0.134,0.045,0.057,0.227,0.002,0.001,609.0,668.0,1.0
"eps[7, 0]",0.058,0.036,-0.01,0.128,0.002,0.001,397.0,674.0,1.0
"eps[8, 0]",0.103,0.061,-0.016,0.216,0.003,0.002,468.0,663.0,1.0
"eps[9, 0]",0.025,0.039,-0.051,0.094,0.002,0.001,405.0,480.0,1.01
"eps[10, 0]",0.018,0.034,-0.043,0.083,0.001,0.001,846.0,871.0,1.0
"eps[11, 0]",0.052,0.028,0.002,0.104,0.001,0.001,493.0,619.0,1.01
"eps[12, 0]",0.018,0.021,-0.021,0.056,0.001,0.001,548.0,732.0,1.01
"eps[13, 0]",0.0,0.023,-0.041,0.041,0.001,0.001,330.0,463.0,1.01
"eps[14, 0]",-0.07,0.119,-0.298,0.145,0.004,0.003,856.0,801.0,1.0
"eps[15, 0]",0.087,0.046,0.008,0.179,0.002,0.001,589.0,728.0,1.0
"eps[16, 0]",0.067,0.028,0.01,0.117,0.001,0.001,412.0,560.0,1.0
"eps[17, 0]",0.008,0.043,-0.064,0.095,0.002,0.002,399.0,550.0,1.0
"eps[18, 0]",0.066,0.034,-0.001,0.129,0.002,0.001,414.0,465.0,1.01
"eps[19, 0]",0.023,0.033,-0.038,0.089,0.001,0.001,902.0,688.0,1.01
"eps[20, 0]",-0.015,0.021,-0.057,0.021,0.001,0.001,438.0,679.0,1.0
"eps[21, 0]",-0.103,0.021,-0.143,-0.066,0.001,0.001,411.0,597.0,1.01
